problem,method,seed,probe,policy,coords,loss,grad_norm,n_params,n_blocks,top1,top2,min,top1_rel_resid,top2_rel_resid,min_rel_resid,top1_start1,min_start1,converged_start0,converged_start1,iterations_start0,iterations_start1,min_rayleigh_f64,source
gaussian_s4_test_centre_frozen_rel,gaussian_postrelu,4,test_probe,centre_frozen,relative,0.5919629335403442,3.743270383412808,268336,698,2654.324442938903,1992.4704470608242,-7.254235484003366,4.961091960540841e-07,5.310630772868367e-07,0.0005180146595719271,2654.324408281773,-7.25420447859395,True,True,80,80,-7.253795254028567,maxlebossdu91
gaussian_s4_test_saved_ord,gaussian_postrelu,4,test_probe,saved,ordinary,0.5957620739936829,4.793781679809723,268336,698,1603.816527273078,1244.8208056293718,-6.2367114647196304,4.937108190227662e-07,5.303805433440542e-07,0.0004577592904468561,1603.8164998554037,-6.236729366553899,True,True,60,70,-6.237140221725835,maxlebossdu91
gaussian_s4_test_saved_rel,gaussian_postrelu,4,test_probe,saved,relative,0.5957620739936829,4.793781679809723,268336,698,2640.6418954365613,2019.9069090633466,-10.135982243256548,4.980653682390992e-07,5.41390766087134e-07,0.00029904092045670455,2640.6418642907256,-10.135966468548492,True,True,70,70,-10.136654964765622,maxlebossdu91
gaussian_s4_train_centre_frozen_ord,gaussian_postrelu,4,train_probe,centre_frozen,ordinary,0.26275741308927536,2.066454196707556,268336,698,1459.1739056682995,1144.203618705062,-2.466143305791592,5.299081090046737e-07,5.45101834847493e-07,0.0008365971423770533,1459.173892779842,-2.466087315465942,True,True,80,70,-2.466074131740392,maxlebossdu91
gaussian_s4_train_centre_frozen_rel,gaussian_postrelu,4,train_probe,centre_frozen,relative,0.26275741308927536,2.066454196707556,268336,698,2397.622819413588,1860.6827939068376,-4.013019571724199,5.329640791071759e-07,5.196151687938261e-07,0.0004024582911541924,2397.6228334389075,-4.013041033412869,True,True,80,90,-4.012919650329437,maxlebossdu91
gaussian_s4_train_saved_ord,gaussian_postrelu,4,train_probe,saved,ordinary,0.26593391597270966,3.03921282675085,268336,698,1446.4242216318962,1154.2714248724023,-4.23472320121941,5.156609750098392e-07,5.563607464934502e-07,0.00037642078432786267,1446.424209424802,-4.234719529098273,True,True,60,60,-4.234750554819498,maxlebossdu91
gaussian_s4_train_saved_rel,gaussian_postrelu,4,train_probe,saved,relative,0.26593391597270966,3.03921282675085,268336,698,2380.705227378727,1871.5177102665273,-6.810391807355986,5.258381071552807e-07,5.513175087718031e-07,0.0007009235216651977,2380.705334315449,-6.810419226094856,True,True,60,70,-6.81043343853396,maxlebossdu91
plain_s4_test_centre_frozen_ord,plain,4,test_probe,centre_frozen,ordinary,0.736142098903656,5.780242061666371,268336,698,3283.587129443933,2603.033997191556,-9.483177754583272,5.215579370714783e-07,5.850066456905964e-07,0.0005478493729295927,3283.5870866842333,-9.483069401669084,True,True,60,50,-9.482785531867616,maxlebossdu91
plain_s4_test_centre_frozen_rel,plain,4,test_probe,centre_frozen,relative,0.736142098903656,5.780242061666371,268336,698,5266.916471727245,4164.68074575687,-15.040773098311087,4.992785312611695e-07,6.069120161662774e-07,0.00039998017538439296,5266.916493593945,-15.040660491010575,True,True,60,60,-15.040085228847389,maxlebossdu91
plain_s4_test_saved_ord,plain,4,test_probe,saved,ordinary,0.7400374114513397,7.030862583946792,268336,698,3242.607909408869,2670.3849771728846,-12.146674445953927,5.106631267630166e-07,5.862423903016004e-07,8.13977053346481e-05,3242.608006338639,-12.146655855320807,True,True,60,60,-12.146574508153318,maxlebossdu91
plain_s4_test_saved_rel,plain,4,test_probe,saved,relative,0.7400374114513397,7.030862583946792,268336,698,5212.405028259273,4264.7531639540475,-19.31291970564188,5.441878988062784e-07,6.028949961922541e-07,0.0006632961307789038,5212.404941554545,-19.31295326355267,True,True,60,60,-19.312666343359368,maxlebossdu91
