method,seed,policy,split,direction,amplitude,S_f32,S_f64,abs_diff
plain,4,centre_frozen,test_probe,0,0.02,0.018831298828124954,0.018831304188273168,5.360148214172966e-09
plain,4,centre_frozen,test_probe,0,0.05,0.12532707214355465,0.12532689954173948,1.7260181517375628e-07
plain,4,centre_frozen,test_probe,1,0.005,0.0008877563476562544,0.0008877571397633011,7.921070466210267e-10
plain,4,centre_frozen,test_probe,1,0.01,0.0033284454345703374,0.0033284342963709745,1.1138199362825674e-08
plain,4,centre_frozen,test_probe,1,0.02,0.013130661010742228,0.013130661722603798,7.118615696910524e-10
plain,4,centre_frozen,test_probe,1,0.05,0.09046394348144537,0.09046403122312896,8.774168358538503e-08
resolution_max_b1,0,saved,train_probe,0,0.005,0.0012390365600585818,0.0012389362692072359,1.0029085134588556e-07
resolution_max_b1,0,saved,train_probe,0,0.01,0.004784088134765663,0.004784011255252851,7.687951281143413e-08
resolution_max_b1,0,saved,train_probe,0,0.02,0.017559440612792965,0.017559392734236456,4.787855650834061e-08
resolution_max_b1,0,saved,train_probe,0,0.05,0.10880989074707031,0.10880985370374086,3.704332945941857e-08
resolution_max_b1,0,saved,train_probe,1,0.005,0.0008878555297851531,0.0008878200385376567,3.549124749646637e-08
resolution_max_b1,0,saved,train_probe,1,0.01,0.0034611968994140985,0.0034611376548955297,5.924451856875734e-08
resolution_max_b1,0,saved,train_probe,1,0.02,0.013838981628417957,0.01383889933528848,8.229312947749534e-08
resolution_max_b1,0,saved,train_probe,1,0.05,0.08617350006103514,0.0861734456039534,5.4457081732905976e-08
resolution_max_b1,0,saved,test_probe,0,0.005,0.0007379455566405291,0.0007379210310834994,2.452555702969761e-08
resolution_max_b1,0,saved,test_probe,0,0.01,0.0030567932128906516,0.003056687273304437,1.0593958621463173e-07
resolution_max_b1,0,saved,test_probe,0,0.02,0.011878738403320321,0.011878685540695377,5.2862624944083336e-08
resolution_max_b1,0,saved,test_probe,0,0.05,0.08830239868164058,0.08830226661219742,1.32069443159466e-07
resolution_max_b1,0,saved,test_probe,1,0.005,0.0007503967285156232,0.0007504133285373138,1.660002169057151e-08
resolution_max_b1,0,saved,test_probe,1,0.01,0.002943969726562523,0.002943883126495739,8.660006678429255e-08
resolution_max_b1,0,saved,test_probe,1,0.02,0.011984298706054775,0.01198415053194879,1.4817410598499947e-07
resolution_max_b1,0,saved,test_probe,1,0.05,0.0749770050048828,0.07497698912393869,1.5880944115309603e-08
resolution_max_b1,0,recalibrated,train_probe,0,0.005,0.0003086090087890403,0.00030869004496153485,8.103617249455297e-08
resolution_max_b1,0,recalibrated,train_probe,0,0.01,0.001266555786132828,0.001266519151312484,3.663482034399479e-08
resolution_max_b1,0,recalibrated,train_probe,0,0.02,0.005370185852050735,0.005370184259475719,1.5925750163070518e-09
resolution_max_b1,0,recalibrated,train_probe,0,0.05,0.034354812622070297,0.034354769004148855,4.361792144136345e-08
resolution_max_b1,0,recalibrated,train_probe,1,0.005,0.0003569259643554923,0.0003569468373739171,2.0873018424794054e-08
resolution_max_b1,0,recalibrated,train_probe,1,0.01,0.0012978591918945126,0.0012978264543064277,3.273758808486349e-08
resolution_max_b1,0,recalibrated,train_probe,1,0.02,0.00523995971679686,0.005239986342330527,2.6625533666724266e-08
resolution_max_b1,0,recalibrated,train_probe,1,0.05,0.032723915100097645,0.03272388775513607,2.7344961572861592e-08
resolution_max_b1,0,recalibrated,test_probe,0,0.005,0.0002901153564452974,0.00029012410319761983,8.746752322430495e-09
resolution_max_b1,0,recalibrated,test_probe,0,0.01,0.0011272735595703187,0.0011273245811010968,5.102153077807259e-08
resolution_max_b1,0,recalibrated,test_probe,0,0.02,0.0034327087402343803,0.003432739250288197,3.051005381671246e-08
