method,epoch,state_label,state,seed,policy,split,centre_ce
gaussian_postrelu,3,final,r-_G0,2,recalibrated,test_probe,1.8668072509765625
gaussian_postrelu,3,final,r-_G0,3,saved,train_probe,7.82861083984375
gaussian_postrelu,3,final,r-_G0,3,saved,test_probe,7.82342919921875
gaussian_postrelu,3,final,r-_G0,3,recalibrated,train_probe,1.8140513305664063
gaussian_postrelu,3,final,r-_G0,3,recalibrated,test_probe,1.8212168579101562
gaussian_postrelu,3,final,r-_G0,4,saved,train_probe,4.190852294921875
gaussian_postrelu,3,final,r-_G0,4,saved,test_probe,4.17599462890625
gaussian_postrelu,3,final,r-_G0,4,recalibrated,train_probe,1.8597278442382812
gaussian_postrelu,3,final,r-_G0,4,recalibrated,test_probe,1.861397216796875
gaussian_postrelu,6,before,r-_G0.85,0,saved,train_probe,0.8364768371582031
gaussian_postrelu,6,before,r-_G0.85,0,saved,test_probe,0.9002152709960938
gaussian_postrelu,6,before,r-_G0.85,0,recalibrated,train_probe,0.8181716613769531
gaussian_postrelu,6,before,r-_G0.85,0,recalibrated,test_probe,0.8790442199707031
gaussian_postrelu,6,before,r-_G0.85,1,saved,train_probe,0.8099425964355469
gaussian_postrelu,6,before,r-_G0.85,1,saved,test_probe,0.8655186767578125
gaussian_postrelu,6,before,r-_G0.85,1,recalibrated,train_probe,0.7848114624023438
gaussian_postrelu,6,before,r-_G0.85,1,recalibrated,test_probe,0.8373710327148437
gaussian_postrelu,6,before,r-_G0.85,2,saved,train_probe,0.8175116577148438
gaussian_postrelu,6,before,r-_G0.85,2,saved,test_probe,0.9300120239257812
gaussian_postrelu,6,before,r-_G0.85,2,recalibrated,train_probe,0.7809363098144532
gaussian_postrelu,6,before,r-_G0.85,2,recalibrated,test_probe,0.8693694763183594
gaussian_postrelu,6,before,r-_G0.85,3,saved,train_probe,0.7691660766601562
gaussian_postrelu,6,before,r-_G0.85,3,saved,test_probe,0.8433127136230468
gaussian_postrelu,6,before,r-_G0.85,3,recalibrated,train_probe,0.7506325378417968
gaussian_postrelu,6,before,r-_G0.85,3,recalibrated,test_probe,0.8162201538085937
gaussian_postrelu,6,before,r-_G0.85,4,saved,train_probe,0.7853043212890625
gaussian_postrelu,6,before,r-_G0.85,4,saved,test_probe,0.8942721862792968
gaussian_postrelu,6,before,r-_G0.85,4,recalibrated,train_probe,0.73973193359375
gaussian_postrelu,6,before,r-_G0.85,4,recalibrated,test_probe,0.8605780029296874
gaussian_postrelu,6,after,r-_G0.7,0,saved,train_probe,0.9239118347167968
gaussian_postrelu,6,after,r-_G0.7,0,saved,test_probe,0.9632611389160156
gaussian_postrelu,6,after,r-_G0.7,0,recalibrated,train_probe,0.8404886474609375
gaussian_postrelu,6,after,r-_G0.7,0,recalibrated,test_probe,0.8972830810546875
gaussian_postrelu,6,after,r-_G0.7,1,saved,train_probe,0.9525918579101562
gaussian_postrelu,6,after,r-_G0.7,1,saved,test_probe,0.9986298828125
gaussian_postrelu,6,after,r-_G0.7,1,recalibrated,train_probe,0.8012745056152344
gaussian_postrelu,6,after,r-_G0.7,1,recalibrated,test_probe,0.8388601379394531
gaussian_postrelu,6,after,r-_G0.7,2,saved,train_probe,0.915802490234375
gaussian_postrelu,6,after,r-_G0.7,2,saved,test_probe,0.9865936584472657
gaussian_postrelu,6,after,r-_G0.7,2,recalibrated,train_probe,0.8040550537109376
gaussian_postrelu,6,after,r-_G0.7,2,recalibrated,test_probe,0.8756758728027344
gaussian_postrelu,6,after,r-_G0.7,3,saved,train_probe,0.8567909851074219
