method,seed,policy,split,direction,amplitude,centre_ce,dL_plus,dL_minus,S
plain,0,saved,test_probe,1,0.025,0.7621461791992188,0.04789794921875001,0.03230331420898436,0.040100631713867185
plain,0,saved,test_probe,1,0.05,0.7621461791992188,0.18085592651367188,0.16873455810546867,0.17479524230957028
plain,0,saved,test_probe,1,0.1,0.7621461791992188,0.7364879760742187,0.8187828979492187,0.7776354370117187
plain,0,saved,test_probe,1,0.2,0.7621461791992188,3.3146748657226563,3.8523997192382815,3.583537292480469
plain,0,saved,test_probe,1,0.25,0.7621461791992188,5.432187316894532,6.193600402832032,5.812893859863282
plain,0,saved,test_probe,1,0.35,0.7621461791992188,11.884115539550782,11.98451885986328,11.934317199707031
plain,0,saved,test_probe,1,0.5,0.7621461791992188,26.88830206298828,21.62433135986328,24.256316711425782
plain,0,saved,test_probe,2,0.005,0.7621461791992188,-0.0008927612304687749,0.0020895690917968057,0.0005984039306640154
plain,0,saved,test_probe,2,0.01,0.7621461791992188,-0.0003338012695313086,0.005226715087890632,0.0024464569091796617
plain,0,saved,test_probe,2,0.02,0.7621461791992188,0.005888183593749985,0.01437854003906247,0.010133361816406228
plain,0,saved,test_probe,2,0.025,0.7621461791992188,0.010850463867187465,0.020703979492187496,0.01577722167968748
plain,0,saved,test_probe,2,0.05,0.7621461791992188,0.06383319091796869,0.07012570190429679,0.06697944641113274
plain,0,saved,test_probe,2,0.1,0.7621461791992188,0.33908273315429693,0.2806163940429687,0.3098495635986328
plain,0,saved,test_probe,2,0.2,0.7621461791992188,2.0990869750976566,1.133760986328125,1.6164239807128908
plain,0,saved,test_probe,2,0.25,0.7621461791992188,3.7663567504882813,1.711546691894531,2.7389517211914063
plain,0,saved,test_probe,2,0.35,0.7621461791992188,8.047791320800782,2.909435485839844,5.478613403320313
plain,0,saved,test_probe,2,0.5,0.7621461791992188,17.41672784423828,5.232419250488282,11.324573547363281
plain,0,saved,test_probe,3,0.005,0.7621461791992188,-0.002388549804687501,0.004619903564453076,0.0011156768798827876
plain,0,saved,test_probe,3,0.01,0.7621461791992188,-0.0027169494628906943,0.01245065307617188,0.004866851806640593
plain,0,saved,test_probe,3,0.02,0.7621461791992188,0.004173706054687476,0.03505340576171867,0.019613555908203073
plain,0,saved,test_probe,3,0.025,0.7621461791992188,0.013493713378906258,0.05026513671874999,0.031879425048828125
plain,0,saved,test_probe,3,0.05,0.7621461791992188,0.12995745849609375,0.15863739013671874,0.14429742431640624
plain,0,saved,test_probe,3,0.1,0.7621461791992188,0.9601795654296874,0.6241181640625,0.7921488647460937
plain,0,saved,test_probe,3,0.2,0.7621461791992188,7.960434875488282,2.631498107910156,5.295966491699219
plain,0,saved,test_probe,3,0.25,0.7621461791992188,13.946222961425782,4.2965003051757815,9.121361633300783
plain,0,saved,test_probe,3,0.35,0.7621461791992188,28.11122296142578,9.476477355957032,18.793850158691406
plain,0,saved,test_probe,3,0.5,0.7621461791992188,61.90408428955078,19.63107452392578,40.76757940673828
plain,0,saved,test_probe,4,0.005,0.7621461791992188,-0.0006979370117188299,0.0015437011718749671,0.0004228820800780686
plain,0,saved,test_probe,4,0.01,0.7621461791992188,0.0002875976562499716,0.004067718505859297,0.002177658081054634
plain,0,saved,test_probe,4,0.02,0.7621461791992188,0.0056066894531249245,0.011965301513671811,0.008785995483398368
plain,0,saved,test_probe,4,0.025,0.7621461791992188,0.010449310302734327,0.018016815185546875,0.014233062744140601
plain,0,saved,test_probe,4,0.05,0.7621461791992188,0.05791311645507813,0.07101568603515618,0.06446440124511715
plain,0,saved,test_probe,4,0.1,0.7621461791992188,0.29886056518554693,0.29838119506835925,0.2986208801269531
plain,0,saved,test_probe,4,0.2,0.7621461791992188,1.818295227050781,1.3162272338867187,1.5672612304687499
plain,0,saved,test_probe,4,0.25,0.7621461791992188,3.376284240722656,2.123040344238281,2.7496622924804686
plain,0,saved,test_probe,4,0.35,0.7621461791992188,7.662009582519531,4.130846740722657,5.896428161621094
plain,0,saved,test_probe,4,0.5,0.7621461791992188,14.781531555175782,12.995326965332032,13.888429260253908
plain,0,saved,test_probe,5,0.005,0.7621461791992188,-2.4078369140645428e-05,0.0015184326171874263,0.0007471771240233904
plain,0,saved,test_probe,5,0.01,0.7621461791992188,0.0016265563964843466,0.004584960937499938,0.003105758666992142
plain,0,saved,test_probe,5,0.02,0.7621461791992188,0.011731018066406196,0.01698883056640621,0.014359924316406203
