method,seed,a,b,train_ce,test_ce,source,policy
gaussian_postrelu,0,-0.45,0.3,3.3761051025390625,3.3353731689453125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.325,3.3827464599609374,3.33979541015625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.35,3.3980826416015626,3.35052392578125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.375,3.4158099365234373,3.3638558349609373,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.4,3.428317626953125,3.3738681640625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.425,3.4492525634765623,3.39064013671875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.45,3.480547241210937,3.417100341796875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.475,3.516870361328125,3.45010888671875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.5,3.549890380859375,3.48857958984375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.5,4.080464111328125,4.018521484375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.475,3.972263427734375,3.9030272216796873,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.45,3.869850952148437,3.783087280273437,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.425,3.7591513671875,3.662166259765625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.4,3.6492298583984377,3.544944580078125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.375,3.54174951171875,3.4253916015625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.35,3.4387734375,3.305900146484375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.325,3.3434112548828123,3.2032918701171877,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.3,3.259005126953125,3.112904052734375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.275,3.19079052734375,3.049930419921875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.25,3.136029541015625,2.997734619140625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.225,3.09336083984375,2.9549527587890627,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.2,3.0554033203125,2.9115279541015626,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.175,3.0288228759765623,2.8694923095703126,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.15,3.0167091064453126,2.8468135986328127,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.125,3.01319677734375,2.8396527099609377,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.1,3.0262763671875,2.855400146484375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.075,3.048191772460937,2.8850953369140626,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.05,3.07877734375,2.9153780517578123,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,-0.025,3.111055908203125,2.947462524414062,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.0,3.14569384765625,2.9755416259765624,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.025,3.174883544921875,3.002168212890625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.05,3.1954512939453124,3.0286600341796874,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.075,3.2136065673828127,3.05785791015625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.1,3.218329345703125,3.0911575927734374,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.125,3.2174010009765626,3.1251865234375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.15,3.227454345703125,3.1639942626953124,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.175,3.237543701171875,3.191881591796875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.2,3.246717529296875,3.2082216796875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.225,3.2530714111328125,3.218673828125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.25,3.254837158203125,3.229902099609375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.275,3.2628538818359374,3.2387735595703124,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.425,0.3,3.275700805664062,3.247943603515625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
