A,B,seed,alpha,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
plain,resolution_max_b1,3,0.22,0.6034328002929688,0.784,0.8887891540527344,0.69
plain,resolution_max_b1,3,0.24,0.6639766235351563,0.76,0.9180732727050781,0.681
plain,resolution_max_b1,3,0.26,0.7236016845703125,0.737,0.9494711608886719,0.667
plain,resolution_max_b1,3,0.28,0.7814783935546875,0.718,0.9821072998046875,0.659
plain,resolution_max_b1,3,0.3,0.8375979614257812,0.701,1.011874481201172,0.654
plain,resolution_max_b1,3,0.32,0.8906952819824219,0.689,1.0401340942382813,0.641
plain,resolution_max_b1,3,0.34,0.9412059326171875,0.667,1.067622802734375,0.638
plain,resolution_max_b1,3,0.36,0.986383056640625,0.647,1.094956817626953,0.635
plain,resolution_max_b1,3,0.38,1.0277850036621095,0.642,1.1195130004882812,0.635
plain,resolution_max_b1,3,0.4,1.0630639953613281,0.632,1.142500732421875,0.623
plain,resolution_max_b1,3,0.42,1.092784912109375,0.628,1.1632957763671874,0.614
plain,resolution_max_b1,3,0.44,1.1156952514648437,0.621,1.1824408569335938,0.599
plain,resolution_max_b1,3,0.46,1.1298466186523437,0.618,1.1991743774414063,0.586
plain,resolution_max_b1,3,0.48,1.1381127319335937,0.609,1.2113668212890625,0.578
plain,resolution_max_b1,3,0.5,1.1388706665039063,0.616,1.2175637817382812,0.576
plain,resolution_max_b1,3,0.52,1.1294077758789063,0.623,1.217201171875,0.586
plain,resolution_max_b1,3,0.54,1.11234814453125,0.633,1.2087899169921874,0.591
plain,resolution_max_b1,3,0.56,1.0899297485351562,0.639,1.1915050659179687,0.592
plain,resolution_max_b1,3,0.58,1.061549835205078,0.642,1.169763671875,0.602
plain,resolution_max_b1,3,0.6,1.0276516723632811,0.645,1.14349462890625,0.607
plain,resolution_max_b1,3,0.62,0.9889408264160157,0.66,1.112577850341797,0.616
plain,resolution_max_b1,3,0.64,0.9480215454101563,0.677,1.0789461059570313,0.623
plain,resolution_max_b1,3,0.66,0.9033543701171876,0.69,1.042192626953125,0.633
plain,resolution_max_b1,3,0.68,0.8557621459960938,0.7,1.003824981689453,0.65
plain,resolution_max_b1,3,0.7000000000000001,0.8073390197753906,0.71,0.9641220703125,0.666
plain,resolution_max_b1,3,0.72,0.7588229064941406,0.729,0.9228268737792968,0.679
plain,resolution_max_b1,3,0.74,0.7089179077148438,0.745,0.8815978088378906,0.689
plain,resolution_max_b1,3,0.76,0.6582777404785156,0.764,0.8424520568847657,0.7
plain,resolution_max_b1,3,0.78,0.6089901733398437,0.783,0.8052403259277344,0.719
plain,resolution_max_b1,3,0.8,0.5616041564941406,0.807,0.7695440063476563,0.735
plain,resolution_max_b1,3,0.8200000000000001,0.5162115936279297,0.82,0.7361937561035157,0.741
plain,resolution_max_b1,3,0.84,0.47396031188964843,0.837,0.7063179931640625,0.749
plain,resolution_max_b1,3,0.86,0.435239501953125,0.846,0.6787525634765625,0.759
plain,resolution_max_b1,3,0.88,0.4003591003417969,0.855,0.6528606262207032,0.771
plain,resolution_max_b1,3,0.9,0.3689968414306641,0.865,0.6304896240234374,0.78
