cell,radius,energy_fraction
plain__wd_high__seed0,23,0.00021578661575900692
resolution_max_b1__reference__seed0,0,0.00042293536825387996
resolution_max_b1__reference__seed0,1,0.003031173030046604
resolution_max_b1__reference__seed0,2,0.005318639753082974
resolution_max_b1__reference__seed0,3,0.008203788152133162
resolution_max_b1__reference__seed0,4,0.01828211014146538
resolution_max_b1__reference__seed0,5,0.01801771033235445
resolution_max_b1__reference__seed0,6,0.028200912139853512
resolution_max_b1__reference__seed0,7,0.030722642264168327
resolution_max_b1__reference__seed0,8,0.040054339323468566
resolution_max_b1__reference__seed0,9,0.05932350469784528
resolution_max_b1__reference__seed0,10,0.05256426378254786
resolution_max_b1__reference__seed0,11,0.07417224385270006
resolution_max_b1__reference__seed0,12,0.07744796337981422
resolution_max_b1__reference__seed0,13,0.10935777227447459
resolution_max_b1__reference__seed0,14,0.11869170745344354
resolution_max_b1__reference__seed0,15,0.11991449712326012
resolution_max_b1__reference__seed0,16,0.11943370999444383
resolution_max_b1__reference__seed0,17,0.061710855012612954
resolution_max_b1__reference__seed0,18,0.028530050049979883
resolution_max_b1__reference__seed0,19,0.014981379100145237
resolution_max_b1__reference__seed0,20,0.0051377146995334935
resolution_max_b1__reference__seed0,21,0.005154926950188388
resolution_max_b1__reference__seed0,22,0.0009747212230276141
resolution_max_b1__reference__seed0,23,0.00035043990115609156
resolution_max_b1__wd_low__seed0,0,0.00041303545065618887
resolution_max_b1__wd_low__seed0,1,0.0027816878985638606
resolution_max_b1__wd_low__seed0,2,0.004756598435534733
resolution_max_b1__wd_low__seed0,3,0.007555357644607938
resolution_max_b1__wd_low__seed0,4,0.017312490458610996
resolution_max_b1__wd_low__seed0,5,0.01711574603186414
resolution_max_b1__wd_low__seed0,6,0.026609656514189818
resolution_max_b1__wd_low__seed0,7,0.02868919101768202
resolution_max_b1__wd_low__seed0,8,0.037172657831757765
resolution_max_b1__wd_low__seed0,9,0.05538267749298541
resolution_max_b1__wd_low__seed0,10,0.05013960779558958
resolution_max_b1__wd_low__seed0,11,0.07181847731865601
resolution_max_b1__wd_low__seed0,12,0.07739525640823536
resolution_max_b1__wd_low__seed0,13,0.11060755934966358
resolution_max_b1__wd_low__seed0,14,0.12158179038134574
resolution_max_b1__wd_low__seed0,15,0.12349913206693972
resolution_max_b1__wd_low__seed0,16,0.12339192297488469
resolution_max_b1__wd_low__seed0,17,0.06398082077857432
resolution_max_b1__wd_low__seed0,18,0.03046967074929701
resolution_max_b1__wd_low__seed0,19,0.016500046986891843
resolution_max_b1__wd_low__seed0,20,0.005768551165892059
resolution_max_b1__wd_low__seed0,21,0.005615944948904066
resolution_max_b1__wd_low__seed0,22,0.0010683399326176003
resolution_max_b1__wd_low__seed0,23,0.00037378036605555066
resolution_max_b1_gaussian_conv__reference__seed1,0,0.0005078430501612697
resolution_max_b1_gaussian_conv__reference__seed1,1,0.0038003052601118005
resolution_max_b1_gaussian_conv__reference__seed1,2,0.006763762560505707
resolution_max_b1_gaussian_conv__reference__seed1,3,0.011020013738685734
resolution_max_b1_gaussian_conv__reference__seed1,4,0.025842652018450197
resolution_max_b1_gaussian_conv__reference__seed1,5,0.026106786250355635
