method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max
gaussian_postrelu,3,recalibrated,test_probe,0.25,20,1.273068522644043,0.21144826098403838,0.8376345825195313,1.6823759155273437
gaussian_postrelu,3,recalibrated,train_probe,0.025,20,0.02026622886657715,0.00910193049274604,0.009183128356933579,0.04622734069824219
gaussian_postrelu,3,recalibrated,train_probe,0.05,20,0.0896708839416504,0.03776727094946713,0.038704483032226566,0.188926383972168
gaussian_postrelu,3,recalibrated,train_probe,0.1,20,0.3372250621795655,0.0983314014227266,0.1688997192382813,0.5419003448486328
gaussian_postrelu,3,recalibrated,train_probe,0.2,20,1.0436152420043947,0.19127927022496516,0.6347811431884766,1.381163055419922
gaussian_postrelu,3,recalibrated,train_probe,0.25,20,1.4353501358032228,0.21684369423895902,0.9581070251464844,1.7825572204589846
gaussian_postrelu,3,saved,test_probe,0.025,20,0.0354314796447754,0.015169092994844032,0.012257324218750032,0.07934558105468759
gaussian_postrelu,3,saved,test_probe,0.05,20,0.1693453453063965,0.07088353864745722,0.06166017150878911,0.33100595092773444
gaussian_postrelu,3,saved,test_probe,0.1,20,0.7582806617736817,0.2726852526077904,0.3088681335449218,1.2769675292968752
gaussian_postrelu,3,saved,test_probe,0.2,20,2.9881719482421873,0.8495556875202774,1.9266851501464846,4.8710508728027335
gaussian_postrelu,3,saved,test_probe,0.25,20,4.428231530761718,1.201683599027025,2.9298650817871095,7.347256805419922
gaussian_postrelu,3,saved,train_probe,0.025,20,0.040892635726928715,0.016415747907302842,0.018471588134765626,0.08818972778320311
gaussian_postrelu,3,saved,train_probe,0.05,20,0.18786048774719238,0.07064340220524756,0.08077894592285162,0.3700355377197265
gaussian_postrelu,3,saved,train_probe,0.1,20,0.827458792114258,0.2676778456940003,0.3631172637939454,1.3503109893798828
gaussian_postrelu,3,saved,train_probe,0.2,20,3.158526773071289,0.857665871627737,2.0116180572509763,5.140058456420899
gaussian_postrelu,3,saved,train_probe,0.25,20,4.639424145507812,1.215135177018094,3.1687061004638672,7.705126571655274
gaussian_postrelu,4,recalibrated,test_probe,0.025,20,0.01294745407104495,0.00561037333458395,0.0057602539062500124,0.025163772583007837
gaussian_postrelu,4,recalibrated,test_probe,0.05,20,0.05603503341674807,0.030965081041511796,0.020561889648437526,0.13899392700195312
gaussian_postrelu,4,recalibrated,test_probe,0.1,20,0.2335267272949219,0.12174530053297145,0.07549856567382818,0.5234329528808596
gaussian_postrelu,4,recalibrated,test_probe,0.2,20,0.7692023010253907,0.25251504010666753,0.28856089782714844,1.3037290649414062
gaussian_postrelu,4,recalibrated,test_probe,0.25,20,1.0896999649047854,0.28251422812201554,0.460012725830078,1.6509868774414067
gaussian_postrelu,4,recalibrated,train_probe,0.025,20,0.018670308113098145,0.009150656606301428,0.007080406188964883,0.03808771514892578
gaussian_postrelu,4,recalibrated,train_probe,0.05,20,0.07742734222412109,0.03903440590748405,0.027515541076660155,0.1536264419555664
gaussian_postrelu,4,recalibrated,train_probe,0.1,20,0.2947167381286621,0.1313337240316995,0.10725815582275389,0.5504098205566407
