method,transition_update,seed,state_label,state,split,L_center_saved,L_center_recalibrated,S_recal_eps0.025,n_dirs_eps0.025,S_recal_eps0.05,n_dirs_eps0.05,S_recal_eps0.1,n_dirs_eps0.1,S_recal_eps0.2,n_dirs_eps0.2,S_recal_eps0.25,n_dirs_eps0.25
gaussian_postrelu,1173,2,final,"{""resolution"": null, ""sigma"": 0.0}",train_probe,5.019407958984375,1.8758370971679688,0.0029692657470703487,10,0.011535296630859348,10,0.041967739868164135,10,0.13641626281738278,10,0.19404438781738292,10
gaussian_postrelu,1173,2,final,"{""resolution"": null, ""sigma"": 0.0}",test_probe,4.858581787109375,1.8668072509765625,0.0032665802001953016,10,0.011696215820312439,10,0.04312118835449217,10,0.142145703125,10,0.20095111389160142,10
gaussian_postrelu,1173,3,before,"{""resolution"": null, ""sigma"": 1.0}",train_probe,1.0921451416015624,1.063499755859375,0.006306588745117159,10,0.027821392822265544,10,0.12189222717285149,10,0.44441932373046866,10,0.6372952056884765,10
gaussian_postrelu,1173,3,before,"{""resolution"": null, ""sigma"": 1.0}",test_probe,1.1621241455078124,1.1186270751953125,0.007936755371093795,10,0.03138645019531257,10,0.1261676208496094,10,0.43415939331054687,10,0.6135817291259766,10
gaussian_postrelu,1173,3,after,"{""resolution"": null, ""sigma"": 0.85}",train_probe,1.1819275512695313,1.0639041137695313,0.005607412719726557,10,0.025286666870117158,10,0.11270379943847653,10,0.4124878662109374,10,0.5925421325683593,10
gaussian_postrelu,1173,3,after,"{""resolution"": null, ""sigma"": 0.85}",test_probe,1.223607421875,1.1126860961914062,0.006850357055664014,10,0.027922714233398493,10,0.11521924438476565,10,0.4013049133300782,10,0.5697506164550783,10
gaussian_postrelu,1173,3,final,"{""resolution"": null, ""sigma"": 0.0}",train_probe,7.82861083984375,1.8140513305664063,0.0031506744384765194,10,0.012491519165038944,10,0.050475338745117095,10,0.17547083129882804,10,0.24644870300292965,10
gaussian_postrelu,1173,3,final,"{""resolution"": null, ""sigma"": 0.0}",test_probe,7.82342919921875,1.8212168579101562,0.0027620178222656834,10,0.01351985168457035,10,0.05448093566894534,10,0.1804369720458985,10,0.25133291625976567,10
gaussian_postrelu,1173,4,before,"{""resolution"": null, ""sigma"": 1.0}",train_probe,1.1261680908203124,1.0478839111328124,0.00753945617675793,10,0.03135176086425791,10,0.12388063049316414,10,0.44639642944335944,10,0.6291540618896485,10
gaussian_postrelu,1173,4,before,"{""resolution"": null, ""sigma"": 1.0}",test_probe,1.1471448974609375,1.0870165405273438,0.008041598510742176,10,0.029817730712890643,10,0.11583665466308593,10,0.4330065826416016,10,0.6174027770996094,10
gaussian_postrelu,1173,4,after,"{""resolution"": null, ""sigma"": 0.85}",train_probe,1.2161080322265625,1.0677860107421875,0.0066384704589843805,10,0.027839999389648474,10,0.11064972534179689,10,0.4042244812011718,10,0.5737765655517577,10
gaussian_postrelu,1173,4,after,"{""resolution"": null, ""sigma"": 0.85}",test_probe,1.2320928344726563,1.1012086791992188,0.0074165985107421005,10,0.02711713867187491,10,0.1048563964843749,10,0.3938415954589843,10,0.5646604339599609,10
gaussian_postrelu,1173,4,final,"{""resolution"": null, ""sigma"": 0.0}",train_probe,4.190852294921875,1.8597278442382812,0.0027984436035156657,10,0.010183508300781297,10,0.040570138549804693,10,0.14547568054199217,10,0.20579024047851574,10
gaussian_postrelu,1173,4,final,"{""resolution"": null, ""sigma"": 0.0}",test_probe,4.17599462890625,1.861397216796875,0.002153973388671804,10,0.009909930419921808,10,0.04199335021972646,10,0.15305876159667958,10,0.21715409851074213,10
gaussian_postrelu,8211,0,before,"{""resolution"": null, ""sigma"": 0.3}",train_probe,0.3696404266357422,0.36460203552246095,0.012542444610595694,10,0.05161958847045896,10,0.22064920349121092,10,0.7586522445678711,10,1.0676753311157225,10
gaussian_postrelu,8211,0,before,"{""resolution"": null, ""sigma"": 0.3}",test_probe,0.5867900390625,0.5779974670410156,0.007956599426269539,10,0.03575919342041015,10,0.17329912872314454,10,0.6452040878295897,10,0.9277837219238283,10
gaussian_postrelu,8211,0,after,"{""resolution"": null, ""sigma"": 0.0}",train_probe,0.3757861328125,0.37164271545410155,0.01262772979736329,10,0.05191105270385743,10,0.22060885848999026,10,0.755067987060547,10,1.0618135879516601,10
gaussian_postrelu,8211,0,after,"{""resolution"": null, ""sigma"": 0.0}",test_probe,0.5881494140625,0.5817229614257813,0.008040039062499948,10,0.036227476501464816,10,0.17350102233886716,10,0.6434167480468751,10,0.9243328765869139,10
gaussian_postrelu,8211,1,before,"{""resolution"": null, ""sigma"": 0.3}",train_probe,0.36597352600097655,0.35592762756347657,0.013929623413085929,10,0.060231481170654286,10,0.24571236495971682,10,0.8255566085815429,10,1.1718018859863282,10
gaussian_postrelu,8211,1,before,"{""resolution"": null, ""sigma"": 0.3}",test_probe,0.581534423828125,0.5702833099365234,0.013055047607421877,10,0.0535381980895996,10,0.22124310455322266,10,0.7534751724243165,10,1.074879086303711,10
gaussian_postrelu,8211,1,after,"{""resolution"": null, ""sigma"": 0.0}",train_probe,0.3779031829833984,0.3633826904296875,0.013838053894042945,10,0.0602417510986328,10,0.24569287872314455,10,0.8231540756225586,10,1.1665003967285155,10
gaussian_postrelu,8211,1,after,"{""resolution"": null, ""sigma"": 0.0}",test_probe,0.5936226196289063,0.5770408020019532,0.013400237274169858,10,0.05398889312744134,10,0.22092021636962883,10,0.7494904418945313,10,1.0682748260498047,10
gaussian_postrelu,8211,2,before,"{""resolution"": null, ""sigma"": 0.3}",train_probe,0.33335487365722655,0.3285268402099609,0.011951438140869158,10,0.05186664428710939,10,0.2152265670776367,10,0.7725997146606446,10,1.1036419876098633,10
gaussian_postrelu,8211,2,before,"{""resolution"": null, ""sigma"": 0.3}",test_probe,0.5919400939941406,0.5877836608886718,0.009385096740722697,10,0.03906044006347661,10,0.17553292541503912,10,0.6756193954467774,10,0.9787492309570313,10
