method,seed,policy,split,direction,direction_seed,amplitude,L_center,dL_plus,dL_minus,S,acc_center,acc_plus,acc_minus
plain,0,saved,test_probe,9,1483983997,0.05,0.7621461791992188,0.10343878173828125,0.10038723754882806,0.10191300964355465,0.739,0.729,0.718
plain,0,saved,train_probe,9,1483983997,0.1,0.2235287322998047,0.6869604034423828,0.4586148223876953,0.5727876129150391,0.941,0.723,0.776
plain,0,saved,test_probe,9,1483983997,0.1,0.7621461791992188,0.5173977050781249,0.3918182983398437,0.4546080017089842,0.739,0.655,0.655
plain,0,saved,train_probe,9,1483983997,0.2,0.2235287322998047,3.02467024230957,1.9617091827392579,2.493189712524414,0.941,0.419,0.465
plain,0,saved,test_probe,9,1483983997,0.2,0.7621461791992188,2.624857727050781,1.6409363403320312,2.132897033691406,0.739,0.396,0.43
plain,0,saved,train_probe,9,1483983997,0.25,0.2235287322998047,4.800143630981445,2.9641565704345703,3.8821501007080075,0.941,0.322,0.347
plain,0,saved,test_probe,9,1483983997,0.25,0.7621461791992188,4.286988098144532,2.6102035522460936,3.448595825195313,0.739,0.317,0.33
plain,0,saved,train_probe,10,1122553142,0.025,0.2235287322998047,0.028579467773437506,0.03280908966064455,0.030694278717041057,0.941,0.922,0.923
plain,0,saved,test_probe,10,1122553142,0.025,0.7621461791992188,0.008964599609375012,0.03451098632812499,0.021737792968750003,0.739,0.731,0.733
plain,0,saved,train_probe,10,1122553142,0.05,0.2235287322998047,0.11742826843261717,0.12941461181640623,0.12342144012451167,0.941,0.883,0.892
plain,0,saved,test_probe,10,1122553142,0.05,0.7621461791992188,0.07347894287109369,0.12347277832031245,0.09847586059570301,0.739,0.714,0.712
plain,0,saved,train_probe,10,1122553142,0.1,0.2235287322998047,0.5020396575927735,0.5821982269287109,0.5421189422607422,0.941,0.745,0.732
