method,seed,probe,policy,amplitude,mean_dHd,C_mean_finite,ratio_C_over_dHd
plain,4,train_probe,saved,0.02,100.00554009012322,120.30452346801755,1.202978588582205
plain,4,train_probe,saved,0.025,100.00554009012322,121.31790222167965,1.213111814728965
plain,4,train_probe,saved,0.05,100.00554009012322,126.98563522338864,1.2697860049448404
plain,4,train_probe,saved,0.1,100.00554009012322,139.58901412963866,1.39581281200865
plain,4,train_probe,saved,0.2,100.00554009012322,155.16810157775876,1.551595056013137
plain,4,train_probe,saved,0.25,100.00554009012322,156.93662802734374,1.569279340783673
plain,4,train_probe,saved,0.35,100.00554009012322,154.81857566366392,1.548099990501968
plain,4,train_probe,saved,0.5,100.00554009012322,159.19064387207032,1.5918182505550247
plain,4,train_probe,centre_frozen,0.005,97.86089377026951,120.14476013183597,1.2277096141578094
plain,4,train_probe,centre_frozen,0.01,97.86089377026951,120.89889526367185,1.2354158091738312
plain,4,train_probe,centre_frozen,0.02,97.86089377026951,121.65495491027832,1.2431416700103501
plain,4,train_probe,centre_frozen,0.025,97.86089377026951,122.6271301269531,1.253075926476033
plain,4,train_probe,centre_frozen,0.05,97.86089377026951,128.62431838989252,1.314358713009926
plain,4,train_probe,centre_frozen,0.1,97.86089377026951,141.9082363891601,1.450101577063997
plain,4,train_probe,centre_frozen,0.2,97.86089377026951,156.23933738708496,1.5965451710860117
plain,4,train_probe,centre_frozen,0.25,97.86089377026951,157.38977333984377,1.608301000288425
plain,4,train_probe,centre_frozen,0.35,97.86089377026951,154.7992083864796,1.5818290884392898
plain,4,train_probe,centre_frozen,0.5,97.86089377026951,159.37907797851565,1.6286288816517593
plain,4,test_probe,saved,0.005,142.94568438914112,92.1589355468786,0.6447129617148446
plain,4,test_probe,saved,0.01,142.94568438914112,89.87048339843851,0.6287037190558621
plain,4,test_probe,saved,0.02,142.94568438914112,94.296871185303,0.6596692414203885
plain,4,test_probe,saved,0.025,142.94568438914112,96.11357177734388,0.6723782686275008
plain,4,test_probe,saved,0.05,142.94568438914112,101.59795654296877,0.7107451825295306
plain,4,test_probe,saved,0.1,142.94568438914112,114.23396194458005,0.7991424325452237
plain,4,test_probe,saved,0.2,142.94568438914112,137.48154716491698,0.9617747310975187
plain,4,test_probe,saved,0.25,142.94568438914112,142.50766787109373,0.9969357835466024
plain,4,test_probe,saved,0.35,142.94568438914112,145.52226422991072,1.0180248872274826
plain,4,test_probe,saved,0.5,142.94568438914112,153.76835937500002,1.0757117994300291
