coords,policy,probe,quantity,method,comparison,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4
ordinary,centre_frozen,train_probe,min,resolution_max_b1_gaussian_conv,value,5,-2.553490026944768,0.3975460552486079,5,0,0,-2.9483404174699115,-2.2160420928529367,-3.019436067818948,-2.2272364192399863,-2.3563951373420564
ordinary,centre_frozen,train_probe,min,resolution_max_b1_gaussian_conv,difference vs plain,5,1.7360776209554598,1.6125327539609795,0,5,0,0.6349990568479189,1.7307098933985463,0.24183103777727188,4.373224370237782,1.6996237465157793
ordinary,centre_frozen,train_probe,min,resolution_max_b1_gaussian_conv,ratio to plain,5,0.6457045741279349,0.2324615192068246,0,5,0,0.8227912645734451,0.5614850136447699,0.9258475218536076,0.33743650485592935,0.5809625657119225
ordinary,centre_frozen,train_probe,grad_norm,plain,value,5,2.978896890320048,0.5372087393177295,0,5,0,2.810781554986,2.884039331723026,2.487161956485978,3.899627744365763,2.812873864039472
ordinary,centre_frozen,train_probe,grad_norm,resolution_max_b1,value,5,2.2888317895031127,0.1714764257195546,0,5,0,2.30833264186602,2.5404907114490407,2.3372362301252707,2.1132299401279884,2.1448694239472452
ordinary,centre_frozen,train_probe,grad_norm,resolution_max_b1,difference vs plain,5,-0.6900651008169347,0.6421557673869779,5,0,0,-0.5024489131199799,-0.34354862027398525,-0.14992572636070722,-1.7863978042377746,-0.6680044400922269
ordinary,centre_frozen,train_probe,grad_norm,resolution_max_b1,ratio to plain,5,0.7892532452906668,0.15326002455926704,0,5,0,0.8212422761104669,0.8808793567774482,0.939720159368901,0.5419055557754744,0.7625188784210435
ordinary,centre_frozen,train_probe,grad_norm,gaussian_postrelu,value,5,2.442546999785777,0.21456784605846313,0,5,0,2.5144684469640457,2.504399406512799,2.6103647768229403,2.517048171921544,2.066454196707556
ordinary,centre_frozen,train_probe,grad_norm,gaussian_postrelu,difference vs plain,5,-0.5363498905342708,0.5651149074032522,4,1,0,-0.2963131080219541,-0.37963992521022716,0.1232028203369624,-1.382579572444219,-0.7464196673319163
ordinary,centre_frozen,train_probe,grad_norm,gaussian_postrelu,ratio to plain,5,0.838516143207037,0.1554223393898918,0,5,0,0.8945798162449412,0.8683652053443331,1.0495355037156613,0.6454585762854443,0.7346416144448054
ordinary,centre_frozen,train_probe,grad_norm,resolution_max_b1_gaussian_conv,value,5,2.0438129959306535,0.19684645475604498,0,5,0,2.1933466029467374,1.8791869029608768,2.3139718723635463,1.9133809565391962,1.9191786448429107
ordinary,centre_frozen,train_probe,grad_norm,resolution_max_b1_gaussian_conv,difference vs plain,5,-0.9350838943893944,0.6694974100138881,5,0,0,-0.6174349520392624,-1.0048524287621492,-0.17319008412243164,-1.9862467878265668,-0.8936952191965615
ordinary,centre_frozen,train_probe,grad_norm,resolution_max_b1_gaussian_conv,ratio to plain,5,0.7070445172793687,0.1626011577378536,0,5,0,0.7803333557017248,0.6515815794502999,0.930366382586872,0.4906573349991357,0.682283933658811
ordinary,centre_frozen,test_probe,top1,plain,value,5,3229.892793222347,295.6043954037609,0,5,0,3009.1041378720984,2848.838422313595,3468.8872617381858,3539.047014743923,3283.587129443933
ordinary,centre_frozen,test_probe,top1,resolution_max_b1,value,5,1664.1263569565767,69.98114408810027,0,5,0,1650.5891883900645,1596.0470627416648,1619.8203928454022,1677.6904570011932,1776.4846838045592
ordinary,centre_frozen,test_probe,top1,resolution_max_b1,difference vs plain,5,-1565.7664362657702,279.2761609246369,5,0,0,-1358.514949482034,-1252.7913595719301,-1849.0668688927835,-1861.3565577427296,-1507.1024456393739
ordinary,centre_frozen,test_probe,top1,resolution_max_b1,ratio to plain,5,0.518160872640739,0.044111983384536146,0,5,0,0.54853175987365,0.5602448528637455,0.46695677046412415,0.4740514748777891,0.5410195051243858
ordinary,centre_frozen,test_probe,top1,gaussian_postrelu,value,5,1481.902074119667,103.68872480481733,0,5,0,1356.2467165930718,1556.602405435508,1449.2722435605874,1431.2875810921907,1616.1014239169779
ordinary,centre_frozen,test_probe,top1,gaussian_postrelu,difference vs plain,5,-1747.99071910268,326.5183907460946,5,0,0,-1652.8574212790265,-1292.236016878087,-2019.6150181775984,-2107.7594336517323,-1667.4857055269551
ordinary,centre_frozen,test_probe,top1,gaussian_postrelu,ratio to plain,5,0.46230161957991844,0.057943166567230156,0,5,0,0.4507144500330081,0.5463989790517365,0.4177916819454051,0.40442739955963974,0.492175587309803
ordinary,centre_frozen,test_probe,top1,resolution_max_b1_gaussian_conv,value,5,1268.3553910849078,69.27836141429871,0,5,0,1315.2820907412558,1270.1529473483508,1322.5836227898296,1150.7266317348092,1283.0316628102928
ordinary,centre_frozen,test_probe,top1,resolution_max_b1_gaussian_conv,difference vs plain,5,-1961.5374021374396,330.1710896754064,5,0,0,-1693.8220471308425,-1578.685474965244,-2146.303638948356,-2388.3203830091134,-2000.5554666336402
ordinary,centre_frozen,test_probe,top1,resolution_max_b1_gaussian_conv,ratio to plain,5,0.396022599905199,0.048575637857181476,0,5,0,0.43710088799763624,0.4458494161690068,0.38127028150436665,0.3251515526470261,0.39074086120795914
