method,epoch,update,joint_change,state_label,state,seed,split,centre_ce_saved,centre_acc_saved,centre_ce_recalibrated,centre_acc_recalibrated,S_recalibrated_eps0.025,S_recalibrated_eps0.05,S_recalibrated_eps0.1,S_recalibrated_eps0.2,S_recalibrated_eps0.25,S_saved_eps0.1,S_saved_eps0.25
resolution_max_b1,12,4692,False,before,r=24,3,test_probe,0.7369509582519531,0.745,0.7193437805175781,0.745,0.003623109436035221,0.01451459350585943,0.05780502166748053,0.23723144836425783,0.37607777404785164,0.19259942321777346,1.727324255371094
resolution_max_b1,12,4692,False,before,r=24,4,train_probe,0.5140712890625,0.817,0.5033207092285156,0.827,0.0053985023498535735,0.021477049255371174,0.08368355102539067,0.3115588699340821,0.47628346405029304,0.2305887649536133,1.8803834991455077
resolution_max_b1,12,4692,False,before,r=24,4,test_probe,0.6981687316894531,0.762,0.6889906921386719,0.763,0.004766757202148364,0.017674302673339803,0.06534304656982416,0.2519237411499023,0.39637607421874993,0.20507810821533198,1.7527921600341798
resolution_max_b1,12,4692,False,after,r=32,0,train_probe,2.9066181640625,0.242,1.1573116455078125,0.593,0.005262268066406217,0.022624432373046854,0.09434035644531247,0.3615014343261719,0.5308486846923829,0.24549611206054692,1.450482196044922
resolution_max_b1,12,4692,False,after,r=32,0,test_probe,2.9722142333984376,0.232,1.2090360717773438,0.569,0.006268136596679597,0.023210498046874896,0.09497600402832018,0.3595611541748046,0.5240479461669921,0.23924550781249992,1.4393784423828122
resolution_max_b1,12,4692,False,after,r=32,1,train_probe,3.92296923828125,0.16,0.9290115051269531,0.683,0.006140124511718792,0.026306730651855535,0.10940699615478526,0.42723732299804695,0.6329665130615234,0.17535643920898422,1.0787913940429688
resolution_max_b1,12,4692,False,after,r=32,1,test_probe,3.934190673828125,0.148,1.0039336547851563,0.657,0.006132710266113217,0.02589690704345695,0.10378510131835932,0.4056861785888672,0.60181357421875,0.17817451171875,1.0771451171875002
resolution_max_b1,12,4692,False,after,r=32,2,train_probe,4.3196259765625,0.178,0.9998417663574218,0.67,0.007810952758789069,0.03077146911621096,0.11575880584716805,0.4208749755859375,0.6213913665771484,0.1954016601562505,1.5176821960449225
resolution_max_b1,12,4692,False,after,r=32,2,test_probe,4.249080078125,0.182,1.0862196044921875,0.645,0.007847337341308647,0.02914864349365238,0.1105557312011719,0.41245032043457047,0.6096738739013673,0.22134025268554697,1.5557523315429689
resolution_max_b1,12,4692,False,after,r=32,3,train_probe,3.7391563720703127,0.205,0.9738525390625,0.669,0.006197059631347646,0.02584343109130859,0.10349183349609377,0.3774967681884766,0.5540685333251953,0.2148879272460935,1.114941058349609
resolution_max_b1,12,4692,False,after,r=32,3,test_probe,3.7522493896484375,0.185,1.10557275390625,0.61,0.006551551818847523,0.026676329040527257,0.10483302001953114,0.37458921813964835,0.5464043182373046,0.21951331787109382,1.1234898071289063
resolution_max_b1,12,4692,False,after,r=32,4,train_probe,2.93426513671875,0.256,1.1205453491210937,0.626,0.006396778869628949,0.024882456970214895,0.09579999389648435,0.3578698455810547,0.5318490020751954,0.2720082458496094,1.5757069519042968
resolution_max_b1,12,4692,False,after,r=32,4,test_probe,2.98906982421875,0.227,1.2589154052734375,0.569,0.0074623168945312955,0.027906201171875034,0.09403789978027341,0.3268090789794922,0.48967663574218745,0.28104506835937515,1.5842527465820315
resolution_max_b1,12,4692,False,r=16,r=16,0,train_probe,0.9747857055664062,0.651,0.8417015686035156,0.715,0.004368183898925781,0.016431820678710952,0.06468383636474609,0.2540195175170898,0.3913038574218751,0.1774512420654297,1.1964153564453126
resolution_max_b1,12,4692,False,r=16,r=16,0,test_probe,1.03313818359375,0.645,0.9162609252929688,0.678,0.0035116653442382796,0.014245823669433577,0.05621962127685544,0.22414996185302732,0.3483774475097657,0.17837484588623037,1.1628099517822263
resolution_max_b1,12,4692,False,r=16,r=16,1,train_probe,0.8914259033203125,0.693,0.7575336303710938,0.745,0.005163047790527331,0.01945639648437497,0.07656671752929682,0.31422415924072256,0.4930254486083984,0.24075141143798834,1.5783394897460936
resolution_max_b1,12,4692,False,r=16,r=16,1,test_probe,1.0270143127441407,0.639,0.90850244140625,0.698,0.00404785308837885,0.016993350219726543,0.06987571868896483,0.27261776580810543,0.42454078369140624,0.2081848159790039,1.4768686614990236
resolution_max_b1,12,4692,False,r=16,r=16,2,train_probe,0.8875193481445313,0.703,0.7172816772460937,0.763,0.005029478454589875,0.020891868591308684,0.08579863586425782,0.3245383819580079,0.4936274017333986,0.2107285552978516,1.6792650695800782
resolution_max_b1,12,4692,False,r=16,r=16,2,test_probe,1.0427979736328126,0.655,0.8629151611328125,0.714,0.005322944641113247,0.018694989013671857,0.0713332550048828,0.2860975509643554,0.44349703674316404,0.20954722290039052,1.6152182342529298
resolution_max_b1,12,4692,False,r=16,r=16,3,train_probe,0.8540349731445313,0.697,0.7659295043945312,0.731,0.005259913635253921,0.020133982849121122,0.07368817443847658,0.2793894439697266,0.43352582397460937,0.1699854843139649,1.2768142181396487
resolution_max_b1,12,4692,False,r=16,r=16,3,test_probe,0.9986639404296875,0.668,0.9335975646972656,0.688,0.0039295547485351575,0.015763513183593748,0.06342116394042968,0.2536435546875,0.3910382141113281,0.15015057525634762,1.171335205078125
resolution_max_b1,12,4692,False,r=16,r=16,4,train_probe,0.8962281188964843,0.662,0.8258057250976563,0.714,0.005581442260742175,0.019906413269042966,0.07624359436035154,0.2917025436401367,0.44637579956054696,0.16464342041015628,1.2595892608642578
resolution_max_b1,12,4692,False,r=16,r=16,4,test_probe,0.996478759765625,0.664,0.9624988403320313,0.688,0.0031592437744140667,0.013576188659667966,0.059002873229980476,0.2506852081298828,0.3942630828857422,0.16239440307617176,1.2191888061523435
gaussian_postrelu,3,1173,False,before,G=1,0,train_probe,1.13690380859375,0.589,1.11490087890625,0.597,0.006927856445312464,0.027374938964843797,0.10504710693359372,0.3674663879394531,0.5308517639160156,0.3250153381347657,1.8231166320800782
gaussian_postrelu,3,1173,False,before,G=1,0,test_probe,1.1731246337890624,0.573,1.1559302978515624,0.578,0.005633242797851601,0.022991543579101624,0.09476474914550788,0.3481221191406251,0.504398861694336,0.31730278320312505,1.7576427490234376
gaussian_postrelu,3,1173,False,before,G=1,1,train_probe,1.163728271484375,0.577,1.0975481567382812,0.601,0.008475119018554734,0.03694893798828129,0.15004125976562505,0.507485760498047,0.7078987457275391,0.4506053802490233,2.6588197937011713
gaussian_postrelu,3,1173,False,before,G=1,1,test_probe,1.197280517578125,0.556,1.1491889038085938,0.574,0.010653146362304588,0.040338497924804595,0.1478737304687499,0.48914266052246075,0.6787643585205078,0.4556622589111329,2.6564235961914067
