method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max,n_negative_S,C_mean,C_direction_sd
plain,1,centre_frozen,test_probe,0.1,20,0.7116880706787108,0.22405349200832686,0.4001656188964845,1.1872940673828123,0,142.33761413574217,44.81069840166536
plain,1,centre_frozen,test_probe,0.2,20,3.4267766571044924,0.8978602113916672,1.9398305053710936,4.865251525878906,0,171.33883285522458,44.89301056958336
plain,1,centre_frozen,test_probe,0.25,20,5.419981973266602,1.3321222638715202,3.2867291259765623,7.266857360839845,0,173.43942314453128,42.62791244388865
plain,1,centre_frozen,test_probe,0.35,20,10.23151332397461,2.359784743960873,5.796962951660157,15.558225646972659,0,167.04511549346304,38.52709786058568
plain,1,centre_frozen,test_probe,0.5,20,21.22059967041016,5.124833224835074,9.665367126464844,32.270610534667966,0,169.76479736328128,40.99866579868059
plain,2,saved,train_probe,0.005,20,0.001836533355712898,0.00045988884053889184,0.001125095367431661,0.00295434951782228,0,146.92266845703185,36.79110724311135
plain,2,saved,train_probe,0.01,20,0.007027452278137213,0.0017485707876899294,0.004356132507324223,0.011520355224609369,0,140.54904556274425,34.97141575379858
plain,2,saved,train_probe,0.02,20,0.027387297439575197,0.007064089115074386,0.01634912109375003,0.046377151489257806,0,136.93648719787598,35.320445575371934
plain,2,saved,train_probe,0.025,20,0.04259127273559571,0.01115149447797699,0.024814968109130864,0.07319640731811522,0,136.2920727539062,35.68478232952636
plain,2,saved,train_probe,0.05,20,0.1729559268951416,0.048274793821929535,0.09238342285156254,0.3025086669921875,0,138.36474151611327,38.619835057543625
plain,2,saved,train_probe,0.1,20,0.7534807876586914,0.2428721943355169,0.34674336242675774,1.3449803161621092,0,150.69615753173827,48.574438867103375
plain,2,saved,train_probe,0.2,20,3.401003213500977,1.0654080288164884,1.691554412841797,5.845805206298829,0,170.0501606750488,53.270401440824415
plain,2,saved,train_probe,0.25,20,5.277018142700195,1.5194930192395173,2.9993526916503903,8.752376373291016,0,168.86458056640623,48.62377661566455
plain,2,saved,train_probe,0.35,20,9.590650268554686,2.5002422334782413,6.442308746337891,14.641202056884765,0,156.58204520089288,40.820281362910066
plain,2,saved,train_probe,0.5,20,20.492511968994144,5.782855187365448,11.301538970947266,34.38479238891601,0,163.94009575195315,46.262841498923585
plain,2,saved,test_probe,0.005,20,0.0013965332031249777,0.00046800678177777693,0.0006114501953123908,0.0026123046874999556,0,111.72265624999822,37.440542542222154
plain,2,saved,test_probe,0.01,20,0.005690791320800764,0.0018219716529013904,0.00213833618164061,0.010491165161132798,0,113.81582641601526,36.43943305802781
