policy,split,amplitude,method,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4,mean_relative_to_plain
recalibrated,test_probe,0.005,resolution_max_b1,5,7.222793579098605e-05,9.895773967230746e-05,1,4,0,0.00011262207031245138,0.00016620178222656048,6.16142272949038e-05,-9.196624755863916e-05,0.00011266784667965382,0.4732820573311713
recalibrated,test_probe,0.005,gaussian_postrelu,5,0.0002663230133056548,0.00012016915997179997,0,5,0,0.0001767936706542128,0.0003191951751708888,0.00013636322021487457,0.000259683227539087,0.0004395797729492112,1.4527646933662344
recalibrated,test_probe,0.005,resolution_max_b1_gaussian_conv,5,1.7921447753873038e-05,3.149165975770612e-05,1,4,0,1.3760375976579192e-05,3.508453369132635e-05,-2.934684753422848e-05,1.4638519287107866e-05,5.5470657348580255e-05,0.11726404851824328
recalibrated,test_probe,0.01,resolution_max_b1,5,0.00015394180297848117,0.0002706700336258458,1,4,0,0.0004011428833007424,0.00038579177856445945,0.00013692398071283316,-0.0002657005310058969,0.00011155090332026774,0.22171429710685647
recalibrated,test_probe,0.01,gaussian_postrelu,5,0.0008295471954345634,0.000335566909139838,0,5,0,0.0005596073150634262,0.0008416168212890652,0.0004987854003906168,0.0009061935424804878,0.0013415328979492212,0.9280580959620813
recalibrated,test_probe,0.01,resolution_max_b1_gaussian_conv,5,-5.8808288574253574e-05,0.00010570614148599891,3,2,0,6.624755859377949e-05,-0.000119934844970776,-0.0001991680145264573,-5.7322311401370027e-05,1.613616943355598e-05,-0.05294123654968076
recalibrated,test_probe,0.02,resolution_max_b1,5,2.3628387451133607e-05,0.0006570671616683174,3,2,0,0.0006837806701659845,0.0005530723571777535,-0.00010514984130864918,-0.0009713157653809257,-4.224548339849506e-05,0.02500539494500086
recalibrated,test_probe,0.02,gaussian_postrelu,5,0.003009210739135724,0.0013339507502276718,0,5,0,0.0019100677490233755,0.0030853885650634575,0.001506706237792965,0.003793791961669935,0.004750099182128886,0.7823618308298703
recalibrated,test_probe,0.02,resolution_max_b1_gaussian_conv,5,-0.000502495727539104,0.0005481997944415855,4,1,0,-0.00010624504089352125,-0.0009807792663575066,-0.0009876247406006792,-0.0006772464752197336,0.0002394168853759207,-0.11764364139089585
recalibrated,test_probe,0.025,resolution_max_b1,5,-0.0002334888458252294,0.0008299229544796528,3,2,0,0.0006300727844237965,0.0004392677307128723,-0.000597809219360413,-0.00142662429809573,-0.00021235122680667278,-0.024620468789134698
recalibrated,test_probe,0.025,gaussian_postrelu,5,0.0048210861968993966,0.002324802086707629,0,5,0,0.0028610527038573537,0.00484849700927733,0.002171562957763667,0.006752762222290043,0.00747155609130859,0.7817747411075713
recalibrated,test_probe,0.025,resolution_max_b1_gaussian_conv,5,-0.0009242411804199626,0.0008831477533597162,4,1,0,-0.0005246669769286725,-0.0017166038513184547,-0.0016904815673829182,-0.0010773601531982374,0.00038790664672846975,-0.1378366831142555
recalibrated,test_probe,0.05,resolution_max_b1,5,-0.002512059478759792,0.001951913522900257,5,0,0,-0.00021482391357422956,-0.0014082756042480549,-0.004314439392089892,-0.0047635910034180065,-0.0018591674804687777,-0.09156961481007143
recalibrated,test_probe,0.05,gaussian_postrelu,5,0.024400519943237307,0.012439639432766336,0,5,0,0.013795174026489217,0.02327652282714844,0.01121542663574221,0.04010046310424807,0.03361501312255859,0.9495968772531441
recalibrated,test_probe,0.05,resolution_max_b1_gaussian_conv,5,-0.004027152404785185,0.0036632561655610177,4,1,0,-0.005158070373535117,-0.007254049682617267,-0.007184032058715914,-0.001645438003540025,0.0011058280944823973,-0.1527291704984378
