method,seed,epoch,masked_weight_norm,mean_block_norm,fc_weight_norm,bn_gamma_norm
resolution_max_b1,3,12,34.40524038332329,1.3005754588978908,4.385408745859334,23.92605188492691
resolution_max_b1,3,18,33.705738403466,1.2734752453924332,5.047371350964869,23.36942784244379
resolution_max_b1,3,21,33.50518467940953,1.2655862657036554,5.248263368188673,23.232481059553482
resolution_max_b1,3,30,33.343275324216286,1.2591436905640838,5.433160298798802,23.13619836367897
resolution_max_b1,4,3,36.33239245970326,1.3720982119855143,2.5592647921903366,25.5594068226628
resolution_max_b1,4,6,35.60878236139727,1.345986825494888,3.355038244140388,24.917676558010324
resolution_max_b1,4,9,34.977838564982164,1.322504771140603,3.982702296444638,24.372361279874763
resolution_max_b1,4,12,34.46210795742607,1.3029264010225152,4.450613019545896,23.934842464733695
resolution_max_b1,4,18,33.75304484739025,1.2754906661531147,5.066790192325467,23.368434772280455
resolution_max_b1,4,21,33.55156765268672,1.267561842583191,5.268447222622992,23.231177403052477
resolution_max_b1,4,30,33.38916966009899,1.2610993886074284,5.452137542750511,23.13465397969088
gaussian_postrelu,0,3,36.3176274102497,1.371075506873021,2.296236339191106,25.548394199070444
gaussian_postrelu,0,6,35.71002426211212,1.349241896381884,3.034853857068978,24.90251865087331
gaussian_postrelu,0,9,35.16914921098433,1.3291421414495679,3.6300971129517867,24.35663945858753
gaussian_postrelu,0,12,34.70865227106816,1.3116577158574965,4.123911537140001,23.920525944645597
gaussian_postrelu,0,18,34.0540445388012,1.2862089002612727,4.950598274701675,23.394802607093016
gaussian_postrelu,0,21,33.86458323040569,1.2786530025317207,5.226505346382298,23.27218157970937
gaussian_postrelu,0,30,33.704589563771265,1.272255460572255,5.435623876874864,23.18050286607488
gaussian_postrelu,1,3,36.31668486441022,1.3708536180319961,2.323322377557658,25.552014429406984
gaussian_postrelu,1,6,35.71513323604364,1.3492928316716448,3.117551364025743,24.91707373664727
gaussian_postrelu,1,9,35.17791861435786,1.329237106524349,3.7000524792718963,24.374203868428115
gaussian_postrelu,1,12,34.71540578641466,1.3116579549201501,4.18442117143466,23.939641557557675
gaussian_postrelu,1,18,34.0589225046561,1.2861053508977784,4.992143575600628,23.41313604642639
gaussian_postrelu,1,21,33.87000049185156,1.2785594709508785,5.264602071376686,23.290185524014742
gaussian_postrelu,1,30,33.710809960951636,1.2721791649537693,5.476303409605055,23.19907787222943
gaussian_postrelu,2,3,36.50923241310987,1.3782135729748264,2.3197224740181466,25.548403050418084
gaussian_postrelu,2,6,35.90135281930296,1.3564723518590072,3.1074679685515023,24.910541745465665
gaussian_postrelu,2,9,35.37129747265577,1.3367622461411606,3.711101868655665,24.367314298084477
gaussian_postrelu,2,12,34.915556628764364,1.3194322049776577,4.20632376587918,23.934603846464803
gaussian_postrelu,2,18,34.26341315413175,1.2940338690363493,5.036929892124488,23.41472105036404
gaussian_postrelu,2,21,34.07293983603862,1.2864279155129006,5.312100311158088,23.29404060272443
gaussian_postrelu,2,30,33.91299894941499,1.2800145072602689,5.524634913351832,23.204177896953922
gaussian_postrelu,3,3,36.3887467252292,1.37354246706634,2.310962463453617,25.54665348035138
gaussian_postrelu,3,6,35.78468474653086,1.3519011282572513,3.1096930463091543,24.90942848090697
gaussian_postrelu,3,9,35.24652192564682,1.331797919979357,3.700350109333766,24.365043268632306
gaussian_postrelu,3,12,34.78497587714336,1.3141869960435624,4.17507997070177,23.9281749246401
gaussian_postrelu,3,18,34.115936595767664,1.28814804198548,4.972366303520396,23.39945526884485
gaussian_postrelu,3,21,33.922838342814565,1.2804643358084895,5.23420433281763,23.274519916369194
gaussian_postrelu,3,30,33.76081028026117,1.273997927225031,5.436483674926221,23.18192695014503
gaussian_postrelu,4,3,36.453111243444575,1.3761079167825132,2.316749466076416,25.550368538096276
gaussian_postrelu,4,6,35.851327527117306,1.3544235560796962,3.076501084110831,24.908370374536855
gaussian_postrelu,4,9,35.31455753010014,1.3343864750878334,3.6669943621978534,24.36214787315675
gaussian_postrelu,4,12,34.85431144677305,1.3168753337646557,4.145144492558484,23.924626980600184
gaussian_postrelu,4,18,34.198087980732474,1.2913652397918334,4.962480041960294,23.396911989399882
gaussian_postrelu,4,21,34.008128297010735,1.2837993316109533,5.234491943914101,23.273265379789837
gaussian_postrelu,4,30,33.847748848451445,1.2773937026643396,5.443158719861789,23.181427631484617
resolution_max_b1_gaussian_conv,0,3,36.273242937933695,1.3692024068063129,2.1924585023016316,25.52446106862543
resolution_max_b1_gaussian_conv,0,6,35.584932710788316,1.3447313719428862,2.9979017011652638,24.873385642849566
resolution_max_b1_gaussian_conv,0,9,34.990624784468324,1.3226891976701205,3.4030303111982194,24.28574415668479
resolution_max_b1_gaussian_conv,0,12,34.48840929003489,1.303958881762438,3.9785091172649265,23.852652844403377
resolution_max_b1_gaussian_conv,0,18,33.81436845991183,1.2780776979448125,4.755415452801303,23.306620853567466
resolution_max_b1_gaussian_conv,0,21,33.62004697280044,1.2703961622530968,5.059235308369063,23.18889275373616
resolution_max_b1_gaussian_conv,0,30,33.45653082792198,1.2639197375357447,5.2607889240126475,23.094476429010108
resolution_max_b1_gaussian_conv,1,3,36.27683278294829,1.3691857797522793,2.2227832599020645,25.530003679973696
resolution_max_b1_gaussian_conv,1,6,35.58862781576773,1.3446011732024845,3.009901209682907,24.880547725478323
resolution_max_b1_gaussian_conv,1,9,34.999844490101964,1.3226736227737896,3.4256591098260616,24.29868033752594
resolution_max_b1_gaussian_conv,1,12,34.49832849165536,1.3039167149436794,4.015031093544573,23.871552718230458
resolution_max_b1_gaussian_conv,1,18,33.82481809536177,1.277950755669572,4.803279232611067,23.326829276551646
resolution_max_b1_gaussian_conv,1,21,33.63196959941788,1.2702980996714264,5.1154254473947525,23.210412386686635
resolution_max_b1_gaussian_conv,1,30,33.469986992310574,1.2638528339165358,5.32643797179695,23.11813714104599
resolution_max_b1_gaussian_conv,2,3,36.48399478655446,1.377132579217275,2.244943574377243,25.528494782759484
resolution_max_b1_gaussian_conv,2,6,35.794901394577195,1.352600715238102,3.0894277655040208,24.889592484637166
resolution_max_b1_gaussian_conv,2,9,35.19481559636337,1.330234847797981,3.4938390296700863,24.307880027274386
resolution_max_b1_gaussian_conv,2,12,34.68645888905885,1.3111864372762867,4.059747964441737,23.877260797589447
resolution_max_b1_gaussian_conv,2,18,34.005682343979096,1.284971018940131,4.818002368536508,23.328811246508327
resolution_max_b1_gaussian_conv,2,21,33.80994497903452,1.277223273579385,5.1184208958867385,23.209466126807026
resolution_max_b1_gaussian_conv,2,30,33.64638212392791,1.270727568862397,5.325718095330412,23.11569157184574
resolution_max_b1_gaussian_conv,3,3,36.346480327770735,1.3719517953785947,2.277942247389761,25.532027231498805
resolution_max_b1_gaussian_conv,3,6,35.67640444869259,1.3480523496791545,3.1199098272609755,24.896817662470706
resolution_max_b1_gaussian_conv,3,9,35.09975254642221,1.3264550377369058,3.5234153758665503,24.321036970065432
resolution_max_b1_gaussian_conv,3,12,34.59759509552653,1.3075687696330418,4.069532653130331,23.890264093082994
resolution_max_b1_gaussian_conv,3,18,33.92412317330118,1.2815267265029298,4.840948735999979,23.348479839684682
resolution_max_b1_gaussian_conv,3,21,33.72972502708881,1.273812289152826,5.141084596189564,23.230452365591937
resolution_max_b1_gaussian_conv,3,30,33.56594126967514,1.267307592631787,5.342234486472006,23.135924221190244
resolution_max_b1_gaussian_conv,4,3,36.400215643868584,1.3740284464477492,2.248501344805761,25.531006725108888
resolution_max_b1_gaussian_conv,4,6,35.72071125378101,1.3498347151651096,3.0781822454013223,24.88484729140939
resolution_max_b1_gaussian_conv,4,9,35.12393038831232,1.3276229202702112,3.5000214350386765,24.30016340041376
resolution_max_b1_gaussian_conv,4,12,34.61515359641036,1.3085718496362935,4.081253573867767,23.87077408342272
resolution_max_b1_gaussian_conv,4,18,33.9371497929282,1.2824299509888208,4.852016795250979,23.324669344707697
resolution_max_b1_gaussian_conv,4,21,33.74355346275028,1.2747361180095986,5.162108199593706,23.2086614536453
resolution_max_b1_gaussian_conv,4,30,33.581308869170996,1.2682708788858075,5.373645039364588,23.11720975346747
