method,seed,policy,split,direction,amplitude,L_centre,dL_plus,dL_minus,S,C_d
plain,0,saved,train_probe,17,0.1,0.2235287322998047,0.8204204864501952,0.7086476593017579,0.7645340728759764,152.90681457519526
plain,0,saved,train_probe,18,0.1,0.2235287322998047,0.6510381927490234,0.9993449249267579,0.8251915588378906,165.0383117675781
plain,0,saved,train_probe,19,0.1,0.2235287322998047,0.5619779205322266,0.6058018035888673,0.5838898620605468,116.77797241210935
plain,0,saved,train_probe,0,0.2,0.2235287322998047,2.5141608428955076,2.8424716339111327,2.67831623840332,133.91581192016596
plain,0,saved,train_probe,1,0.2,0.2235287322998047,3.6104409942626954,4.0758892364501955,3.8431651153564452,192.15825576782223
plain,0,saved,train_probe,2,0.2,0.2235287322998047,2.4558515167236328,1.4021226959228514,1.928987106323242,96.44935531616208
plain,0,saved,train_probe,3,0.2,0.2235287322998047,8.502859939575195,3.05278742980957,5.7778236846923825,288.89118423461906
plain,0,saved,train_probe,4,0.2,0.2235287322998047,2.187861770629883,1.5562528839111327,1.8720573272705079,93.60286636352538
plain,0,saved,train_probe,5,0.2,0.2235287322998047,3.8577527618408203,2.694387893676758,3.276070327758789,163.8035163879394
plain,0,saved,train_probe,6,0.2,0.2235287322998047,2.7193228302001953,5.2182622833251955,3.968792556762695,198.43962783813473
plain,0,saved,train_probe,7,0.2,0.2235287322998047,2.19682014465332,1.970481521606445,2.083650833129883,104.18254165649412
plain,0,saved,train_probe,8,0.2,0.2235287322998047,3.638881301879883,3.4073250274658204,3.5231031646728517,176.15515823364254
plain,0,saved,train_probe,9,0.2,0.2235287322998047,3.02467024230957,1.9617091827392579,2.493189712524414,124.65948562622067
plain,0,saved,train_probe,10,0.2,0.2235287322998047,2.3040052032470704,2.766745803833008,2.535375503540039,126.76877517700193
plain,0,saved,train_probe,11,0.2,0.2235287322998047,3.0399041290283204,2.267792556762695,2.6538483428955075,132.69241714477536
plain,0,saved,train_probe,12,0.2,0.2235287322998047,2.158210525512695,3.3596670684814454,2.7589387969970702,137.9469398498535
plain,0,saved,train_probe,13,0.2,0.2235287322998047,2.6669568634033203,2.2229639434814454,2.4449604034423826,122.24802017211911
plain,0,saved,train_probe,14,0.2,0.2235287322998047,5.44812043762207,2.444476150512695,3.9462982940673825,197.31491470336908
plain,0,saved,train_probe,15,0.2,0.2235287322998047,2.894847854614258,6.323167068481445,4.609007461547852,230.45037307739253
plain,0,saved,train_probe,16,0.2,0.2235287322998047,3.689569412231445,5.599356033325195,4.64446272277832,232.22313613891595
plain,0,saved,train_probe,17,0.2,0.2235287322998047,3.309515579223633,3.2937147979736325,3.3016151885986327,165.0807594299316
plain,0,saved,train_probe,18,0.2,0.2235287322998047,2.657920120239258,6.825700271606445,4.741810195922851,237.09050979614253
plain,0,saved,train_probe,19,0.2,0.2235287322998047,2.768095291137695,2.7583520050048826,2.763223648071289,138.16118240356442
plain,0,saved,train_probe,0,0.25,0.2235287322998047,4.15501985168457,4.3370193634033205,4.246019607543945,135.87262744140625
plain,0,saved,train_probe,1,0.25,0.2235287322998047,5.8807903594970705,6.540322341918945,6.210556350708008,198.73780322265625
plain,0,saved,train_probe,2,0.25,0.2235287322998047,4.217191482543945,2.060603469848633,3.1388974761962887,100.44471923828124
plain,0,saved,train_probe,3,0.25,0.2235287322998047,14.503815994262695,4.826835769653321,9.665325881958008,309.29042822265626
plain,0,saved,train_probe,4,0.25,0.2235287322998047,3.8384716339111327,2.442548049926758,3.140509841918945,100.49631494140624
plain,0,saved,train_probe,5,0.25,0.2235287322998047,6.126842361450195,4.323810134887696,5.225326248168946,167.21043994140626
plain,0,saved,train_probe,6,0.25,0.2235287322998047,3.995734939575195,8.231594314575196,6.113664627075195,195.63726806640625
plain,0,saved,train_probe,7,0.25,0.2235287322998047,3.467739822387695,3.1397251739501955,3.3037324981689453,105.71943994140625
plain,0,saved,train_probe,8,0.25,0.2235287322998047,6.28839387512207,5.3237574005126955,5.806075637817383,185.79442041015625
plain,0,saved,train_probe,9,0.25,0.2235287322998047,4.800143630981445,2.9641565704345703,3.8821501007080075,124.22880322265624
plain,0,saved,train_probe,10,0.25,0.2235287322998047,3.86218000793457,4.261368240356445,4.061774124145508,129.97677197265625
plain,0,saved,train_probe,11,0.25,0.2235287322998047,4.47283283996582,4.1442222442626955,4.308527542114257,137.87288134765623
plain,0,saved,train_probe,12,0.25,0.2235287322998047,3.161885818481445,5.1953438262939455,4.178614822387695,133.71567431640625
plain,0,saved,train_probe,13,0.25,0.2235287322998047,4.657744216918945,3.7683395538330076,4.213041885375977,134.81734033203125
plain,0,saved,train_probe,14,0.25,0.2235287322998047,8.166954666137695,4.275141677856445,6.2210481719970705,199.07354150390626
plain,0,saved,train_probe,15,0.25,0.2235287322998047,4.28068537902832,9.679151931762695,6.979918655395507,223.35739697265623
plain,0,saved,train_probe,16,0.25,0.2235287322998047,5.89838703918457,8.826892654418945,7.362639846801757,235.60447509765623
plain,0,saved,train_probe,17,0.25,0.2235287322998047,5.110797683715821,5.372372146606446,5.241584915161133,167.73071728515626
plain,0,saved,train_probe,18,0.25,0.2235287322998047,4.232401443481446,12.149069900512695,8.19073567199707,262.10354150390623
