method,seed,policy,direction,amplitude,sign,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1_gaussian_conv,3,recalibrated,8,0.25,1,1.022399169921875,0.653,1.1387687072753907,0.624
resolution_max_b1_gaussian_conv,3,saved,8,0.25,-1,4.024564208984375,0.286,4.306606079101562,0.299
resolution_max_b1_gaussian_conv,3,recalibrated,8,0.25,-1,0.9437538452148437,0.695,1.088565673828125,0.652
resolution_max_b1_gaussian_conv,3,saved,9,0.025,1,0.32422662353515624,0.892,0.5460495452880859,0.812
resolution_max_b1_gaussian_conv,3,recalibrated,9,0.025,1,0.31285317993164063,0.906,0.5392252197265625,0.82
resolution_max_b1_gaussian_conv,3,saved,9,0.025,-1,0.3297814483642578,0.892,0.5756956787109375,0.818
resolution_max_b1_gaussian_conv,3,recalibrated,9,0.025,-1,0.3112296905517578,0.902,0.5423067932128907,0.824
resolution_max_b1_gaussian_conv,3,saved,9,0.05,1,0.39951739501953126,0.854,0.6011766967773438,0.787
resolution_max_b1_gaussian_conv,3,recalibrated,9,0.05,1,0.34221673583984374,0.888,0.5513909912109375,0.814
resolution_max_b1_gaussian_conv,3,saved,9,0.05,-1,0.4173999481201172,0.859,0.6674898376464844,0.781
resolution_max_b1_gaussian_conv,3,recalibrated,9,0.05,-1,0.3315328369140625,0.892,0.5561421661376953,0.823
resolution_max_b1_gaussian_conv,3,saved,9,0.1,1,0.7179286804199219,0.757,0.8900208435058594,0.712
resolution_max_b1_gaussian_conv,3,recalibrated,9,0.1,1,0.4470763854980469,0.848,0.6241184387207032,0.79
resolution_max_b1_gaussian_conv,3,saved,9,0.1,-1,0.8276764831542969,0.719,1.1027838745117187,0.666
resolution_max_b1_gaussian_conv,3,recalibrated,9,0.1,-1,0.4098976745605469,0.862,0.6127219848632812,0.804
resolution_max_b1_gaussian_conv,3,saved,9,0.2,1,2.347409423828125,0.43,2.528526611328125,0.436
resolution_max_b1_gaussian_conv,3,recalibrated,9,0.2,1,0.9425894470214844,0.684,1.1491068725585938,0.657
resolution_max_b1_gaussian_conv,3,saved,9,0.2,-1,2.9890960693359374,0.4,3.2883114013671877,0.366
resolution_max_b1_gaussian_conv,3,recalibrated,9,0.2,-1,0.7151265869140625,0.75,0.8804788818359375,0.723
resolution_max_b1_gaussian_conv,3,saved,9,0.25,1,3.8549371337890626,0.29,3.969533447265625,0.307
resolution_max_b1_gaussian_conv,3,recalibrated,9,0.25,1,1.3076617431640625,0.595,1.5144058837890626,0.579
resolution_max_b1_gaussian_conv,3,saved,9,0.25,-1,4.461343505859375,0.315,4.67615234375,0.298
resolution_max_b1_gaussian_conv,3,recalibrated,9,0.25,-1,0.9595169067382813,0.682,1.0828311767578125,0.636
resolution_max_b1_gaussian_conv,3,saved,10,0.025,1,0.3236347503662109,0.893,0.5535800170898437,0.82
resolution_max_b1_gaussian_conv,3,recalibrated,10,0.025,1,0.3158687744140625,0.904,0.5477632751464844,0.817
resolution_max_b1_gaussian_conv,3,saved,10,0.025,-1,0.32726760864257814,0.897,0.5611033630371094,0.808
resolution_max_b1_gaussian_conv,3,recalibrated,10,0.025,-1,0.31241893005371096,0.909,0.5391053771972656,0.827
resolution_max_b1_gaussian_conv,3,saved,10,0.05,1,0.38593099975585937,0.869,0.6052540893554688,0.801
resolution_max_b1_gaussian_conv,3,recalibrated,10,0.05,1,0.3442359619140625,0.889,0.5721690979003906,0.81
resolution_max_b1_gaussian_conv,3,saved,10,0.05,-1,0.40922705078125,0.868,0.6246804809570312,0.788
resolution_max_b1_gaussian_conv,3,recalibrated,10,0.05,-1,0.3440345001220703,0.883,0.5547157897949219,0.815
resolution_max_b1_gaussian_conv,3,saved,10,0.1,1,0.6123700561523437,0.792,0.8304175720214844,0.73
resolution_max_b1_gaussian_conv,3,recalibrated,10,0.1,1,0.44834320068359373,0.845,0.6701845092773437,0.776
resolution_max_b1_gaussian_conv,3,saved,10,0.1,-1,0.757688720703125,0.752,0.9707192993164062,0.667
resolution_max_b1_gaussian_conv,3,recalibrated,10,0.1,-1,0.47475791931152345,0.835,0.6544474182128907,0.775
resolution_max_b1_gaussian_conv,3,saved,10,0.2,1,1.5952210693359374,0.537,1.7407074584960938,0.538
resolution_max_b1_gaussian_conv,3,recalibrated,10,0.2,1,0.8630082092285156,0.705,1.0438485107421875,0.652
resolution_max_b1_gaussian_conv,3,saved,10,0.2,-1,2.2166087646484374,0.422,2.399064208984375,0.378
resolution_max_b1_gaussian_conv,3,recalibrated,10,0.2,-1,1.0545967407226562,0.658,1.12858349609375,0.629
