seed,method,checkpoint,update,used_in_fit,dist_to_mean,resid_2pc,resid_5pc,resid_10pc,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
1,gaussian_postrelu,epoch_022.pt,8602,True,9.710979178488314,4.164143365050703,1.2414706103615092,0.3399833342149174,-8.400249029640161,2.529593421948865,-2.246438766947349,3.2715465696257713,0.2221184310910409,-0.9018110283522912,0.23199769256174177,0.6969946632752917,0.040502775220063916,0.2667067925661544
1,gaussian_postrelu,epoch_023.pt,8993,True,9.788024185020948,4.278329029189101,1.345494699739329,0.3603565084784485,-8.430897003792357,2.5340272050627606,-2.2628754767177988,3.364492773180001,0.23092477360423547,-0.9646857154080131,0.24459652578909488,0.7646180083111663,0.05627106454141839,0.3197593666261093
1,gaussian_postrelu,epoch_024.pt,9384,True,9.844307719287137,4.364690703239983,1.4284179875112566,0.4001623948768498,-8.451642314734574,2.5356679042916204,-2.274139708872754,3.4324574146848486,0.23805812064923967,-1.0088423603777448,0.25240995987601866,0.8150055636415998,0.06839132636834602,0.3603649074837689
1,gaussian_postrelu,epoch_025.pt,9775,True,9.884444990401148,4.4266344771509365,1.490373446017,0.4404169757907974,-8.46620473866833,2.5358504090177805,-2.2809481681468933,3.480329161578161,0.24179364550129895,-1.039465650031248,0.2573280736756314,0.8512738522755765,0.07580937626763895,0.38745978866611286
1,gaussian_postrelu,epoch_026.pt,10166,True,9.911021121112496,4.469123359217812,1.5333814813360425,0.4724552431601084,-8.47490337338781,2.5359985952226887,-2.2852960841999788,3.5127603969979115,0.24441978934860445,-1.0595793483688372,0.26092214964503185,0.8756772074511396,0.08116099888621474,0.4047942285410094
1,gaussian_postrelu,epoch_027.pt,10557,True,9.92723917076971,4.495143784100717,1.5600334455754987,0.49343391688026794,-8.48022664204474,2.535649031999471,-2.288209846049966,3.532156773369307,0.24612500321294478,-1.0715524009345225,0.26327150730563786,0.8902148664492044,0.08472699480441125,0.41596840551065095
1,gaussian_postrelu,epoch_028.pt,10948,True,9.935662718369418,4.508607193432645,1.574061064485675,0.5047110904971498,-8.482961761809559,2.535589591436383,-2.2896577726489165,3.542102490638162,0.24667350872406713,-1.0778108782454692,0.2643122711980124,0.89793314728887,0.08656030320347584,0.4214511369044508
1,gaussian_postrelu,epoch_029.pt,11339,True,9.938786954120909,4.513622229752513,1.579200167585357,0.5088736880702145,-8.483996239192457,2.5354503150043968,-2.290168110136654,3.5458502359889947,0.2469586906028985,-1.080070324073108,0.2645904738045846,0.900655220922987,0.08732375616461126,0.4237398373452549
1,gaussian_postrelu,epoch_030.pt,11730,True,9.939250823432138,4.514336714129559,1.5798924750373033,0.5094957039080754,-8.484148739621881,2.5354863688316582,-2.290224270883809,3.546413653155456,0.24697920079583346,-1.0803788595583148,0.26468448255851795,0.9009787930022797,0.08744848395822631,0.4240141296047372
1,gaussian_postrelu,update_001123.pt,1123,False,6.45937587481513,5.6411065848945325,2.834225492761142,1.600078429573845,-2.7386084202997356,1.549670000441095,-0.27238997656319675,-4.805289267147998,-0.7900937400229515,1.6956737174576992,-0.715349942315499,-0.3400338996001969,0.4043728253612587,1.3440267230282572
1,gaussian_postrelu,update_001163.pt,1163,False,6.454357106074497,5.595837685024113,2.864683705479483,1.5747811519423793,-2.8120485422378323,1.5613165123369357,-0.288879566356156,-4.732373963894561,-0.7925729787794197,1.7489392268202744,-0.7169726763932378,-0.4046024355256301,0.40352621780305287,1.3517034729680188
1,gaussian_postrelu,update_001172.pt,1172,False,6.451121106523995,5.583863551799618,2.8729095758983916,1.5699008739552045,-2.828174837510516,1.561684492589688,-0.2902520145451343,-4.713545184276601,-0.7900432251864418,1.7603389824930655,-0.7167886988983123,-0.41942705997286744,0.40747912474009945,1.3544308802422507
1,gaussian_postrelu,update_001174.pt,1174,False,6.45020512069307,5.580879689182657,2.8738677748990993,1.568296224448065,-2.831357566049361,1.5627995159516122,-0.29064724368189465,-4.7094399994778655,-0.7898108562092596,1.7624836543571272,-0.7165422447246199,-0.4229630774679758,0.4078636560908526,1.3544485936252626
1,gaussian_postrelu,update_001183.pt,1183,False,6.447518572705176,5.567475946577566,2.8782562035695993,1.5679118220792312,-2.8484765246927948,1.568403270186644,-0.2938805501256584,-4.690856591073964,-0.788624312691907,1.7683557128809724,-0.7159483136364971,-0.4374501537669313,0.4116082240483775,1.351134119678125
1,gaussian_postrelu,update_001223.pt,1223,False,6.44138874485389,5.51362125722572,2.9121444741765763,1.578192627147413,-2.9314688045332216,1.5804936704231518,-0.3197146029757714,-4.605318328598305,-0.7799099913288884,1.7959348055420634,-0.7212083571908262,-0.5074559277500962,0.4351260066193967,1.3407177143642683
1,gaussian_postrelu,update_002296.pt,2296,False,6.622307370928202,4.265476719744798,3.154747632466058,1.1915954516438958,-4.698435355830901,1.8935069251109298,-0.8628383861068619,-2.671329525713571,-0.6011385087033045,2.24866044968498,-0.6539904350324028,-1.6586304624222517,0.31669529908340344,0.443852085433751
1,gaussian_postrelu,update_002336.pt,2336,False,6.643692272152822,4.228315683200533,3.15458862015549,1.169817355973005,-4.75560879767478,1.9089731411787172,-0.8816127243185808,-2.606923923822,-0.5949208469277049,2.2503819470807116,-0.646614531262813,-1.6878926666465028,0.3033953431636376,0.3994960174011867
1,gaussian_postrelu,update_002345.pt,2345,False,6.647439744821121,4.217158685090945,3.151337562603752,1.160291132875629,-4.770179184570181,1.9103450821469294,-0.8849325101598666,-2.592384083827733,-0.5915557083991035,2.249627548636151,-0.6443343962575921,-1.6923294975832577,0.3027540545954972,0.3911813552558542
1,gaussian_postrelu,update_002347.pt,2347,False,6.648440938728484,4.214554217201165,3.1506230631719045,1.1594594548380373,-4.7737659953062535,1.9106171484864147,-0.8854157801777345,-2.5888481818133764,-0.5915619589452812,2.249235038453853,-0.6441791932117417,-1.6925310775562,0.3020247950407938,0.39009478628793326
1,gaussian_postrelu,update_002356.pt,2356,False,6.64984045961772,4.19979777111908,3.1461966344427954,1.1619705351541703,-4.787682854052655,1.913157000635913,-0.8882585255982406,-2.569454441788988,-0.5904648329837272,2.24185267194282,-0.6435567912447432,-1.6948005966324675,0.30111650694234093,0.3811676516435572
1,gaussian_postrelu,update_002396.pt,2396,False,6.666370864978464,4.1440815157406945,3.134727324384064,1.1643774835596399,-4.856002701462356,1.919980901915453,-0.9082718022716048,-2.4878636434397587,-0.5766047482570447,2.2254300769963637,-0.6361504614582227,-1.7022592618811248,0.30030723406064974,0.3544615738223662
1,gaussian_postrelu,update_003469.pt,3469,False,7.181352041093672,3.209640656751892,2.7536575526163274,0.9899182756426703,-6.058461210638786,2.136602853089548,-1.3276230837890728,-0.9107435892832632,-0.3565477392491883,1.808164103635396,-0.43548123159619095,-1.692015578462198,-0.026575635392459065,-0.5291194701824258
1,gaussian_postrelu,update_003509.pt,3509,False,7.202058166230346,3.1803759919508536,2.730916810660789,0.963926267566422,-6.09510240462118,2.145827825518335,-1.3380470885974058,-0.8645294774433556,-0.3451138866448723,1.7910762442105614,-0.42563083523143774,-1.681488568526601,-0.03224266063356514,-0.5578473462512661
1,gaussian_postrelu,update_003518.pt,3518,False,7.206747685827865,3.1769786806309335,2.7284108279579606,0.9582397374347406,-6.101838003605881,2.1474616755026776,-1.3430932352526905,-0.8535590876464856,-0.3413287804738895,1.7882984574907042,-0.42181924357257916,-1.6827304191000987,-0.03738244720779575,-0.563098831186378
1,gaussian_postrelu,update_003520.pt,3520,False,7.207927840026075,3.176442845594284,2.7279928578085086,0.9589133856576533,-6.103491492922673,2.1475162843425255,-1.344114109501687,-0.8515065742192289,-0.34079016090954034,1.7874489583774182,-0.4210783850047365,-1.6822624883602075,-0.03810661639137568,-0.5645265024615584
1,gaussian_postrelu,update_003529.pt,3529,False,7.211667294043543,3.169384820772966,2.7230559756391477,0.9619509712458709,-6.111044381761376,2.149018748632578,-1.3457663646471874,-0.8389612263412454,-0.3391507749693548,1.7788416942090515,-0.41867748655899095,-1.680425114339086,-0.03808315250975425,-0.5699444474409272
1,gaussian_postrelu,update_003569.pt,3569,False,7.237097901237144,3.130284742626126,2.6911422719346394,0.9801377506991666,-6.1567156728112415,2.161424434564613,-1.3583711087807533,-0.7747531538031612,-0.3331986248864995,1.7421996127774055,-0.4077909791292756,-1.6562178118449213,-0.04056096599274399,-0.5790691770352716
1,gaussian_postrelu,update_004642.pt,4642,False,7.822823755119934,2.758170024534237,2.155240223851948,1.0820292718481728,-6.951069269456788,2.2960195187852532,-1.6561503091306509,0.4499462473217838,-0.13098087576962902,1.0997155483064474,-0.20075293243316972,-1.1822764279320215,-0.247340551310894,-0.8750097999103373
1,gaussian_postrelu,update_004682.pt,4682,False,7.841034971863052,2.7506593430746555,2.1338019598276743,1.074344050980482,-6.971955798950704,2.303808791070315,-1.661420341899521,0.4862393645233996,-0.12755291368627944,1.0777530644284576,-0.19642104265964816,-1.1635808586874263,-0.2527205636110036,-0.8837277137372288
