seed,pc1,pc2,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
0,-9.253767736719242,-9.842007576998938,3.1532076416015626,0.232,3.0949227294921875,0.243
0,-9.253767736719242,-9.174550699006506,3.0476788330078124,0.232,2.9744619140625,0.257
0,-9.253767736719242,-8.507093821014076,2.9312451171875,0.237,2.84746630859375,0.266
0,-9.253767736719242,-7.839636943021645,2.7991636962890625,0.251,2.711842529296875,0.288
0,-9.253767736719242,-7.172180065029214,2.6557607421875,0.261,2.5701380615234375,0.295
0,-9.253767736719242,-6.504723187036783,2.510007080078125,0.277,2.4210025634765624,0.307
0,-9.253767736719242,-5.837266309044352,2.35784716796875,0.302,2.269740478515625,0.326
0,-9.253767736719242,-5.169809431051922,2.1953614501953127,0.325,2.1147916259765625,0.362
0,-9.253767736719242,-4.502352553059491,2.0326220092773437,0.361,1.9598624877929687,0.395
0,-9.253767736719242,-3.8348956750670595,1.86815771484375,0.396,1.8091390991210938,0.439
0,-9.253767736719242,-3.167438797074629,1.7072734375,0.429,1.6623041381835937,0.469
0,-9.253767736719242,-2.499981919082199,1.5499346313476563,0.469,1.5198643188476562,0.5
0,-9.253767736719242,-1.8325250410897667,1.4015942993164063,0.505,1.383821044921875,0.524
0,-9.253767736719242,-1.1650681630973363,1.2652808837890626,0.546,1.2572225952148437,0.545
0,-9.253767736719242,-0.49761128510490593,1.1396528930664063,0.585,1.1410655517578125,0.587
0,-9.253767736719242,0.16984559288752443,1.0307605285644532,0.624,1.0461044921875,0.633
0,-9.253767736719242,0.8373024708799548,0.9456354675292968,0.653,0.9770385131835938,0.663
0,-9.253767736719242,1.504759348872387,0.8911754455566406,0.673,0.9338038024902344,0.68
0,-9.253767736719242,2.1722162268648173,0.8708766174316406,0.693,0.9201732482910157,0.696
0,-9.253767736719242,2.8396731048572477,0.8794736633300781,0.703,0.9314721069335937,0.684
0,-9.253767736719242,3.50712998284968,0.9167806701660156,0.691,0.9681153259277344,0.674
0,-9.253767736719242,4.17458686084211,0.9824924621582031,0.659,1.0298609619140624,0.645
0,-9.253767736719242,4.8420437388345405,1.0708358154296875,0.636,1.1147152099609374,0.615
0,-9.253767736719242,5.509500616826973,1.18491357421875,0.592,1.2199984741210939,0.576
0,-9.253767736719242,6.176957494819401,1.322711181640625,0.559,1.3423825073242188,0.536
0,-9.253767736719242,6.844414372811833,1.4828123779296876,0.507,1.4829315795898437,0.502
0,-9.253767736719242,7.5118712508042655,1.6658717041015625,0.469,1.6441611328125,0.458
0,-9.253767736719242,8.179328128796694,1.8573001098632813,0.419,1.82088525390625,0.417
0,-9.253767736719242,8.846785006789126,2.051759216308594,0.375,2.0024968872070312,0.378
0,-8.57328497839633,-11.176921332983799,3.1370865478515624,0.25,3.114875732421875,0.25
0,-8.57328497839633,-10.509464454991368,3.0575150146484376,0.254,3.021150390625,0.248
0,-8.57328497839633,-9.842007576998938,2.9692064208984377,0.245,2.922671630859375,0.251
0,-8.57328497839633,-9.174550699006506,2.8774119873046873,0.247,2.81958447265625,0.264
0,-8.57328497839633,-8.507093821014076,2.7772796630859373,0.24,2.707021240234375,0.276
0,-8.57328497839633,-7.839636943021645,2.662818359375,0.248,2.58868115234375,0.297
0,-8.57328497839633,-7.172180065029214,2.5391119384765624,0.274,2.4628095703125,0.305
0,-8.57328497839633,-6.504723187036783,2.4078763427734375,0.289,2.333439697265625,0.328
0,-8.57328497839633,-5.837266309044352,2.271705322265625,0.303,2.199485595703125,0.339
0,-8.57328497839633,-5.169809431051922,2.129125244140625,0.323,2.0624486694335937,0.369
0,-8.57328497839633,-4.502352553059491,1.981109375,0.358,1.924497314453125,0.383
0,-8.57328497839633,-3.8348956750670595,1.8339908447265625,0.397,1.786576171875,0.424
0,-8.57328497839633,-3.167438797074629,1.6869989013671876,0.431,1.6481387329101562,0.457
0,-8.57328497839633,-2.499981919082199,1.5438062133789063,0.468,1.51373095703125,0.49
0,-8.57328497839633,-1.8325250410897667,1.4081796264648438,0.505,1.3870416259765626,0.525
0,-8.57328497839633,-1.1650681630973363,1.2797055053710937,0.539,1.2648770751953125,0.552
0,-8.57328497839633,-0.49761128510490593,1.16028515625,0.578,1.1542867431640624,0.576
0,-8.57328497839633,0.16984559288752443,1.0550736694335938,0.62,1.0650511169433594,0.625
0,-8.57328497839633,0.8373024708799548,0.9731541442871093,0.654,0.9998381958007813,0.666
0,-8.57328497839633,1.504759348872387,0.921499267578125,0.673,0.9579156799316406,0.676
0,-8.57328497839633,2.1722162268648173,0.9007880554199219,0.683,0.9433904113769531,0.677
0,-8.57328497839633,2.8396731048572477,0.9098402404785156,0.693,0.9558016662597656,0.684
0,-8.57328497839633,3.50712998284968,0.9492972717285156,0.679,0.9932679748535156,0.663
0,-8.57328497839633,4.17458686084211,1.0130494995117187,0.651,1.0567239990234376,0.634
0,-8.57328497839633,4.8420437388345405,1.099083740234375,0.624,1.142001953125,0.607
0,-8.57328497839633,5.509500616826973,1.2121171875,0.583,1.246575927734375,0.579
0,-8.57328497839633,6.176957494819401,1.3490603637695313,0.543,1.3685599975585938,0.535
0,-8.57328497839633,6.844414372811833,1.5095833740234375,0.505,1.507911865234375,0.487
0,-8.57328497839633,7.5118712508042655,1.6861438598632812,0.455,1.668331787109375,0.444
0,-8.57328497839633,8.179328128796694,1.872923828125,0.404,1.8413275146484376,0.401
0,-8.57328497839633,8.846785006789126,2.06134521484375,0.365,2.0173583374023436,0.356
0,-7.892802220073419,-11.176921332983799,2.91781640625,0.267,2.911830078125,0.267
0,-7.892802220073419,-10.509464454991368,2.85043359375,0.263,2.8318204345703126,0.266
0,-7.892802220073419,-9.842007576998938,2.7795543212890625,0.262,2.7463590087890624,0.265
0,-7.892802220073419,-9.174550699006506,2.7010413818359376,0.254,2.66022509765625,0.278
0,-7.892802220073419,-8.507093821014076,2.6158712158203126,0.259,2.5667174072265624,0.285
0,-7.892802220073419,-7.839636943021645,2.5216806640625,0.26,2.4610751953125,0.31
0,-7.892802220073419,-7.172180065029214,2.4203900146484374,0.274,2.355053466796875,0.31
0,-7.892802220073419,-6.504723187036783,2.3091014404296875,0.293,2.24578564453125,0.332
0,-7.892802220073419,-5.837266309044352,2.1914375,0.305,2.130485595703125,0.345
0,-7.892802220073419,-5.169809431051922,2.0675350341796874,0.326,2.0148471069335936,0.366
0,-7.892802220073419,-4.502352553059491,1.9393975830078125,0.355,1.8961265869140624,0.388
0,-7.892802220073419,-3.8348956750670595,1.811807373046875,0.388,1.7719608764648438,0.41
0,-7.892802220073419,-3.167438797074629,1.678923095703125,0.42,1.6443860473632812,0.446
0,-7.892802220073419,-2.499981919082199,1.5491473999023437,0.466,1.5208272094726563,0.477
0,-7.892802220073419,-1.8325250410897667,1.425605224609375,0.507,1.401840087890625,0.515
0,-7.892802220073419,-1.1650681630973363,1.30739892578125,0.547,1.2880234985351562,0.538
0,-7.892802220073419,-0.49761128510490593,1.1961079711914062,0.574,1.1863052978515625,0.566
0,-7.892802220073419,0.16984559288752443,1.0970892333984374,0.616,1.101904541015625,0.608
0,-7.892802220073419,0.8373024708799548,1.023272247314453,0.65,1.040880615234375,0.641
0,-7.892802220073419,1.504759348872387,0.9747935791015625,0.659,1.0029967041015626,0.656
0,-7.892802220073419,2.1722162268648173,0.9536925659179688,0.667,0.989474609375,0.674
0,-7.892802220073419,2.8396731048572477,0.96346826171875,0.684,1.0038665771484374,0.667
0,-7.892802220073419,3.50712998284968,1.0030829162597656,0.663,1.0436842041015626,0.648
0,-7.892802220073419,4.17458686084211,1.065830810546875,0.629,1.1056298217773437,0.616
