method,seed,policy,split,direction,amplitude,S_f32,S_f64,diff,L0_diff,suspicious,C_f32,C_f64
plain,1,centre_frozen,train_probe,1,0.05,0.32561940765380865,0.3256195878130674,-1.8015925873360317e-07,4.5201031029229455e-08,False,260.4955261230469,260.4956702504538
plain,1,centre_frozen,test_probe,0,0.005,0.0007487792968751128,0.0007488218470454999,-4.255017038712339e-08,-1.0930730875990946e-08,False,59.902343750009024,59.905747763639994
plain,1,centre_frozen,test_probe,0,0.01,0.0032278747558595056,0.003227880813614137,-6.057754631250134e-09,-1.0930730875990946e-08,False,64.55749511719011,64.55761627228273
plain,1,centre_frozen,test_probe,0,0.02,0.013503082275390654,0.01350296651222238,1.1576316827355271e-07,-1.0930730875990946e-08,False,67.51541137695327,67.5148325611119
plain,1,centre_frozen,test_probe,0,0.05,0.08651414489746101,0.08651425847691263,-1.1357945162160377e-07,-1.0930730875990946e-08,False,69.21131591796879,69.21140678153009
plain,1,centre_frozen,test_probe,1,0.005,0.0026735687255859952,0.0026736834326697156,-1.1470708372041116e-07,-1.0930730875990946e-08,False,213.8854980468796,213.89467461357725
plain,1,centre_frozen,test_probe,1,0.01,0.011216339111328133,0.01121614304584495,1.96065483182295e-07,-1.0930730875990946e-08,False,224.32678222656264,224.322860916899
plain,1,centre_frozen,test_probe,1,0.02,0.04550514221191404,0.04550494858553389,1.936263801516347e-07,-1.0930730875990946e-08,False,227.5257110595702,227.52474292766942
plain,1,centre_frozen,test_probe,1,0.05,0.2849013366699219,0.28490133015604346,6.513878436642528e-09,-1.0930730875990946e-08,False,227.9210693359375,227.92106412483471
plain,2,saved,train_probe,0,0.005,0.0016516685485840066,0.001651668030960285,5.176237216630852e-10,-5.7499414674033744e-09,False,132.1334838867205,132.13344247682278
plain,2,saved,train_probe,0,0.01,0.006527084350585938,0.006527112127153567,-2.77765676293118e-08,-5.7499414674033744e-09,False,130.54168701171875,130.54224254307132
plain,2,saved,train_probe,0,0.02,0.02473611068725587,0.024736164595608873,-5.390835300378427e-08,-5.7499414674033744e-09,False,123.68055343627934,123.68082297804436
plain,2,saved,train_probe,0,0.05,0.15396150970458988,0.1539614307093991,7.899519077758654e-08,-5.7499414674033744e-09,False,123.16920776367188,123.16914456751925
plain,2,saved,train_probe,1,0.005,0.0017652397155761834,0.0017652407596212283,-1.0440450448623295e-09,-5.7499414674033744e-09,False,141.21917724609466,141.21926076969825
plain,2,saved,train_probe,1,0.01,0.006851299285888679,0.006851320765228819,-2.1479340139851644e-08,-5.7499414674033744e-09,False,137.02598571777358,137.02641530457637
plain,2,saved,train_probe,1,0.02,0.02685286331176756,0.026852870071555623,-6.759788062637995e-09,-5.7499414674033744e-09,False,134.2643165588378,134.2643503577781
plain,2,saved,train_probe,1,0.05,0.16335181427001955,0.163351882565496,-6.829547644082723e-08,-5.7499414674033744e-09,False,130.68145141601562,130.68150605239677
plain,2,saved,test_probe,0,0.005,0.0014035034179687988,0.0014032558822846264,2.4753568417246186e-07,-1.323133337338689e-07,False,112.28027343750391,112.26047058277011
plain,2,saved,test_probe,0,0.01,0.005556640624999942,0.005556438828935639,2.017960643030392e-07,-1.323133337338689e-07,False,111.13281249999883,111.12877657871277
plain,2,saved,test_probe,0,0.02,0.021755004882812456,0.021755033479365915,-2.8596553458548613e-08,-1.323133337338689e-07,False,108.77502441406227,108.77516739682957
plain,2,saved,test_probe,0,0.05,0.13589021301269522,0.13589007023999677,1.4277269844154006e-07,-1.323133337338689e-07,False,108.71217041015615,108.7120561919974
plain,2,saved,test_probe,1,0.005,0.0009616394042968324,0.0009615067941610711,1.3261013576126857e-07,-1.323133337338689e-07,False,76.93115234374659,76.92054353288569
plain,2,saved,test_probe,1,0.01,0.004585083007812463,0.004584964490098042,1.1851771442028536e-07,-1.323133337338689e-07,False,91.70166015624925,91.69928980196084
plain,2,saved,test_probe,1,0.02,0.019836608886718676,0.01983647657749743,1.3230922124574107e-07,-1.323133337338689e-07,False,99.18304443359338,99.18238288748715
