problem,method,seed,probe,policy,coords,vector,r2_frac_conv1,l2_frac_conv1,r2_frac_stage 1,l2_frac_stage 1,r2_frac_stage 2,l2_frac_stage 2,r2_frac_stage 3,l2_frac_stage 3,r2_frac_fc,l2_frac_fc
combined_s4_train_saved_ord,resolution_max_b1_gaussian_conv,4,train_probe,saved,ordinary,top1,0.0022079066224001964,0.002934524306586214,0.1514386261166907,0.16042344241213757,0.41168921778833534,0.4145057159286617,0.4332339763829714,0.4197489597780075,0.0014302730896024766,0.0023873575746070014
combined_s4_train_saved_ord,resolution_max_b1_gaussian_conv,4,train_probe,saved,ordinary,top2,0.0008002850669901303,0.0010574703536467974,0.08155144491894205,0.0860524438812951,0.40676214518365034,0.4091136239996762,0.5088513883402285,0.5004976099782461,0.002034736490188903,0.0032788517871358116
combined_s4_train_saved_ord,resolution_max_b1_gaussian_conv,4,train_probe,saved,ordinary,min,0.00395925503999072,0.004812618970257907,0.04090972183881821,0.043610815457605714,0.312918684324016,0.31625006279339885,0.6409765986286705,0.6331369309283968,0.0012357401685046422,0.0021895718503406546
combined_s4_train_saved_rel,resolution_max_b1_gaussian_conv,4,train_probe,saved,relative,top1,0.0042007409370839926,0.006106010372867363,0.17437624023125423,0.18925887037756017,0.4155250048529987,0.41393336756585575,0.40194484578961637,0.38419073158141964,0.003953168189046696,0.006511020102296985
combined_s4_train_saved_rel,resolution_max_b1_gaussian_conv,4,train_probe,saved,relative,top2,0.0014832897202895856,0.0021277690762009274,0.09147036559067208,0.09785063725816348,0.4092087396446575,0.4094792782760701,0.49250983099707524,0.48169347680446833,0.005327774047305742,0.008848838585097052
combined_s4_train_saved_rel,resolution_max_b1_gaussian_conv,4,train_probe,saved,relative,min,0.0054768295844726785,0.007171094666772409,0.04830148375814577,0.052813048754293344,0.3162791645460003,0.3181761663936068,0.6259714564617634,0.6147507174722604,0.003971065649617798,0.0070889727130670835
gaussian_s0_test_centre_frozen_ord,gaussian_postrelu,0,test_probe,centre_frozen,ordinary,top1,0.0039057969776130123,0.004915353618156242,0.09391742848736222,0.09973628029312606,0.369747666242208,0.37509266160222593,0.531206660697656,0.5182344834688485,0.001222447595160686,0.00202122101764326
gaussian_s0_test_centre_frozen_ord,gaussian_postrelu,0,test_probe,centre_frozen,ordinary,top2,0.00555432117784412,0.010760088629632032,0.10457563111498559,0.1111533520989917,0.36944049344180124,0.36991952514392495,0.5194018510051329,0.5062659055815987,0.0010277032602361974,0.0019011285458526662
gaussian_s0_test_centre_frozen_ord,gaussian_postrelu,0,test_probe,centre_frozen,ordinary,min,0.004866144240827099,0.006311827234297887,0.06465047493151355,0.0680806280174243,0.29876231398372666,0.3022685331816733,0.6308951683255379,0.6219341927604694,0.0008258985183947772,0.0014048188061350747
gaussian_s0_test_centre_frozen_rel,gaussian_postrelu,0,test_probe,centre_frozen,relative,top1,0.007561104353057639,0.013280313747458106,0.10793424039304778,0.11541923727385797,0.37760670947299896,0.38068990910777983,0.5035698857236327,0.48512219046617716,0.0033280600572629816,0.00548834940472691
gaussian_s0_test_centre_frozen_rel,gaussian_postrelu,0,test_probe,centre_frozen,relative,top2,0.028071915170388772,0.06202652413764571,0.12300244388858782,0.12788419947244717,0.3695475129838687,0.35737881107930236,0.47594040699261514,0.446604581069845,0.003437720964539592,0.006105884240759618
gaussian_s0_test_centre_frozen_rel,gaussian_postrelu,0,test_probe,centre_frozen,relative,min,0.007316725719652009,0.012702600700484498,0.07674800108009995,0.08132521996219502,0.3062407901745552,0.30866977603790235,0.607311069771916,0.5930854922477202,0.002383413253776992,0.004216911051697955
gaussian_s0_test_saved_ord,gaussian_postrelu,0,test_probe,saved,ordinary,top1,0.0036559206662724,0.004837497783600496,0.09905300981520673,0.10501076388119765,0.3560975697423854,0.3615011155882382,0.5399734037688081,0.5266480036767802,0.0012200960073275589,0.002002619070183386
