method,seed,probe,policy,direction,dHd,g_dot_d,L0,grad_norm
gaussian_postrelu,3,test_probe,saved,9,169.52190294636188,-0.02325198303012249,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,saved,10,118.63942574265937,-0.21665116612660784,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,saved,11,172.38450277902487,0.09846568615316906,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,saved,12,195.10083156624228,0.6699310569331214,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,saved,13,172.1826096270521,0.7621854949952231,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,saved,14,190.76061269388828,0.42000684556094814,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,saved,15,103.55625333177228,0.3195204584743719,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,saved,16,102.78979703529915,-0.6836157773779226,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,saved,17,110.79304480622223,0.13217657603383626,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,saved,18,181.57667638348232,-0.10734351229728481,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,saved,19,145.6695544315321,0.01510616929962176,0.564039945602417,4.603852234101029
gaussian_postrelu,3,test_probe,centre_frozen,0,264.57505140033277,0.2692822815909596,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,1,110.11470436306038,-0.12070654973253467,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,2,130.1883545099034,0.31390509175920445,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,3,136.5577876008871,0.28133504134868204,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,4,73.35725254556704,-0.23381384167393282,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,5,95.6672584594348,0.08292407982101424,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,6,81.56140263763905,0.5200985908759435,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,7,169.7895067275455,0.07289101097428519,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,8,97.09154005295619,-0.1158232844499378,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,9,168.01701814425329,-0.22791729466153937,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,10,117.24296846035473,-0.0997730344762608,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,11,169.75410884376322,0.500523580042009,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,12,185.06201730550706,0.636966624385428,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,13,166.31541579149126,0.5414408162740603,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,14,179.32363513773151,0.4933067871170358,0.5582676231861115,4.368155570886236
gaussian_postrelu,3,test_probe,centre_frozen,15,98.06390751394119,0.30672025776439926,0.5582676231861115,4.368155570886236
