method,seed,epoch,update,state_label,state,produced_state,next_update_state,equals_final,policy,split,centre_ce,centre_acc,S_eps0.1,n_dirs_eps0.1,S_eps0.25,n_dirs_eps0.25
plain,4,18,7038,produced,plain,plain,plain,True,recalibrated,test_probe,0.7139523315429688,0.752,0.08014593048095703,10,0.5531572967529297,10
plain,4,21,8211,produced,plain,plain,plain,True,saved,train_probe,0.2552954330444336,0.923,0.6056242385864257,10,4.322160270690918,10
plain,4,21,8211,produced,plain,plain,plain,True,saved,test_probe,0.7101421813964843,0.761,0.5054598052978516,10,3.932532757568359,10
plain,4,21,8211,produced,plain,plain,plain,True,recalibrated,train_probe,0.24759354400634764,0.928,0.16373003845214845,10,0.8564357925415038,10
plain,4,21,8211,produced,plain,plain,plain,True,recalibrated,test_probe,0.7006258850097656,0.767,0.08858894500732424,10,0.575050732421875,10
plain,4,30,11730,produced,plain,plain,-,True,saved,train_probe,0.16967857360839844,0.963,0.7523270675659179,10,5.1637337738037115,10
plain,4,30,11730,produced,plain,plain,-,True,saved,test_probe,0.7400374145507812,0.768,0.6200307144165039,10,4.69071480102539,10
plain,4,30,11730,produced,plain,plain,-,True,recalibrated,train_probe,0.16457229614257812,0.963,0.19684362640380862,10,1.0224690124511717,10
plain,4,30,11730,produced,plain,plain,-,True,recalibrated,test_probe,0.7361421203613281,0.769,0.09578132781982425,10,0.6656815368652345,10
resolution_max_b1,0,3,1173,produced,r=16,r=16,r=16,False,saved,train_probe,1.1203397216796875,0.588,0.16612405090332025,10,1.0234220916748047,10
resolution_max_b1,0,3,1173,produced,r=16,r=16,r=16,False,saved,test_probe,1.1527079467773438,0.595,0.16629226989746085,10,1.0242862884521484,10
resolution_max_b1,0,3,1173,produced,r=16,r=16,r=16,False,recalibrated,train_probe,1.1124481201171874,0.602,0.04850593872070319,10,0.26421754150390636,10
resolution_max_b1,0,3,1173,produced,r=16,r=16,r=16,False,recalibrated,test_probe,1.1499613037109375,0.597,0.04306511230468746,10,0.24833988952636715,10
resolution_max_b1,0,3,1173,final,r=32,r=16,r=16,True,saved,train_probe,3.1375118408203124,0.23,0.027492419433593707,10,0.3192199340820313,10
resolution_max_b1,0,3,1173,final,r=32,r=16,r=16,True,saved,test_probe,3.1622816162109375,0.223,0.02652033691406248,10,0.308714208984375,10
resolution_max_b1,0,3,1173,final,r=32,r=16,r=16,True,recalibrated,train_probe,1.6697508544921875,0.383,0.046578100585937435,10,0.23314169006347657,10
resolution_max_b1,0,3,1173,final,r=32,r=16,r=16,True,recalibrated,test_probe,1.7030217895507813,0.357,0.04756989746093743,10,0.22829217834472648,10
resolution_max_b1,0,6,2346,produced,r=16,r=16,r=24,False,saved,train_probe,0.83456396484375,0.694,0.1843996185302735,10,1.2479221649169923,10
resolution_max_b1,0,6,2346,produced,r=16,r=16,r=24,False,saved,test_probe,0.9431787109375,0.677,0.1769639587402343,10,1.221014614868164,10
resolution_max_b1,0,6,2346,produced,r=16,r=16,r=24,False,recalibrated,train_probe,0.8184943237304687,0.701,0.05575522766113287,10,0.3319255004882814,10
resolution_max_b1,0,6,2346,produced,r=16,r=16,r=24,False,recalibrated,test_probe,0.9242914123535156,0.67,0.047895822143554666,10,0.28455463562011724,10
resolution_max_b1,0,6,2346,final,r=32,r=16,r=24,True,saved,train_probe,4.102716674804688,0.157,0.08561331787109347,10,0.6386192443847653,10
resolution_max_b1,0,6,2346,final,r=32,r=16,r=24,True,saved,test_probe,4.1056923828125,0.159,0.08863497314453106,10,0.6534670349121091,10
resolution_max_b1,0,6,2346,final,r=32,r=16,r=24,True,recalibrated,train_probe,1.715031005859375,0.376,0.05246033020019534,10,0.27020917663574223,10
resolution_max_b1,0,6,2346,final,r=32,r=16,r=24,True,recalibrated,test_probe,1.7683689575195312,0.383,0.0510541076660157,10,0.259465985107422,10
resolution_max_b1,0,9,3519,produced,r=24,r=24,r=24,False,saved,train_probe,0.7274031372070312,0.73,0.25331631774902347,10,1.7483805511474606,10
resolution_max_b1,0,9,3519,produced,r=24,r=24,r=24,False,saved,test_probe,0.7933129272460937,0.718,0.24642684478759763,10,1.6925233673095703,10
resolution_max_b1,0,9,3519,produced,r=24,r=24,r=24,False,recalibrated,train_probe,0.6917825317382813,0.744,0.06714270935058589,10,0.3874910888671875,10
resolution_max_b1,0,9,3519,produced,r=24,r=24,r=24,False,recalibrated,test_probe,0.7699666137695312,0.72,0.05768455657958986,10,0.3546457122802734,10
resolution_max_b1,0,9,3519,final,r=32,r=24,r=24,True,saved,train_probe,2.777177490234375,0.247,0.15546300659179696,10,1.0272291015625001,10
resolution_max_b1,0,9,3519,final,r=32,r=24,r=24,True,saved,test_probe,2.839578857421875,0.235,0.15018120727539036,10,1.0134738647460935,10
resolution_max_b1,0,9,3519,final,r=32,r=24,r=24,True,recalibrated,train_probe,1.2495955810546875,0.569,0.08777494812011725,10,0.46103779296875,10
resolution_max_b1,0,9,3519,final,r=32,r=24,r=24,True,recalibrated,test_probe,1.3258048095703125,0.535,0.08086864318847646,10,0.43773864440917964,10
resolution_max_b1,0,12,4692,produced,r=24,r=24,r=32,False,saved,train_probe,0.5678358764648438,0.81,0.2602169616699218,10,1.8269209838867186,10
resolution_max_b1,0,12,4692,produced,r=24,r=24,r=32,False,saved,test_probe,0.6980221252441406,0.752,0.24213547363281243,10,1.7528143463134764,10
resolution_max_b1,0,12,4692,produced,r=24,r=24,r=32,False,recalibrated,train_probe,0.573742919921875,0.809,0.07089467315673831,10,0.43811840362548826,10
resolution_max_b1,0,12,4692,produced,r=24,r=24,r=32,False,recalibrated,test_probe,0.6934968566894532,0.755,0.06065570526123043,10,0.3856620513916015,10
resolution_max_b1,0,12,4692,final,r=32,r=24,r=32,True,saved,train_probe,2.9066181640625,0.242,0.24549611206054692,10,1.450482196044922,10
resolution_max_b1,0,12,4692,final,r=32,r=24,r=32,True,saved,test_probe,2.9722142333984376,0.232,0.23924550781249992,10,1.4393784423828122,10
resolution_max_b1,0,12,4692,final,r=32,r=24,r=32,True,recalibrated,train_probe,1.1573116455078125,0.593,0.09434035644531247,10,0.5308486846923829,10
resolution_max_b1,0,12,4692,final,r=32,r=24,r=32,True,recalibrated,test_probe,1.2090360717773438,0.569,0.09497600402832018,10,0.5240479461669921,10
resolution_max_b1,0,18,7038,produced,r=32,r=32,r=32,True,saved,train_probe,0.4586502990722656,0.837,0.29881685638427735,10,2.309995462036133,10
resolution_max_b1,0,18,7038,produced,r=32,r=32,r=32,True,saved,test_probe,0.6037255859375,0.78,0.28558797454833984,10,2.268445651245117,10
resolution_max_b1,0,18,7038,produced,r=32,r=32,r=32,True,recalibrated,train_probe,0.4510435333251953,0.839,0.08702412261962891,10,0.5464585372924804,10
resolution_max_b1,0,18,7038,produced,r=32,r=32,r=32,True,recalibrated,test_probe,0.5953506164550781,0.78,0.07134160614013671,10,0.4816776733398437,10
