policy,split,method_state,method,epoch,quantity,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4
saved,train_probe,final,gaussian_postrelu,18,centre_ce,5,0.2840054443359375,0.06630633559312055,0,5,0,0.3358037109375,0.34613664245605474,0.1809405212402343,0.2920152130126953,0.26513113403320315
saved,train_probe,final,gaussian_postrelu,18,S_eps0.1,5,0.06795079467773436,0.08730693829775599,1,4,0,0.12929640808105464,-0.05609901123046879,0.06314540252685552,0.0344876449584961,0.16892352905273433
saved,train_probe,final,gaussian_postrelu,18,S_eps0.25,5,-0.3502588104248048,0.4667708193126416,4,1,0,-0.11584750061035143,-1.0728908111572264,-0.013977236938476523,-0.5656020355224616,0.017023532104492034
saved,train_probe,final,gaussian_postrelu,21,centre_ce,5,0.07251521453857421,0.01126721669975686,0,5,0,0.06781831359863283,0.0684637908935547,0.06650424957275386,0.06716152191162106,0.09262819671630862
saved,train_probe,final,gaussian_postrelu,21,S_eps0.1,5,-0.010003496398925792,0.12091378551369258,3,2,0,0.07169219360351553,-0.19420110473632834,-0.03707206573486321,-0.011364553833007718,0.12092804870605478
saved,train_probe,final,gaussian_postrelu,21,S_eps0.25,5,-0.803111920471191,0.42239389459697313,5,0,0,-0.4202417510986338,-1.4265533905029288,-0.5747027420043938,-1.0481810775756832,-0.5458806411743158
saved,train_probe,final,gaussian_postrelu,30,centre_ce,5,0.07634207000732422,0.018672101130904988,0,5,0,0.059910369873046876,0.09243133544921878,0.054773681640625016,0.07833961486816404,0.09625534820556642
saved,train_probe,final,gaussian_postrelu,30,S_eps0.1,5,-0.047222626647949184,0.11400007444310889,3,2,0,0.057808988952636864,-0.21339240417480465,-0.06052444915771493,-0.08208744049072247,0.06208217163085927
saved,train_probe,final,gaussian_postrelu,30,S_eps0.25,5,-1.1645600302124028,0.5388091026567369,5,0,0,-0.5518608764648443,-1.8356401977539063,-0.834811224365235,-1.6084302642822275,-0.9920575881958014
saved,train_probe,final,resolution_max_b1_gaussian_conv,3,centre_ce,5,2.913613037109376,0.3834540274895407,0,5,0,2.8923447265625004,3.1216293945312503,3.268219360351563,3.0118171997070315,2.274054504394531
saved,train_probe,final,resolution_max_b1_gaussian_conv,3,S_eps0.1,5,0.08296979370117162,0.08093630395143242,1,4,0,0.08153447875976516,-0.03726091003418003,0.19090002136230438,0.09083491516113262,0.08884046325683598
saved,train_probe,final,resolution_max_b1_gaussian_conv,3,S_eps0.25,5,0.5029839276123044,0.47506780162849993,1,4,0,0.25885940246581995,-0.0785349731445315,1.2025517395019527,0.6278844665527339,0.5041590026855465
saved,train_probe,final,resolution_max_b1_gaussian_conv,6,centre_ce,5,2.6825521728515627,0.17690996144529605,0,5,0,2.7171604614257814,2.9155701293945313,2.6969309692382817,2.663457946777344,2.419641357421875
saved,train_probe,final,resolution_max_b1_gaussian_conv,6,S_eps0.1,5,-0.10186010406494155,0.09278010904481526,5,0,0,-0.08183078918457046,-0.24214586181640613,-0.012405282592773709,-0.14065704345703137,-0.03226154327392605
saved,train_probe,final,resolution_max_b1_gaussian_conv,6,S_eps0.25,5,-0.8768331188964847,0.6367931655885524,5,0,0,-1.0091154479980466,-1.8129176208496096,-0.1368457946777344,-0.9644086761474615,-0.4608780548095708
saved,train_probe,final,resolution_max_b1_gaussian_conv,9,centre_ce,5,3.4534598571777346,0.6089493619060987,0,5,0,3.8753873901367184,4.295500610351563,3.2338989868164063,2.9674599304199223,2.8950523681640625
saved,train_probe,final,resolution_max_b1_gaussian_conv,9,S_eps0.1,5,0.09380508911132807,0.12860975598786478,2,3,0,0.0995837463378908,-0.06499280853271522,0.24055892791748051,-0.0014375000000000915,0.19531307983398433
saved,train_probe,final,resolution_max_b1_gaussian_conv,9,S_eps0.25,5,0.28606248168945303,0.8229172636393243,2,3,0,0.21558825378417934,-0.7254697387695317,0.981107476806641,-0.2696730865478516,1.228759503173828
saved,train_probe,final,resolution_max_b1_gaussian_conv,12,centre_ce,5,2.754364254760742,0.4392866805314713,0,5,0,2.4133782958984376,2.379817260742187,3.274090759277344,3.1884583129882813,2.5160766448974607
saved,train_probe,final,resolution_max_b1_gaussian_conv,12,S_eps0.1,5,-0.03601086151123043,0.14072344140101528,3,2,0,-0.1508932235717775,-0.13253941802978486,0.1238295730590821,-0.13232784423828137,0.11187660522460946
saved,train_probe,final,resolution_max_b1_gaussian_conv,12,S_eps0.25,5,-0.8811240258789066,0.8775744669601635,3,2,0,-1.5165832397460943,-1.7334942382812506,0.07233725891113307,-1.2841419067382818,0.05626199645996133
saved,train_probe,final,resolution_max_b1_gaussian_conv,18,centre_ce,5,0.3348143676757812,0.05473551019810001,0,5,0,0.4225715942382812,0.2858354644775391,0.2943658752441406,0.32455519104003905,0.34674371337890625
saved,train_probe,final,resolution_max_b1_gaussian_conv,18,S_eps0.1,5,-0.06310021667480464,0.07832351486994905,4,1,0,-0.05823341369628904,-0.13000817260742192,0.0693804122924806,-0.10004544677734367,-0.09659446258544918
saved,train_probe,final,resolution_max_b1_gaussian_conv,18,S_eps0.25,5,-0.47173634948730464,0.6458040307788702,3,2,0,-0.9363445404052735,-0.9913000274658197,0.3979946014404301,-0.8724809051513676,0.0434491241455075
saved,train_probe,final,resolution_max_b1_gaussian_conv,21,centre_ce,5,0.08477252044677734,0.028877217643994077,0,5,0,0.056435531616210954,0.05661543273925784,0.08531354522705076,0.10341889190673825,0.12207920074462891
saved,train_probe,final,resolution_max_b1_gaussian_conv,21,S_eps0.1,5,-0.2611934895324707,0.06967798699152451,5,0,0,-0.25040304183959966,-0.36793568878173827,-0.17323963623046873,-0.2487715621948241,-0.26561751861572247
saved,train_probe,final,resolution_max_b1_gaussian_conv,21,S_eps0.25,5,-1.5658690756225586,0.40083935049482133,5,0,0,-2.0258017822265626,-1.8579640045166013,-1.0732530990600582,-1.6225948593139647,-1.2497316329956054
saved,train_probe,final,resolution_max_b1_gaussian_conv,30,centre_ce,5,0.10512386474609374,0.018559725053267462,0,5,0,0.08310163879394533,0.09653366088867188,0.09730950927734378,0.12119795227050778,0.1274765625
saved,train_probe,final,resolution_max_b1_gaussian_conv,30,S_eps0.1,5,-0.3400985401916503,0.057863840600415904,5,0,0,-0.31159899215698245,-0.4132192443847656,-0.2590425338745117,-0.35863943328857406,-0.357992497253418
saved,train_probe,final,resolution_max_b1_gaussian_conv,30,S_eps0.25,5,-2.003641221313477,0.4566078704004667,5,0,0,-2.3000119567871105,-2.302376333618164,-1.3377014251708985,-2.3637889862060546,-1.7143274047851564
saved,test_probe,produced,resolution_max_b1,3,centre_ce,5,-0.09762333984374996,0.04556482408484073,5,0,0,-0.09561187744140631,-0.13609466552734362,-0.12262670898437489,-0.02048864746093737,-0.1132947998046876
saved,test_probe,produced,resolution_max_b1,3,S_eps0.1,5,-0.08593299865722659,0.04508752535588785,5,0,0,-0.06769142761230465,-0.08351195068359385,-0.02470589599609388,-0.14546820678710948,-0.10828751220703112
saved,test_probe,produced,resolution_max_b1,3,S_eps0.25,5,-0.8255648236083987,0.2844372749231033,5,0,0,-1.1764099090576172,-0.778772671508789,-0.40596848449707035,-0.9716548339843756,-0.7950182189941405
saved,test_probe,produced,resolution_max_b1,6,centre_ce,5,-0.051353717041015615,0.014220033296582706,5,0,0,-0.04557455444335934,-0.05965322875976564,-0.07139227294921868,-0.03504629516601565,-0.045102233886718746
