m,s,policy,probe,hvp_seconds_f32,hvp_repeat_bitwise,hvp_repeat_max_abs_diff,symmetry_rel,loss_f32,grad_norm_f32,hvp_seconds_f64,hvp_f32_vs_f64_rel,key,fd_err_all_masked_h0.01,fd_err_all_masked_h0.001,fd_err_all_masked_h0.0001,fd_err_fc_only_h0.01,fd_err_fc_only_h0.001,fd_err_fc_only_h0.0001
plain,1,saved,train_probe,1.5959608554840088,True,0.0,7.100738553510311e-08,0.1968081071972847,3.308771472070774,4.074770212173462,6.002659639456404e-05,hchecks|saved,0.08677605035108045,0.24334862469174817,0.748041135911168,7.155907571176727e-05,7.156722634369768e-07,7.156787946176015e-09
plain,1,centre_frozen,train_probe,1.044506549835205,True,0.0,8.738894649776385e-07,0.1990513578057289,2.884039331723026,4.19750189781189,8.283759205695599e-05,hchecks|centre_frozen,0.08513032215844564,0.2527726621118272,0.8889988661506945,7.700184230326696e-05,7.700888862931973e-07,7.701033547808472e-09
resolution_max_b1,1,saved,train_probe,1.560023546218872,True,0.0,5.055225946768312e-07,0.3033616542816162,2.6193126428168503,4.08338189125061,5.5270723658803675e-05,hchecks|saved,0.13073829240877172,0.35987232087645915,1.3091544199184493,3.035685313728913e-05,3.0367436215676326e-07,3.0369456335536905e-09
resolution_max_b1,1,centre_frozen,train_probe,1.1222965717315674,True,0.0,1.1222092757220274e-07,0.3049263656139374,2.5404907114490407,4.244385004043579,6.70319705002921e-05,hchecks|centre_frozen,0.12868141031265723,0.4093258291722135,1.1399786485405545,3.1271962331723416e-05,3.128368862502435e-07,3.1284509543045215e-09
resolution_max_b1_gaussian_conv,0,saved,train_probe,1.0550835132598877,True,0.0,1.2885259382384002e-09,0.30663037300109863,1.9479538769131557,4.163569450378418,6.268816401567701e-05,hchecks|saved,0.10353928995073035,0.3247337544889859,0.9685025180211816,3.131791907196242e-05,3.132166561935496e-07,3.1327936267908537e-09
resolution_max_b1_gaussian_conv,0,centre_frozen,train_probe,1.0678141117095947,True,0.0,4.723904654973139e-07,0.3066259175539017,2.1933466029467374,4.172078371047974,3.6069626645715024e-05,hchecks|centre_frozen,0.12093669519161646,0.3292062081967037,1.0462206186064724,3.204196668966306e-05,3.204576134286045e-07,3.205036627752845e-09
gaussian_postrelu,0,saved,train_probe,0.9973487854003906,True,0.0,4.2975579534281036e-06,0.28343909978866577,2.5295194363653835,4.074954271316528,7.860033722382972e-05,hchecks|saved,0.0809976626734629,0.2301146947256929,0.7597087129955582,6.816363098397551e-05,6.8176303516979e-07,6.817604856251189e-09
gaussian_postrelu,0,centre_frozen,train_probe,1.0045599937438965,True,0.0,8.568289555985972e-07,0.28243449330329895,2.5144684469640457,4.085151433944702,0.0001622322647955502,hchecks|centre_frozen,0.07519792657325408,0.24588257166388572,0.7054011154325996,5.78725888150057e-05,5.788258520194049e-07,5.788369249520617e-09
plain,0,saved,train_probe,1.605144739151001,True,0.0,3.532527305150866e-06,0.22352873533964157,2.6719993978198704,4.087553262710571,7.531982844357585e-05,hchecks|saved,0.11513959659448295,0.28817602907884876,1.0279868038725184,4.7533712902226896e-05,4.7532850540747784e-07,4.75341992784162e-09
plain,0,centre_frozen,train_probe,1.050863265991211,True,0.0,7.500717392699803e-07,0.2221803069114685,2.810781554986,4.134501695632935,6.518085781317167e-05,hchecks|centre_frozen,0.13064669695474246,0.35001284754382317,1.063755780598956,4.56657817176749e-05,4.5664855034769896e-07,4.566148406847197e-09
resolution_max_b1,0,saved,train_probe,1.6165015697479248,True,0.0,3.8208433708359553e-07,0.3205525130033493,2.9854811433682364,4.090746641159058,0.00018196326802902965,hchecks|saved,0.19522907547627777,0.6090461768386102,1.977495630495966,3.7713278207419365e-05,3.7714526246859793e-07,3.77111230921801e-09
resolution_max_b1,0,centre_frozen,train_probe,1.1334953308105469,True,0.0,5.692851720165556e-07,0.3181024044752121,2.30833264186602,4.207611083984375,8.767248586188767e-05,hchecks|centre_frozen,0.1995275812574943,0.6071158845561034,2.2610320108790716,3.3422996063067834e-05,3.3422120132310024e-07,3.342202270909643e-09
