problem,method,seed,source_probe,source_policy,coords,vector,eval_policy,t,train_probe_ce,test_probe_ce,train_probe_acc,test_probe_acc
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.5,943302836.224,941075922.944,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.5,6849730881519.616,6775989514272.768,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.35,51905631879.168,51469084524.544,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.2,82448195.584,82024964.096,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.1,240067.128,239617.184,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.05,5244.1205,5241.49475,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.02,305.1358125,305.4988125,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.01,89.12565234375,89.35525390625,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.005,35.684599609375,35.93012109375,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.002,8.92023046875,9.4979326171875,0.164,0.154
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.001,2.27389697265625,2.82446142578125,0.497,0.454
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,-0.0005,0.6533286437988282,1.2075482177734376,0.761,0.657
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.0,0.22218031311035155,0.7570303955078125,0.94,0.737
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.0005,0.5604367980957031,1.1457887573242187,0.805,0.651
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.001,1.4997070922851563,2.1587081298828124,0.65,0.548
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.002,4.4751552734375,5.16432275390625,0.373,0.341
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.005,15.897998046875,16.35458349609375,0.176,0.169
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.01,41.23491796875,41.35676953125,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.02,118.960234375,118.48684765625,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.05,1322.12325,1320.895125,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.1,39078.356,39061.406,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.2,8953477.12,8951226.368,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.35,4145837637.632,4144260186.112,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,centre_frozen,0.5,468340178944.0,468126336548.864,0.1,0.1
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.5,8.46914599609375,6.7750546875,0.116,0.121
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.35,7.66247021484375,6.431671630859375,0.13,0.112
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.2,6.8307451171875,5.937845458984375,0.145,0.141
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.1,5.50086181640625,5.06563427734375,0.226,0.205
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.05,3.680155517578125,3.6673321533203125,0.373,0.351
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.02,1.38651220703125,1.7853078002929688,0.64,0.557
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.01,0.58682861328125,1.1067109985351562,0.823,0.691
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.005,0.3163065643310547,0.8668380737304687,0.896,0.726
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.002,0.23596590423583985,0.7810794982910156,0.933,0.735
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.001,0.2253985290527344,0.7653177795410157,0.94,0.736
plain_s0_train_centre_frozen_rel,plain,0,train_probe,centre_frozen,relative,top1,recalibrated,-0.0005,0.22290292358398436,0.7602962036132812,0.941,0.741
