method,split,amplitude,n_seeds,ratio_pw_over_cf_median,ratio_pw_over_cf_min,ratio_pw_over_cf_max,delta_centre_frozen_mean,delta_centre_frozen_sd,relchange_centre_frozen_mean,n_below_plain_centre_frozen,delta_pointwise_mean,delta_pointwise_sd,relchange_pointwise_mean,n_below_plain_pointwise,delta_saved_mean,delta_saved_sd,relchange_saved_mean,n_below_plain_saved,n_seeds_sign_differs_cf_vs_pw
gaussian_postrelu,train_probe,0.025,5,0.4593447079036384,0.40605042406349784,0.49084961381190334,-0.0024938029861450396,0.005577711593020079,-0.05498886259310879,3.0,0.0031909200668334796,0.002689540431251872,0.23576759658704033,1.0,-0.0027002224349975804,0.005432774823741939,-0.0600056444930531,3.0,2.0
gaussian_postrelu,train_probe,0.05,5,0.44516855687931267,0.38817310662534277,0.47896350749670286,-0.004058301544189463,0.025670471291551467,-0.018488831308893207,2.0,0.01919961059570316,0.012838023117500465,0.3709467688332567,0.0,-0.004304347496032729,0.024982331481077116,-0.02008313608873056,3.0,2.0
gaussian_postrelu,train_probe,0.1,5,0.3953682287861825,0.34079919581066004,0.41195291947445956,-0.025633215332031202,0.10920209896009168,-0.028909258324301485,2.0,0.08351630653381352,0.04286396054220405,0.43713273730009156,0.0,-0.024414371643066368,0.10774593705655422,-0.02731694752467393,2.0,2.0
gaussian_postrelu,train_probe,0.2,5,0.3182883207931074,0.2706271939878711,0.3358606405082573,-0.46441217498779325,0.3517238543699684,-0.1334954481869986,5.0,0.21293277481079106,0.09454803546313899,0.3127804020960151,0.0,-0.4623636242675784,0.3481945248256401,-0.13279127481931274,5.0,5.0
gaussian_postrelu,train_probe,0.25,5,0.29470043077902514,0.2538563598689781,0.3149040967884938,-0.9000442996215818,0.4168953622451881,-0.16730597612526626,5.0,0.24048544845581055,0.11573789969887278,0.23798182966957987,0.0,-0.8969434378051764,0.4059171691073144,-0.1665343145358913,5.0,5.0
gaussian_postrelu,train_probe,0.35,5,0.24284697338332353,0.22730913232648944,0.27177966858889696,-1.9447431158447266,0.4925790970488836,-0.19339690858624708,5.0,0.1894368338012698,0.13979355881860112,0.10738243569599386,0.0,-1.9323958584594727,0.4461973560680745,-0.1918163445968814,5.0,5.0
gaussian_postrelu,train_probe,0.5,5,0.16883169784130325,0.1583766324378347,0.18188285864539588,-4.320099135131839,1.3789217222835435,-0.20261487255257551,5.0,-0.041430741577148655,0.14525648836249036,-0.013183647894445285,3.0,-4.298778645935059,1.3527485731739293,-0.2010212098034136,5.0,2.0
resolution_max_b1_gaussian_conv,test_probe,0.005,5,0.27221620364989696,0.2294343436615666,0.36463750411345447,-0.00047734893798828004,0.00012080998313109054,-0.3733716528094714,5.0,1.792144775386e-05,3.149165975773476e-05,0.11726404851821451,1.0,-0.0004615402984619,0.00018060419593613608,-0.35725265019445523,5.0,4.0
resolution_max_b1_gaussian_conv,test_probe,0.01,5,0.2667527524298787,0.22288808277390523,0.34965299670424094,-0.00205553337097172,0.00046329347637979985,-0.3953524881502065,5.0,-5.880828857424006e-05,0.00010570614148599712,-0.05294123654966715,3.0,-0.0020233128356933598,0.0006984785946615438,-0.383826558425879,5.0,2.0
resolution_max_b1_gaussian_conv,test_probe,0.02,5,0.26368947060998416,0.22669388033739277,0.3314019113623057,-0.008813440856933658,0.00179855980692978,-0.41101356735256367,5.0,-0.0005024957275390801,0.000548199794441561,-0.11764364139089253,4.0,-0.008601452178955079,0.002242385018814683,-0.4006214412271019,5.0,1.0
