method,u1,u2,t1,t2,T1,T2,train_probe_ce,test_probe_ce,train_probe_ce_centred,test_probe_ce_centred
resolution_max_b1,0.45,0.85,0.0005507459806680121,0.0012448280440713745,0.0012238799570400269,0.0014645035812604406,1.8410855102539063,2.188531799316406,1.5229831085205079,1.628118896484375
resolution_max_b1,0.45,0.9,0.0005507459806680121,0.0013180532231343966,0.0012238799570400269,0.0014645035812604406,1.9735027465820312,2.3205445556640627,1.6554003448486327,1.7601316528320314
resolution_max_b1,0.45,0.95,0.0005507459806680121,0.0013912784021974185,0.0012238799570400269,0.0014645035812604406,2.1108779296875,2.457347900390625,1.7927755279541018,1.8969349975585938
resolution_max_b1,0.45,1.0,0.0005507459806680121,0.0014645035812604406,0.0012238799570400269,0.0014645035812604406,2.25289892578125,2.598757568359375,1.9347965240478515,2.038344665527344
resolution_max_b1,0.5,-1.0,0.0006119399785200134,-0.0014645035812604406,0.0012238799570400269,0.0014645035812604406,1.9366644287109376,2.223676513671875,1.6185620269775391,1.6632636108398438
resolution_max_b1,0.5,-0.95,0.0006119399785200134,-0.0013912784021974185,0.0012238799570400269,0.0014645035812604406,1.7981253662109375,2.0818778076171873,1.4800229644775391,1.521464904785156
resolution_max_b1,0.5,-0.9,0.0006119399785200134,-0.0013180532231343966,0.0012238799570400269,0.0014645035812604406,1.66730029296875,1.948345458984375,1.3491978912353515,1.3879325561523437
resolution_max_b1,0.5,-0.85,0.0006119399785200134,-0.0012448280440713745,0.0012238799570400269,0.0014645035812604406,1.5444347534179688,1.82314111328125,1.2263323516845703,1.2627282104492188
resolution_max_b1,0.5,-0.8,0.0006119399785200134,-0.0011716028650083526,0.0012238799570400269,0.0014645035812604406,1.4297587890625,1.70640185546875,1.1116563873291017,1.1459889526367186
resolution_max_b1,0.5,-0.75,0.0006119399785200134,-0.0010983776859453305,0.0012238799570400269,0.0014645035812604406,1.32326904296875,1.5979581909179688,1.0051666412353515,1.0375452880859375
resolution_max_b1,0.5,-0.7,0.0006119399785200134,-0.0010251525068823084,0.0012238799570400269,0.0014645035812604406,1.2250628051757813,1.4976372680664063,0.9069604034423828,0.937224365234375
resolution_max_b1,0.5,-0.65,0.0006119399785200134,-0.0009519273278192865,0.0012238799570400269,0.0014645035812604406,1.1351813354492188,1.4055077514648437,0.8170789337158204,0.8450948486328125
resolution_max_b1,0.5,-0.6,0.0006119399785200134,-0.0008787021487562643,0.0012238799570400269,0.0014645035812604406,1.0538101196289062,1.32144970703125,0.7357077178955078,0.7610368041992188
resolution_max_b1,0.5,-0.55,0.0006119399785200134,-0.0008054769696932424,0.0012238799570400269,0.0014645035812604406,0.9806149291992188,1.2455203247070312,0.6625125274658203,0.685107421875
resolution_max_b1,0.5,-0.5,0.0006119399785200134,-0.0007322517906302203,0.0012238799570400269,0.0014645035812604406,0.9153117370605469,1.1778786010742188,0.5972093353271485,0.6174656982421876
resolution_max_b1,0.5,-0.45,0.0006119399785200134,-0.0006590266115671983,0.0012238799570400269,0.0014645035812604406,0.8579450988769531,1.1183504638671875,0.5398426971435547,0.5579375610351562
resolution_max_b1,0.5,-0.4,0.0006119399785200134,-0.0005858014325041763,0.0012238799570400269,0.0014645035812604406,0.8081080932617187,1.0668592834472657,0.4900056915283203,0.5064463806152344
resolution_max_b1,0.5,-0.35,0.0006119399785200134,-0.0005125762534411542,0.0012238799570400269,0.0014645035812604406,0.7657638549804687,1.0233008422851562,0.4476614532470703,0.4628879394531249
resolution_max_b1,0.5,-0.3,0.0006119399785200134,-0.00043935107437813217,0.0012238799570400269,0.0014645035812604406,0.7307004089355469,0.9878246459960938,0.41259800720214845,0.4274117431640625
resolution_max_b1,0.5,-0.25,0.0006119399785200134,-0.00036612589531511016,0.0012238799570400269,0.0014645035812604406,0.7026793212890625,0.960496337890625,0.3845769195556641,0.4000834350585938
