objective,method,seed,probe,draw,rademacher_seed,z_sha256,trace_ordinary,trace_relative,trace_covariance,zHz_direct,seconds
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,58,2100005025,03e455a88d60d8e139fa5ab8f3b33847a00bfd31904ae45e53ff91d28a3d860a,12261.37281302025,19981.424504900144,97.07309043108859,12261.37281302025,1.0830624103546143
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,59,585311438,0325fb1b80d6045728b426b71833d3ebb02eb04081c03c637cdd855496333f67,12617.921241948847,21341.31818679316,122.67971564606283,12617.921241948847,1.0818703174591064
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,60,1314561271,462222031f5d79a83e35f82151bd4d5a6891d6abc50304fcbf94b2b687181977,8848.189533223078,15265.89264694685,72.98346864560513,8848.189533223078,1.083653450012207
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,61,957245274,a9ba13b6b6bc8dcb382d869b2d6e11259390f4eeaeab9a9596487c3f3d575aba,17772.659932349823,28823.500031249034,111.5906418220597,17772.659932349823,1.0854580402374268
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,62,931822274,052d1480759da853fe974d471ac96106f431a2927f0715c154d3dde4aa8ca53c,18326.885375118727,29706.12716718062,147.3121141627733,18326.885375118727,1.0822222232818604
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,63,412132983,af611a182614c238fd548df4eefc11e59f0a34a38747cdd18f56a9887316162e,6908.676400705241,11486.438250173638,55.23807396977362,6908.676400705241,1.084557056427002
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,64,764998066,0b2aded9ba510359efb240af493ec969a5c0a02a75c6d2cd62b1e181bb8a2ebf,8757.048673366226,16007.613966997817,155.57940381829076,8757.048673366226,1.0811986923217773
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,65,185325486,824d732c902ffae8835e591a5636a6beb281a66c6f30dfcab55df0154e1ee771,14002.783430261945,23411.12524861929,143.29967479379053,14002.783430261945,1.0801324844360352
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,66,40717663,419dca33abd146058caad269b0362c79999c489717f35b836e6612590bfe23a2,8704.741716628138,14682.44007514138,99.87284352686974,8704.741716628138,1.087322473526001
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,67,617494626,bb1125a5bf60e1788673bb0a15412593b9ed03749a0f109ca1ae10f933eb3e33,8645.867064491438,15698.1311959144,161.01090117582817,8645.867064491438,1.0888471603393555
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,68,279232992,1fa3363dbeeef438cd3590180546076362cb4207d3e20486c284f3c928560922,11221.941489002842,18738.494295860368,99.49085941123502,11221.941489002842,1.08455228805542
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,69,456845200,2626151334bcbba647c9d6339c1f75c8f887aa2ec4b4085719d99bc290e91276,7762.844514819735,14111.008475969642,129.24546815395723,7762.844514819735,1.083066463470459
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,70,1756609109,c1f5d6c9b4e396a52fe74f2cc9c24b916c9b0d1458f6a57790325fc399d4a590,13760.593752792745,22992.753190935047,87.43642404119181,13760.593752792745,1.0849146842956543
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,71,517656631,6a143e247307514d2f7a711c2483314a2d66341c4d529b70758535afe20d06df,15628.041107170226,26264.583667562263,133.4646967016824,15628.041107170226,1.0870633125305176
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,72,150957096,0ac46eb0c7074d262386d81756efb01220b292a35832e47f6a3a54d903cf08e0,7855.601959819149,13584.954513380892,100.40729104355647,7855.601959819149,1.0803568363189697
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,73,1139546472,b436e8d26cd5932d20fc4bd4a215debdb0e5a87dc955b156ce16f0d3a46ce13d,7541.857817332784,12490.818355057338,92.56481247028094,7541.857817332784,1.0829355716705322
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,74,653525381,6d8cc326cf3eeec471bb23ffe7e3c73539f6a90aaec8dadf93e5430bc702c907,12773.709136094723,20331.420106496083,72.0726464636477,12773.709136094723,1.0841095447540283
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,75,595156522,e3e3ad55bde7058f5434ad7ab9e9d1da40f0b38b7b4571212e3e0f55ed7952df,9305.864075963822,15519.515355718657,54.37118889951847,9305.864075963822,1.085658073425293
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,76,1139333450,0ac54292c5a2fd51147fd3caa0f96296c9c5bfe41a669dbfd483ae13d93f88a0,8004.891633399588,13788.144251875307,110.5584067236641,8004.891633399588,1.086050271987915
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,77,1960340274,2174818b09adae7d8f651b9ec9dc5cb1940cc1bf07f14827e6c63dab89826cbb,8629.577361311472,14592.336856191036,96.63534759957524,8629.577361311472,1.0862345695495605
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,78,1807710624,1c4eae6e7a7e0b66a7ccbbc64864443ae546d3e828df277f0d86eae9b99acfcf,17651.289689937257,28635.5725252255,97.14204426408679,17651.289689937257,1.0815277099609375
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,79,300449172,12be1f0e72ad550734d6cdae1520890e6922606fee0d61e291abe85aa2048002,7213.676413550886,11631.392334636033,44.67252994933526,7213.676413550886,1.0824451446533203
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,80,1989495753,f972656123d606dfc8cfd2bb069337fd575993cd092588393b7af3b80acd3020,7891.795232228702,13499.410193809454,103.32081069369079,7891.795232228702,1.0833206176757812
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,81,898869119,2f957e39a26cdb298720d2e4e71d6c6d35518acc84b3af382226263f5f7578d0,12075.622593409731,20243.37992272524,138.84175816567412,12075.622593409731,1.0811924934387207
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,82,1515590028,362d557e1c56f586de964c9412c6909ee3503dace5785a56be23766fd6390ef9,19817.481968791166,33179.46369667742,200.26983374004126,19817.481968791166,1.0838418006896973
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,83,1632725398,e6ddee75002c45f74288d9324bd6a8ba069a38f3246752a5d4b65066807b35b3,8336.215076088847,13756.915353439528,57.70103196627484,8336.215076088847,1.0801730155944824
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,84,815281821,39a2f766a1f2a4f00ab0f80c4aa94e4b1cac79b55f303440df7f401c9dcdd156,5533.627070079878,10422.682623988943,102.769504280006,5533.627070079878,1.081275463104248
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,85,1296130450,34017398d3875441714de4bfc9ebbbe591d6225e18b3391e2c53657046c6101e,9808.972309132412,16727.248859205905,99.117839425591,9808.972309132412,1.0840020179748535
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,86,65342386,7f686165699e3531df8817d0f495614412f39d2529ed84bc121224704d29f527,6836.024730005214,10978.382386294386,59.791826665636826,6836.024730005214,1.079174280166626
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,87,984560877,6959147d071240e0c96d6061d2874e4bd32402ba2244e24fb3bbabdb219e2cd1,12398.006430963578,19897.54975218799,69.12114550928145,12398.006430963578,1.0808696746826172
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,88,554060736,00eb05c65f3d5859649d7dc9a808313ece69dd8d89be4c7ac41790a9a1f54469,6980.44391984331,11532.743817973047,63.82643284383572,6980.44391984331,1.0783758163452148
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,89,853694730,1bb1bbedbe912c13b0b5698299ca830d923d51753c70e070a5c19ebb68bf6bd9,11172.187145052216,17897.35101797743,80.34995414279803,11172.187145052216,1.076646089553833
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,90,604523631,80187ba7a54c1c57639081cf8139dafbaf5a60bff2816f1c9c0d3b3d3adf0526,9432.175858381222,15347.415980808983,85.14559512607028,9432.175858381222,1.0821478366851807
