objective,method,seed,probe,bn_policy,parameter_subset,n_draws,lambda_top1_ordinary,lambda_top2_ordinary,lambda_min_ordinary,lambda_top1_relative,lambda_min_relative,G,P,loss,grad_norm,trace_ordinary,trace_ordinary_mc_sd,trace_ordinary_mc_sem,trace_ordinary_mc_sem_rel,trace_ordinary_meets_5pct,trace_ordinary_cv,trace_ordinary_cv_mc_sem,trace_relative,trace_relative_mc_sd,trace_relative_mc_sem,trace_relative_mc_sem_rel,trace_relative_meets_5pct,trace_relative_cv,trace_relative_cv_mc_sem,trace_covariance,trace_covariance_mc_sd,trace_covariance_mc_sem,trace_covariance_mc_sem_rel,trace_covariance_meets_5pct,trace_covariance_cv,trace_covariance_cv_mc_sem,mean_eigenvalue_ordinary,lambda_top1_over_mean_eigenvalue,top2_share_of_trace_signed,r_units_extreme_top1,r_units_isotropic_relative_mean,quadform_20dir_mean,quadform_20dir_sem,trHC_minus_quadform_z,covariance_trace_over_extreme_r_units
plain_s0_train_centre_frozen,plain,0,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,2390.4589733988887,1685.78042525928,-3.5833394743178304,3825.841057441776,-5.631889274175698,698,268336,0.2221803069114685,2.810781554986,14810.582129849394,5360.71428725344,473.8246780650646,0.031992306170742175,True,14946.90088857801,311.7437297682953,23803.176381507852,8643.124180937799,763.9514648723177,0.032094517665542076,True,23973.38345579608,502.80244229803145,105.03167701544538,39.933199810985975,3.5296295476031925,0.03360538123259847,True,103.90616908736342,2.318639972451982,0.05519416749839527,43309.992373168585,0.27522479284881557,2670437.0580943595,61.91721242879256,97.23902284976374,4.457919201420537,1.3704829243643792,3.933126852665707e-05
resolution_s0_train_centre_frozen,resolution_max_b1,0,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1528.6884656250706,1070.13490019422,-2.702532921982537,2416.9778312233066,-4.351977943733867,698,268336,0.3181024044752121,2.30833264186602,10175.119417444268,3728.44085042509,329.5507260735649,0.03238789763082109,True,9882.568769145797,224.25946449662823,16239.258158315137,5921.381052571867,523.381087032888,0.0322293716825295,True,15779.537422331197,357.28129480300714,73.38209910046507,24.855955140575375,2.196976804096184,0.029938865622914028,True,71.24652129278658,1.5427268523948063,0.037919322854347785,40314.234288859225,0.2554096182265789,1687050.526193868,42.24182440859208,67.74072451255648,3.790587278687089,1.2876206996643127,4.349727406565673e-05
gaussian_s0_train_centre_frozen,gaussian_postrelu,0,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1319.860435756021,1156.017310620918,-2.909103855047335,2153.8686701872034,-4.6918248278655,698,268336,0.2824344933032989,2.5144684469640457,10189.115948994577,3448.442891986305,304.8021691822581,0.0299144862722202,True,10749.10059120485,243.08098268318327,17176.41860547511,5599.760851926713,494.9536089275421,0.028815879508768606,True,18060.843632315005,396.86082441910895,102.45975227943806,40.86066694747022,3.6116068352951523,0.03524902954523286,True,105.65692025396085,3.412552218979671,0.03797148332312689,34759.254057166305,0.24299240079030104,1503400.331790668,44.67958151951892,102.89982845744264,7.076610231528357,-0.05539072946943123,6.815200855875857e-05
combined_s0_train_centre_frozen,resolution_max_b1_gaussian_conv,0,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1219.0239036425764,922.6323459595832,-2.9483404174699115,1959.8753284798336,-4.720962740032198,698,268336,0.3066259175539017,2.193346602946737,8775.593352655735,3138.900977753286,277.4422708553041,0.031615215029459236,True,8732.592858407079,220.3067419119016,14240.310565799915,4981.39380289727,440.29716722366294,0.03091907056304641,True,14196.459509919188,350.61843792197254,65.1639849327758,23.138204136328646,2.0451476311595758,0.031384631146627734,True,64.44204441554282,1.5757529900321374,0.032703749599963236,37274.74428938102,0.24404688817469372,1367992.979278924,37.042129177331184,57.03817356956512,3.725124662196363,1.912131217074742,4.763473637644257e-05
plain_s1_train_centre_frozen,plain,1,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,2117.175452989193,1942.2836178198856,-3.946751986251483,3396.060340679414,-6.2268962261844205,698,268336,0.1990513578057289,2.884039331723026,15819.791444102248,6154.562323024109,543.9915942306973,0.034386774070495216,True,15655.39523064042,424.6261728852422,25458.954162018657,9592.45860627624,847.8615660936483,0.033303079171985155,True,25213.639051231286,655.0378737388786,114.4290269305337,36.65679933137143,3.240033922975905,0.028314790485309542,True,115.46269019889972,2.3441318009587055,0.05895515862240716,35911.62338395466,0.2566063582540135,2370450.117794231,66.22424872208359,119.68957128521129,7.564638591032751,-0.6392447293271907,4.8273121662232253e-05
resolution_s1_train_centre_frozen,resolution_max_b1,1,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1433.3969499007662,1312.5854252136992,-3.5484317308149427,2284.2534891619985,-5.603932034839177,698,268336,0.3049263656139374,2.5404907114490407,10095.956889080626,3783.1088755513515,334.3827424836719,0.03312046061184419,True,10339.180453478675,252.7175667455927,16126.897715640915,6034.35042284443,533.3662630061508,0.03307308525240149,True,16568.501413328282,400.35776105666105,73.36755375319402,24.730931706275687,2.1859261893211164,0.029794181180886833,True,75.31782834802496,1.6554964047012224,0.03762431015249771,38097.62741405664,0.27198832218513214,1594408.9354350748,41.949550584034036,73.73253213654984,5.617801243737245,-0.0605461938869741,4.6015518429827306e-05
gaussian_s1_train_centre_frozen,gaussian_postrelu,1,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1285.77228657031,1064.328123847174,-3.014678241936512,2125.407143635166,-4.853730897709488,698,268336,0.2910343259572983,2.504399406512799,9808.275554531308,3688.1452247817747,325.98906230549704,0.03323612397440179,True,9423.876594690077,203.88390602123047,16420.732842302794,6051.56249379809,534.8876095173505,0.032573918268701305,True,15854.669021978501,337.82559437264115,93.35445405491902,37.67830467194822,3.33032309214342,0.03567396034670441,True,91.32073961818293,2.6949861986408306,0.036552216454487314,35176.31518108563,0.23960383222836404,1483534.1862573458,42.713879330121,103.99575496176733,6.715557880069773,-1.4196003527788643,6.292706627168011e-05
combined_s1_train_centre_frozen,resolution_max_b1_gaussian_conv,1,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1113.7207253895322,928.8763031011574,-2.2160420928529367,1783.8783597064478,-3.515854958950132,698,268336,0.2950891405344009,1.8791869029608768,8295.828036408931,2942.714555621159,260.1016771720099,0.031353311089678974,True,8393.613285864243,207.90905178216175,13488.412105281262,4709.9404027200535,416.30384971848105,0.030863814544595736,True,13667.089175050867,334.60165937359125,62.300151173445165,20.54711385734861,1.81612544279291,0.029151220479975593,True,62.003027016352824,1.466006074868528,0.030915822090248537,36024.29597823381,0.24621978897417957,1245147.0950751007,35.086278581652564,68.83369602363285,6.06545163540545,-1.031909473869329,5.003437057345225e-05
plain_s2_train_centre_frozen,plain,2,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,2510.258988969921,2011.4329565171472,-3.26126710559622,4063.332358243587,-5.1963154311524695,698,268336,0.1944174468517303,2.487161956485978,14810.637452399167,5400.519795772022,477.34302119032316,0.03222974181391488,True,15242.754615723607,386.28542004652724,24046.627496025234,8656.087861454453,765.0973031726254,0.03181723937375798,True,24794.472691176466,617.9164063454477,105.70845700946298,36.93967867264833,3.2650371605352144,0.03088718966206204,True,108.39253351589537,2.5139409297138076,0.055194373667339335,45480.341965640226,0.305300292443159,2836205.9860540237,62.550481456925695,109.29563743725173,7.245653896859677,-0.45136956338067336,3.727107887411724e-05
resolution_s2_train_centre_frozen,resolution_max_b1,2,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1298.7747593366207,1072.2586143296442,-3.143682834719099,2077.548370301266,-4.999981554833503,698,268336,0.2894099503755569,2.3372362301252707,9673.16678746213,3549.4606562336708,313.7309624472102,0.03243311826834749,True,9481.982323626908,194.56538220532903,15666.573840415826,5639.368446779894,498.4544587909388,0.03181643056537681,True,15319.47527695588,307.7978422902228,71.06623593819067,23.804693902120228,2.1040575602824085,0.029606993145273614,True,69.98328331109562,1.4151201199416672,0.03604871052509589,36028.32779365181,0.24511449308818686,1450128.7624702838,40.75214857719518,69.98927662750128,5.750053705396448,0.17588976011194446,4.9006845307398675e-05
gaussian_s2_train_centre_frozen,gaussian_postrelu,2,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1166.6761106844774,1032.628640752123,-3.296360556037836,1911.1260318214088,-5.3984296735446256,698,268336,0.2518327832221985,2.6103647768229403,10146.266954581115,3726.202022656031,329.3528397863886,0.03246049421533142,True,9751.739240676872,203.30295851832807,17070.165954280612,6043.071701970455,534.13712245748,0.03129068129085979,True,16457.087214574538,342.95149873307855,94.68714292185778,34.00074415576906,3.0052695947416472,0.031738940493978136,True,92.52739857019426,2.6709009350526314,0.03781179921658337,30854.8160853663,0.21675999274231572,1333965.9702113434,44.4031953822367,87.32858688171645,4.46463929428158,1.3672831569615174,7.098167797103271e-05
combined_s2_train_centre_frozen,resolution_max_b1_gaussian_conv,2,train_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1152.9011684792956,950.9020101176404,-3.019436067818948,1871.1465656690173,-4.835150184802208,698,268336,0.2925716638565063,2.3139718723635463,8612.626357403984,2791.4212360307965,246.7291106431888,0.02864737194027744,True,8704.89625012708,172.5532571822768,14150.438568788344,4573.815202618569,404.2719682082141,0.028569571624438392,True,14309.238566591397,282.17906344034066,66.32754406194282,21.545571992120138,1.9043775075213876,0.028711714483848568,True,67.61713631392408,1.4799180838189856,0.03209642521839777,35919.924435025525,0.24426964450726085,1306060.3028369742,36.80835266611361,68.23469808764722,4.381867027734811,-0.39916957086132454,5.0784442278713063e-05
