policy,probe,method,amplitude,n_seeds,median,min,max
saved,test_probe,gaussian_postrelu,0.5,5,1.1282108099562425,0.9560231126849034,1.3159997087148334
saved,train_probe,gaussian_postrelu,0.005,5,1.1254621560195084,0.9358380205289312,1.174056231517911
saved,train_probe,gaussian_postrelu,0.01,5,1.1514187362813595,1.0124249182710596,1.1992752484997895
saved,train_probe,gaussian_postrelu,0.02,5,1.14704345529364,1.112461369673604,1.238689936974172
saved,train_probe,gaussian_postrelu,0.025,5,1.1582017130871105,1.1208388480114888,1.2565943946105818
saved,train_probe,gaussian_postrelu,0.05,5,1.2514418005564332,1.1914206802769791,1.3480561238810975
saved,train_probe,gaussian_postrelu,0.1,5,1.3960622932990987,1.2827019039160332,1.4647566938082883
saved,train_probe,gaussian_postrelu,0.2,5,1.3977956598925187,1.326651298571786,1.525431702660346
saved,train_probe,gaussian_postrelu,0.25,5,1.326033289517394,1.3104101108020278,1.5203773719720883
saved,train_probe,gaussian_postrelu,0.35,5,1.2694955339706524,1.1834050342707656,1.5047019963429291
saved,train_probe,gaussian_postrelu,0.5,5,1.2901826504188234,1.1963842653913968,1.661156693450232
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.005,5,0.8361150309550589,0.8010334823377435,0.9110356494160874
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.01,5,0.8094594430654058,0.7708784935887469,0.914804433296961
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.02,5,0.8223571129908398,0.7671393375422625,0.9243711812696868
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.025,5,0.8321306303683518,0.7747525195247617,0.9275600718452088
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.05,5,0.8770002409286439,0.8459446477116059,0.9548327155938204
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.1,5,1.017984976596518,1.001020760913816,1.0685101025176904
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.2,5,1.3283360820610866,1.2952567859643112,1.385584121507687
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.25,5,1.4490156679636153,1.3459775749470295,1.5239954013354164
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.35,5,1.601042407263895,1.3850764735423111,1.6537972829517862
centre_frozen,test_probe,resolution_max_b1_gaussian_conv,0.5,5,1.8107948447298707,1.4984420754783092,2.0257055927429133
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.005,5,1.1540476131502548,1.0344263656195818,1.292625107209421
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.01,5,1.1475974651167176,1.06671628421567,1.246280873840138
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.02,5,1.1599771188041854,1.1023241124239442,1.2092953683595806
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.025,5,1.1679618822722273,1.1115533189511386,1.1990515746071246
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.05,5,1.1599211598485255,1.125370449211886,1.2036716879636504
