objective,draw,trace_ordinary_cv,trace_relative_cv,trace_covariance_cv
combined_s0_test_centre_frozen,119,17948.73595618185,29569.457322018126,133.83083023646415
combined_s0_test_centre_frozen,120,11241.733152856665,18165.151152875158,69.24143544392705
combined_s0_test_centre_frozen,121,5619.976463655314,9216.642404069768,47.788159511053216
combined_s0_test_centre_frozen,122,7118.758484273528,11973.03804554858,58.66687377626512
combined_s0_test_centre_frozen,123,12312.450924348783,20601.689913745864,106.6464004936208
combined_s0_test_centre_frozen,124,11430.736682241757,18671.598511276927,93.31857354578034
combined_s0_test_centre_frozen,125,11624.192996158543,19518.030069305492,104.54007433024609
combined_s0_test_centre_frozen,126,12110.515216430142,19120.49208115931,61.43463035777175
combined_s0_test_centre_frozen,127,10012.134582028095,16243.571832318139,61.9984087848113
combined_s0_train_centre_frozen,0,11407.803292984485,18656.736966492685,80.17779665487704
combined_s0_train_centre_frozen,1,11653.828884795346,18697.002215350625,55.417795940441636
combined_s0_train_centre_frozen,2,7857.667651782477,12900.555984333247,57.37188627287286
combined_s0_train_centre_frozen,3,7212.766485292332,11579.553919510521,39.74270223339022
combined_s0_train_centre_frozen,4,9977.948471925567,16152.953341456643,60.52570837031617
combined_s0_train_centre_frozen,5,5356.887013411391,8619.011440561746,40.73268174264211
combined_s0_train_centre_frozen,6,8422.277001031958,13764.68316429856,59.41901209538371
combined_s0_train_centre_frozen,7,10811.280203445654,17747.247209111334,76.41064906422847
combined_s0_train_centre_frozen,8,12908.329996061573,20901.93355054109,94.65005547522368
combined_s0_train_centre_frozen,9,11817.203125665714,18654.221831162,56.90424728265059
combined_s0_train_centre_frozen,10,8740.008426611133,14256.12432872986,65.80786266219796
combined_s0_train_centre_frozen,11,4986.654233838997,8352.232788491736,49.793415778338336
combined_s0_train_centre_frozen,12,13385.471328671098,22095.72567211565,114.80950912660276
combined_s0_train_centre_frozen,13,6134.071618920675,9760.137665001683,46.521197080866166
combined_s0_train_centre_frozen,14,7661.437206413304,12564.649654535106,64.8661136225971
combined_s0_train_centre_frozen,15,9377.740938666075,15470.682696975502,83.23495377556502
combined_s0_train_centre_frozen,16,6452.918264936412,10452.223368409399,36.044521400279976
combined_s0_train_centre_frozen,17,8386.602743441865,13180.91518108114,72.64630663510665
combined_s0_train_centre_frozen,18,9395.907254115007,15402.850589253816,77.72960400905842
combined_s0_train_centre_frozen,19,8144.814089660205,13646.886828622082,72.19527600447661
combined_s0_train_centre_frozen,20,18816.352212240476,29844.626452480472,123.13932645319434
combined_s0_train_centre_frozen,21,11904.98019137754,19106.24337572894,83.992661307811
combined_s0_train_centre_frozen,22,10055.03964479961,15892.079307674047,69.87396174097448
combined_s0_train_centre_frozen,23,6697.8167182436,10923.95049875831,47.14822147422924
combined_s0_train_centre_frozen,24,8311.950792107167,13558.577427605358,66.10470449221245
combined_s0_train_centre_frozen,25,7229.7836876866,11555.35925161857,44.77736333691401
combined_s0_train_centre_frozen,26,7273.900019766868,11532.95942808033,53.91795179369064
combined_s0_train_centre_frozen,27,13335.744236364208,21584.4335331604,87.25950396305467
combined_s0_train_centre_frozen,28,8758.532871020869,14041.818358428145,61.874455734537065
combined_s0_train_centre_frozen,29,17058.50479731177,26801.005964837746,99.24570464397377
combined_s0_train_centre_frozen,30,7247.126434401051,11896.722271173321,51.42627375741563
combined_s0_train_centre_frozen,31,10168.778117849793,16120.843659377926,69.92994379762791
combined_s0_train_centre_frozen,32,7979.657019435733,13172.397552040979,44.87173182357674
combined_s0_train_centre_frozen,33,10194.094533264584,16291.019419104943,66.17027999814519
combined_s0_train_centre_frozen,34,5389.444324951077,8972.110478793347,55.84212904890273
combined_s0_train_centre_frozen,35,10067.702954755167,16810.728918863417,78.37522361691914
combined_s0_train_centre_frozen,36,7664.432854470902,12569.117191900707,55.891040141434615
combined_s0_train_centre_frozen,37,6370.725400524434,10354.83428386228,52.01017027526895
combined_s0_train_centre_frozen,38,6900.887919615007,11493.361770251526,46.786237235644265
combined_s0_train_centre_frozen,39,8293.54744902774,13646.769919033677,59.41558784133533
combined_s0_train_centre_frozen,40,9954.777777377853,15865.155741397983,55.87075536981155
combined_s0_train_centre_frozen,41,8599.240604603043,14022.208214811984,59.19633097149265
combined_s0_train_centre_frozen,42,8266.576795224755,13436.404835631925,62.119398338018485
combined_s0_train_centre_frozen,43,12668.89221940697,19702.21874507612,70.63413458066124
combined_s0_train_centre_frozen,44,7372.474270018689,11927.340897646329,64.36437436755227
combined_s0_train_centre_frozen,45,8176.599126197193,13477.214168051554,54.12164265425295
combined_s0_train_centre_frozen,46,7218.347113040257,11862.713062957378,56.58985498065388
combined_s0_train_centre_frozen,47,9257.171282505344,15500.212359359666,76.8283489624796
combined_s0_train_centre_frozen,48,6696.465018281549,10610.837123039852,34.463440104045006
combined_s0_train_centre_frozen,49,8024.216265121906,13013.975246113565,74.46720190959141
combined_s0_train_centre_frozen,50,10754.282773654246,17848.19608473633,106.90178350322614
combined_s0_train_centre_frozen,51,7979.313030985928,13310.27709450512,78.1367022548938
combined_s0_train_centre_frozen,52,9045.346179251712,15000.731626415189,73.02195026138573
combined_s0_train_centre_frozen,53,7818.741113743037,12912.80034969671,52.43715429999001
combined_s0_train_centre_frozen,54,7466.246920859574,12114.408189691498,43.738924046375125
combined_s0_train_centre_frozen,55,6274.613684486683,10031.10647174933,45.45260658944923
combined_s0_train_centre_frozen,56,9465.589344509854,15577.90223456189,79.18117923289441
combined_s0_train_centre_frozen,57,5733.821678843835,9313.352495337545,45.362961634917625
combined_s0_train_centre_frozen,58,6037.230135524588,9854.000145338705,46.09515754308656
combined_s0_train_centre_frozen,59,5294.03269705946,8719.67847304302,43.11017063332835
combined_s0_train_centre_frozen,60,6374.617747159729,10892.255964226739,60.640185538194025
combined_s0_train_centre_frozen,61,5648.407956519181,9273.074902140643,43.09937874185245
combined_s0_train_centre_frozen,62,8164.234666198915,13540.000316033149,48.80163416901575
combined_s0_train_centre_frozen,63,12146.883256840116,19518.054543022095,64.43698521679093
combined_s0_train_centre_frozen,64,6502.582281424934,10604.516323684591,58.08988613200269
combined_s0_train_centre_frozen,65,5676.1741570991135,9263.181302272276,47.007298590721845
combined_s0_train_centre_frozen,66,10185.16335025815,16150.652691463778,52.1656758283628
combined_s0_train_centre_frozen,67,10428.429980626855,17121.94426416597,64.75480270556719
combined_s0_train_centre_frozen,68,9028.08106961873,14966.476256502148,70.27589092128314
combined_s0_train_centre_frozen,69,7236.642971948795,11696.547740946198,55.63390333756383
combined_s0_train_centre_frozen,70,10771.573646555775,17458.538835577736,74.98286735811831
combined_s0_train_centre_frozen,71,10112.312983033049,16265.522709235987,72.03070945869894
combined_s0_train_centre_frozen,72,7556.193576050715,12745.342246324044,65.22213513311365
combined_s0_train_centre_frozen,73,6123.125111194582,10078.141155947964,44.50465535072099
combined_s0_train_centre_frozen,74,7608.610287682066,12267.56159085409,51.34381357243252
combined_s0_train_centre_frozen,75,8304.832749421174,13280.755433318078,56.187708353182884
combined_s0_train_centre_frozen,76,7795.541003541378,12658.875687315103,45.73255179289531
combined_s0_train_centre_frozen,77,7229.343999573701,12316.878569911858,56.6420408996018
combined_s0_train_centre_frozen,78,11039.436251421012,17913.625585743914,62.2006195203971
combined_s0_train_centre_frozen,79,6301.586002418334,10189.088269712727,58.64278630595295
combined_s0_train_centre_frozen,80,6399.574819089273,10402.689512212293,53.80146495690665
combined_s0_train_centre_frozen,81,7870.01290215891,12346.937613763892,53.10074687520041
combined_s0_train_centre_frozen,82,12924.102080279354,20599.252030027295,83.569300898187
combined_s0_train_centre_frozen,83,9679.143486509683,15707.353156663443,83.56802920122222
combined_s0_train_centre_frozen,84,6617.093947826343,10995.331798653295,56.61264518443817
combined_s0_train_centre_frozen,85,7674.810422359213,12670.338533445125,72.3554528098664
combined_s0_train_centre_frozen,86,12033.35743649392,19504.588517272667,104.66340282518057
combined_s0_train_centre_frozen,87,10387.396335620673,16794.158642366685,64.36416620022544
combined_s0_train_centre_frozen,88,6881.680541401264,11198.401880098389,60.61636830220429
combined_s0_train_centre_frozen,89,6127.147565026393,10092.480754853588,59.25723754184784
combined_s0_train_centre_frozen,90,9491.602644260525,15740.678529865714,73.15608456412922
combined_s0_train_centre_frozen,91,6644.218051866384,10480.66172165114,42.39515519859141
combined_s0_train_centre_frozen,92,11116.2311600841,18023.685287862103,92.55950209259606
combined_s0_train_centre_frozen,93,6826.317596050387,10999.012312920022,56.44730468588777
combined_s0_train_centre_frozen,94,9594.382375154086,15941.21919542919,63.12351331736666
combined_s0_train_centre_frozen,95,6347.438821826698,10329.592465976606,51.297596425166574
