method,seed,vector,t,test_probe_ce_centre_frozen,test_probe_ce_pointwise,train_probe_ce_centre_frozen,train_probe_ce_pointwise,train_probe_rise_centre_frozen,train_probe_rise_pointwise,test_probe_rise_centre_frozen,test_probe_rise_pointwise
gaussian_postrelu,0,top1,-0.001,1.0950768127441406,0.5719044952392578,0.8238392639160156,0.2846924438476562,0.5414047698974609,0.002257949829101491,0.5267158966064452,0.003543579101562444
gaussian_postrelu,0,top1,-0.0005,0.7241958923339844,0.5695750885009766,0.4294172210693359,0.2827681732177734,0.1469827270507812,0.00033367919921872824,0.15583497619628905,0.0012141723632812518
gaussian_postrelu,0,top1,0.0,0.5683609161376953,0.5683609161376953,0.2824344940185547,0.2824344940185547,0.0,0.0,0.0,0.0
gaussian_postrelu,0,top1,0.0005,0.8224464111328125,0.5684973602294922,0.5602986145019532,0.2838138885498046,0.2778641204833985,0.0013793945312499112,0.2540854949951171,0.00013644409179680572
gaussian_postrelu,0,top1,0.001,1.9809722900390625,0.569940673828125,1.6745021362304688,0.2871819610595703,1.3920676422119143,0.004747467041015585,1.4126113739013673,0.0015797576904296173
gaussian_postrelu,0,top1,0.002,6.715586181640625,0.5769921722412109,6.41017333984375,0.2998404541015625,6.127738845825196,0.01740596008300782,6.14722526550293,0.008631256103515561
gaussian_postrelu,0,top1,0.005,23.101814453125,0.6398100280761718,23.01198828125,0.3852711181640625,22.729553787231445,0.10283662414550782,22.533453536987306,0.07144911193847647
gaussian_postrelu,0,top1,0.01,47.92727734375,0.9086262817382812,47.96610546875,0.721496826171875,47.68367097473145,0.43906233215332036,47.35891642761231,0.34026536560058585
gaussian_postrelu,0,top1,0.02,125.7945546875,1.683342041015625,125.86335546875,1.582127685546875,125.58092097473144,1.2996931915283203,125.2261937713623,1.1149811248779296
gaussian_postrelu,0,top1,0.05,1442.779125,3.4617972412109377,1442.4733125,3.517611572265625,1442.1908780059814,3.2351770782470703,1442.2107640838624,2.8934363250732424
gaussian_postrelu,0,top1,0.1,39847.896,5.008537841796875,39882.256,5.37970849609375,39881.973565505985,5.097274002075196,39847.327639083866,4.44017692565918
gaussian_postrelu,0,top1,0.2,7937184.0,6.6946484375,7961954.304,7.71687841796875,7961954.021565505,7.434443923950195,7937183.431639084,6.126287521362304
