method,seed,split,amplitude,S_centre_frozen,S_pointwise,S_saved,ratio_pointwise_over_centre_frozen,ratio_saved_over_centre_frozen,delta_vs_plain_centre_frozen,relchange_vs_plain_centre_frozen,delta_vs_plain_pointwise,relchange_vs_plain_pointwise,delta_vs_plain_saved,relchange_vs_plain_saved,delta_sign_differs_cf_vs_pw
resolution_max_b1,0,test_probe,0.025,0.0206143737792968,0.0055870559692382,0.0204560073852539,0.27102719825762206,0.992317671361817,-0.009326689147949301,-0.3115016046895949,0.0006300727844238,0.12710811413563253,-0.0085051010131835,-0.29367318737159914,True
resolution_max_b1,0,test_probe,0.05,0.084939623260498,0.0216024124145507,0.0841158935546874,0.25432668035622324,0.9903021737771978,-0.042961652374267606,-0.3358969811759246,-0.00021482391357429895,-0.009846522737500234,-0.0398589241027832,-0.3215082292995116,False
resolution_max_b1,0,test_probe,0.1,0.3915441825866699,0.0901281364440917,0.3864473091125487,0.23018637602703107,0.9869826351640585,-0.19783499679565442,-0.3356667553186857,-0.0008358871459961947,-0.00918920594105381,-0.18702804412841806,-0.32613091926521093,False
resolution_max_b1,0,test_probe,0.2,2.0365607177734377,0.3909028099060059,2.005909959411621,0.19194262488445624,0.9849497448839498,-0.9702736618041992,-0.32268942659239225,0.008111615753173873,0.021190706257300303,-0.9330290557861329,-0.31747139051245393,True
resolution_max_b1,0,test_probe,0.25,3.392744651794434,0.6153166976928711,3.337556492614746,0.18136251349403146,0.9837334769209647,-1.5529515579223636,-0.31400059608822783,-0.0009847610473633361,-0.001597856103369056,-1.508371812438965,-0.3112658127578812,False
resolution_max_b1,0,test_probe,0.35,7.0192290069580086,1.1969159866333006,6.903779254150391,0.17051958063297606,0.9835523598541699,-2.967303408813475,-0.2971305038901477,-0.024231700134277112,-0.019843382087894136,-2.925915493774414,-0.2976608703329387,False
resolution_max_b1,0,test_probe,0.5,16.56538615722656,2.1754533691406253,16.310109033203126,0.1313252434016816,0.9845897269402277,-5.28590839233399,-0.24190367213004754,-0.04499221801757791,-0.020262697846678775,-5.26035456542969,-0.2438684055804486,False
resolution_max_b1,0,train_probe,0.005,0.0010059871673584,0.0003392314910888,0.0009901054382324,0.337212543157564,0.9842127915332126,-0.0005523979187011,-0.35446817583315166,-0.00019634876251220003,-0.3666094132336648,-0.0004393241882324,-0.3073422994029559,False
resolution_max_b1,0,train_probe,0.01,0.0040216632843017,0.0013799541473388,0.0039337116241455,0.34313020503863684,0.9781305261185059,-0.0020880493164062994,-0.3417590078073941,-0.0007046747207641998,-0.33803365747565883,-0.0018493085861206,-0.3197824871574339,False
resolution_max_b1,0,train_probe,0.02,0.0158161766052246,0.005481265258789,0.0155275699615478,0.3465607014642438,0.9817524392348107,-0.008288282585144,-0.3438485186365742,-0.0025856803894043004,-0.32052780595880154,-0.007797508239746101,-0.33429719602455843,False
