method,seed,probe,policy,G,P,lambda_top1_ordinary,lambda_top2_ordinary,lambda_min_ordinary,lambda_top1_relative,lambda_top2_relative,lambda_min_relative,grad_norm,loss,r_units_extreme_top1,r_units_extreme_min,r_units_random_mean_dHd,r_units_random_sd_dHd,r_units_random_sem_dHd,r_units_random_min_dHd,r_units_random_max_dHd,n_random_directions,n_random_dHd_negative,random_mean_over_extreme_top1,top1_quad_r1_f64_measured,min_quad_r1_f64_measured
resolution_max_b1_gaussian_conv,0,test_probe,saved,698,268336,1282.4118996984985,1021.980078636639,-6.028920376420922,2058.57312567461,1654.8060536000578,-9.628799917554527,4.4765630750116,0.5324288457632065,1436884.0417208776,-6720.90234245306,63.98918568446352,18.298934532614215,4.0917661530743725,41.01345274578901,122.02025603413398,20,0,4.4533298322269044e-05,1424440.519515589,-6676.572255698891
resolution_max_b1_gaussian_conv,0,train_probe,centre_frozen,698,268336,1219.0239036425764,922.6323459595832,-2.9483404174699115,1959.8753284798336,1489.049724023224,-4.720962740032198,2.193346602946737,0.3066259175539017,1367992.979278924,-3295.2319925424745,57.03817356956512,16.65926393866402,3.725124662196363,32.9705706453488,104.73105669596968,20,0,4.169478530484142e-05,1356248.820685295,-3269.1662882743312
resolution_max_b1_gaussian_conv,0,train_probe,saved,698,268336,1217.483530414775,913.7452255017784,-2.2841058990864336,1956.4135106598756,1474.894074527733,-3.6951679619433673,1.947953876913156,0.3066303730010986,1365576.6304405932,-2579.22723743647,57.157812123991036,16.277066748072187,3.639662772299085,32.524693501999735,103.65658227851358,20,0,4.1856173318922054e-05,1354087.5479639587,-2551.732325622871
resolution_max_b1_gaussian_conv,1,test_probe,centre_frozen,698,268336,1270.1529473483508,1023.0535714488454,-3.2328466603834314,2033.2295051175663,1648.4580338300514,-5.145782739562694,2.628073483061112,0.5520675480365753,1419194.1945720613,-3591.7563522147607,81.26891388330077,30.59541831805455,6.841343515921225,36.51729752301786,173.35439644108703,20,0,5.726412508881937e-05,1406878.1900643366,-3560.12852718322
resolution_max_b1_gaussian_conv,1,test_probe,saved,698,268336,1330.2759517222046,1040.3704007893143,-3.0335381918840083,2128.6652374852374,1671.532726589655,-4.830503404953285,2.632921866001586,0.5529105961322784,1485808.3357646957,-3371.691376657393,82.8662025265671,30.550961599431265,6.831402691431401,37.82434489560155,174.07129166900833,20,0,5.5771798106058305e-05,1472575.7146619705,-3337.4555581599416
resolution_max_b1_gaussian_conv,1,train_probe,centre_frozen,698,268336,1113.7207253895322,928.8763031011574,-2.2160420928529367,1783.8783597064478,1489.592153745277,-3.515854958950132,1.8791869029608768,0.2950891405344009,1245147.0950751007,-2454.066761347192,68.83369602363285,27.125524342007715,6.06545163540545,30.022626410058987,158.56727028413738,20,0,5.528157781188187e-05,1233679.9725440452,-2434.160708976489
resolution_max_b1_gaussian_conv,1,train_probe,saved,698,268336,1164.3456174446408,963.1839252045386,-3.110670711656764,1863.8687339609048,1540.5737525225236,-4.9279381819858985,2.19223569262443,0.2933417707681656,1300980.3763047114,-3439.700851026157,70.58008179674582,27.841174809740327,6.2254759448034145,30.705391635066437,162.7314520274959,20,0,5.4251457656279647e-05,1288510.9451486138,-3413.587729511559
resolution_max_b1_gaussian_conv,2,test_probe,centre_frozen,698,268336,1322.5836227898296,1175.405251290246,-4.235448196570314,2148.843265270672,1892.8953630227943,-6.846196706949457,3.1795988695754085,0.5407951027154922,1499892.599158929,-4778.6453014507215,77.17669528915538,20.53960448902018,4.592795186840895,50.98102024836978,125.28149105920976,20,0,5.1454814386331747e-05,1486800.095298285,-4731.219251303637
resolution_max_b1_gaussian_conv,2,test_probe,saved,698,268336,1346.7399413612202,1177.309486639655,-5.601275055245134,2188.7543042919333,1896.9699583740792,-8.95761646933787,3.8082212798808457,0.5439988225698471,1527750.5043957694,-6252.416295597833,77.43490418201932,20.183118713308566,4.513082544090604,51.72953322998491,124.70852283872028,20,0,5.068556937747181e-05,1514481.2663155275,-6186.045670434833
resolution_max_b1_gaussian_conv,2,train_probe,centre_frozen,698,268336,1152.9011684792956,950.9020101176404,-3.019436067818948,1871.1465656690173,1542.1187356089447,-4.835150184802208,2.3139718723635463,0.2925716638565063,1306060.3028369742,-3374.9348289919412,68.23469808764722,19.596305084759987,4.381867027734811,42.52637353219279,118.46715708421124,20,0,5.2244676558525224e-05,1294527.1686649227,-3345.72601722961
