seed,probe,method,quantity,n_shared_draws,diff_vs_plain,diff_mc_sem,diff_z,diff_resolved_2sem,ratio_to_plain,ratio_mc_sem,unpaired_sem_would_be
2,test_probe,gaussian_postrelu,lambda_top1_relative,,-3244.8153462611704,,,,0.4229791362089014,,
2,test_probe,gaussian_postrelu,quadform_20dir_mean,,-45.15708001584247,6.191811904884741,,,0.7034623912850796,,
2,test_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,,-2146.303638948356,,,,0.38127028150436665,,
2,test_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,,-3474.550185257843,,,,0.3821257189586677,,
2,test_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,,-75.10442753885904,4.592795186840895,,,0.5068040861264096,,
2,train_probe,resolution_max_b1,trace_ordinary,128.0,-5137.470664937035,512.7845494498694,-10.018770398696036,True,0.6531229205057059,0.026518556528766873,571.212286875167
2,train_probe,resolution_max_b1,trace_relative,128.0,-8380.05365560941,822.1619717319403,-10.192704045841788,True,0.6515081519437774,0.026105395452600974,913.1433243530788
2,train_probe,resolution_max_b1,trace_covariance,128.0,-34.64222107127229,3.3926320975118944,-10.211016130124564,True,0.6722852451798521,0.024741228761131096,3.8842664528398947
2,train_probe,gaussian_postrelu,trace_ordinary,128.0,-4664.370497818052,550.5637441075443,-8.47198993347978,True,0.6850661888923306,0.029636116168100284,579.939352824469
2,train_probe,gaussian_postrelu,trace_relative,128.0,-6976.4615417446275,879.6113723400786,-7.931299845731601,True,0.7098777555023967,0.029740673189037878,933.100395943106
2,train_probe,gaussian_postrelu,trace_covariance,128.0,-11.021314087605177,3.8627783260254667,-2.8532090524970277,True,0.895738577599155,0.03451457785577856,4.437579632722604
2,train_probe,resolution_max_b1_gaussian_conv,trace_ordinary,128.0,-6198.011094995183,505.81682501659157,-12.253469612822546,True,0.5815162504034442,0.023272688574991453,537.3375232736722
2,train_probe,resolution_max_b1_gaussian_conv,trace_relative,128.0,-9896.188927236894,815.565881857097,-12.134137961610927,True,0.5884583429059783,0.023410644421474395,865.3379152683463
2,train_probe,resolution_max_b1_gaussian_conv,trace_covariance,128.0,-39.380912947520144,3.5857423809185276,-10.98263867395635,True,0.627457309834777,0.024897391172499915,3.7798308627277533
2,train_probe,resolution_max_b1,lambda_top1_ordinary,,-1211.4842296333004,,,,0.5173867577184017,,
2,train_probe,resolution_max_b1,lambda_top1_relative,,-1985.783987942321,,,,0.5112917642797267,,
2,train_probe,resolution_max_b1,quadform_20dir_mean,,-39.306360809750444,5.750053705396448,,,0.6403666081153805,,
2,train_probe,gaussian_postrelu,lambda_top1_ordinary,,-1343.5828782854437,,,,0.4647632438767684,,
2,train_probe,gaussian_postrelu,lambda_top1_relative,,-2152.206326422178,,,,0.4703346572042437,,
2,train_probe,gaussian_postrelu,quadform_20dir_mean,,-21.96705055553528,4.46463929428158,,,0.7990125583178295,,
2,train_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,,-1357.3578204906255,,,,0.45927578530547797,,
2,train_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,,-2192.18579257457,,,,0.4604955737555856,,
2,train_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,,-41.06093934960451,4.381867027734811,,,0.6243130987439621,,
3,test_probe,resolution_max_b1,trace_ordinary,128.0,-11800.498674493116,771.3107978647885,-15.29927845838579,True,0.49149523912671506,0.01911367882155697,871.4146282385418
3,test_probe,resolution_max_b1,trace_relative,128.0,-18701.333297210644,1234.5511296144152,-15.148285760389358,True,0.49474104238934596,0.019258292105949506,1388.0267229462477
3,test_probe,resolution_max_b1,trace_covariance,128.0,-66.66645070002856,4.991911021985125,-13.354895631436442,True,0.5693329680155659,0.021950612377150684,5.581618155073065
3,test_probe,gaussian_postrelu,trace_ordinary,128.0,-12502.01333740697,819.0093725281027,-15.264798861600314,True,0.46126570766757663,0.019405519273486663,854.6267753787024
3,test_probe,gaussian_postrelu,trace_relative,128.0,-18808.031938143606,1302.352293170389,-14.44158545792411,True,0.491858336475308,0.020174167983112844,1365.3746485825545
3,test_probe,gaussian_postrelu,trace_covariance,128.0,-33.236332894548596,6.243687890672595,-5.3231893516330535,True,0.7852924118287322,0.035748339668221656,6.516265323987238
3,test_probe,resolution_max_b1_gaussian_conv,trace_ordinary,128.0,-14458.940214508388,759.3309839074014,-19.04168343046518,True,0.37693820074298423,0.01551088216453285,856.6405084995121
3,test_probe,resolution_max_b1_gaussian_conv,trace_relative,128.0,-22533.868275855057,1208.1964283089596,-18.65083172559479,True,0.39119641284119117,0.01596720520464134,1371.8360923379037
3,test_probe,resolution_max_b1_gaussian_conv,trace_covariance,128.0,-76.88671773504632,4.6600815308350345,-16.499006986529928,True,0.5033097730825625,0.01933225040717295,5.634185801954198
3,test_probe,resolution_max_b1,lambda_top1_ordinary,,-1861.3565577427296,,,,0.4740514748777891,,
3,test_probe,resolution_max_b1,lambda_top1_relative,,-2992.077588801418,,,,0.4723090013358346,,
3,test_probe,resolution_max_b1,quadform_20dir_mean,,-67.39377163347423,5.2258905724786295,,,0.5679144678472706,,
3,test_probe,gaussian_postrelu,lambda_top1_ordinary,,-2107.7594336517323,,,,0.40442739955963974,,
3,test_probe,gaussian_postrelu,lambda_top1_relative,,-3333.237903152338,,,,0.41214103388130957,,
3,test_probe,gaussian_postrelu,quadform_20dir_mean,,-17.66437781539085,10.384908017105346,,,0.8867473669522455,,
3,test_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,,-2388.3203830091134,,,,0.3251515526470261,,
3,test_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,,-3792.860925717914,,,,0.3310806587445041,,
3,test_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,,-76.3586378176123,5.727878753792465,,,0.5104375099331463,,
3,train_probe,resolution_max_b1,trace_ordinary,128.0,-5678.307965234372,535.5555909594402,-10.60264902670844,True,0.6285770702008855,0.025242825039807005,605.7487770218091
3,train_probe,resolution_max_b1,trace_relative,128.0,-8928.037222463123,852.4230320022152,-10.47371655537332,True,0.6333679785930884,0.025310424673070226,960.9431817726521
3,train_probe,resolution_max_b1,trace_covariance,128.0,-26.586823607166295,3.4384159640108316,-7.732288322717473,True,0.7381768077010348,0.028242140269820658,3.9555097836346573
3,train_probe,gaussian_postrelu,trace_ordinary,128.0,-6679.356134422547,550.5801774280719,-12.131486762970397,True,0.5630976622247166,0.023556102852311002,582.5459163918889
3,train_probe,gaussian_postrelu,trace_relative,128.0,-9697.617226261566,874.3666379311802,-11.091019265335747,True,0.6017649884401062,0.02455375251783459,928.9331283405952
3,train_probe,gaussian_postrelu,trace_covariance,128.0,-3.556515464587243,4.5296636773234455,-0.7851610446029338,False,0.9649759502617725,0.04390834951296678,4.707115635897074
3,train_probe,resolution_max_b1_gaussian_conv,trace_ordinary,128.0,-7475.054224131178,509.2031822548514,-14.67990477009624,True,0.5110503767437959,0.020701422895341364,593.8301512446736
3,train_probe,resolution_max_b1_gaussian_conv,trace_relative,128.0,-11425.19917836292,807.1709124050716,-14.154622029577405,True,0.5308214151257606,0.02123866194600568,950.6844335700366
3,train_probe,resolution_max_b1_gaussian_conv,trace_covariance,128.0,-31.888681409646885,3.140843008180904,-10.152905231680458,True,0.6859648791355447,0.0253069724797812,4.064352463100282
3,train_probe,resolution_max_b1,lambda_top1_ordinary,,-1103.4401599017642,,,,0.5543546943726808,,
3,train_probe,resolution_max_b1,lambda_top1_relative,,-1729.1306508734879,,,,0.5606291122524205,,
3,train_probe,resolution_max_b1,quadform_20dir_mean,,-28.16996348392398,4.696055911331806,,,0.726035144867965,,
3,train_probe,gaussian_postrelu,lambda_top1_ordinary,,-1334.0953722386473,,,,0.46120019779757376,,
3,train_probe,gaussian_postrelu,lambda_top1_relative,,-2073.768005155992,,,,0.4730570018247973,,
3,train_probe,gaussian_postrelu,quadform_20dir_mean,,8.55586380792613,8.933984468781444,,,1.0832094081345038,,
3,train_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,,-1446.1055007499892,,,,0.4159627759891848,,
3,train_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,,-2251.5119185149524,,,,0.4278923978865094,,
3,train_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,,-32.04776067737262,5.219121530755546,,,0.6883219207474991,,
4,test_probe,resolution_max_b1,trace_ordinary,128.0,-9638.568062057308,665.7046566307362,-14.478745140284913,True,0.5520399321951877,0.020439488413117653,845.8204315380167
4,test_probe,resolution_max_b1,trace_relative,128.0,-15562.548046334061,1060.972368333003,-14.668193546629206,True,0.5514911912875962,0.020307350590768002,1342.3377859543307
4,test_probe,resolution_max_b1,trace_covariance,128.0,-61.71622164349832,4.286534866481083,-14.397695006774228,True,0.5819396197282507,0.02193918113054263,5.7741165774279155
4,test_probe,gaussian_postrelu,trace_ordinary,128.0,-9265.168875901418,726.8438967363882,-12.747123443566192,True,0.5693939544598756,0.02253935718751408,828.6569425650997
4,test_probe,gaussian_postrelu,trace_relative,128.0,-13805.975277032407,1155.4333711636432,-11.948742023201506,True,0.6021151866532983,0.023329309783995687,1331.7005939578535
4,test_probe,gaussian_postrelu,trace_covariance,128.0,-19.80754322657051,6.272058727872158,-3.1580608674068276,True,0.8658254048444078,0.040696410204475016,7.41964311120414
4,test_probe,resolution_max_b1_gaussian_conv,trace_ordinary,128.0,-11463.193949571483,738.7667566796771,-15.516661850205349,True,0.46723900211649255,0.019152889479943726,790.2898078317007
4,test_probe,resolution_max_b1_gaussian_conv,trace_relative,128.0,-18288.274702491923,1168.6695135703524,-15.648799331318394,True,0.47293641916485357,0.019104089752722563,1257.730815341197
4,test_probe,resolution_max_b1_gaussian_conv,trace_covariance,128.0,-73.62657815349951,4.578780553384749,-16.079953449411963,True,0.5012598885466228,0.01827085889063077,5.061315425434978
4,test_probe,resolution_max_b1,lambda_top1_ordinary,,-1507.1024456393739,,,,0.5410195051243858,,
4,test_probe,resolution_max_b1,lambda_top1_relative,,-2406.0251459486153,,,,0.543181449931068,,
4,test_probe,resolution_max_b1,quadform_20dir_mean,,-61.04910770734601,6.538892123026905,,,0.5793235691997576,,
