problem,method,seed,probe,policy,coords,vector,radial_fraction_ordinary_metric,radial_fraction_r_metric,radial_fraction_bn_followed_r_metric,fc_share_r_metric,random_direction_expected_radial_fraction_r_metric,random_direction_expected_radial_fraction_ordinary_metric
resolution_s0_train_centre_frozen_rel,resolution_max_b1,0,train_probe,centre_frozen,relative,min,0.005996300550809597,0.0058798759470540946,0.005829355030732097,0.0025530141237536065,0.004256539849304894,0.004567041184895761
resolution_s0_test_saved_ord,resolution_max_b1,0,test_probe,saved,ordinary,top1,0.007102181351599253,0.007073092036712534,0.007034842561639658,0.0008990505700773141,0.004256539849304894,0.004567041184895761
resolution_s0_test_saved_ord,resolution_max_b1,0,test_probe,saved,ordinary,top2,0.006192579408029904,0.006130656055887765,0.0060524904363801766,0.0015421504788071289,0.004256539849304894,0.004567041184895761
resolution_s0_test_saved_ord,resolution_max_b1,0,test_probe,saved,ordinary,min,0.007311240848124115,0.007447392198319176,0.007424100910564666,0.0004867745141670076,0.004256539849304894,0.004567041184895761
resolution_s0_test_saved_rel,resolution_max_b1,0,test_probe,saved,relative,top1,0.00725646965336987,0.00717165206894612,0.007048595084753277,0.0029002715296286433,0.004256539849304894,0.004567041184895761
resolution_s0_test_saved_rel,resolution_max_b1,0,test_probe,saved,relative,top2,0.006531482213986298,0.0063249915237981605,0.006061952064151823,0.005193681646571801,0.004256539849304894,0.004567041184895761
resolution_s0_test_saved_rel,resolution_max_b1,0,test_probe,saved,relative,min,0.007110111697874937,0.007183588469206107,0.007110770029282192,0.0016689425297404714,0.004256539849304894,0.004567041184895761
resolution_s0_test_centre_frozen_ord,resolution_max_b1,0,test_probe,centre_frozen,ordinary,top1,0.007128502806461553,0.007093665666289949,0.007053339285055329,0.0009152023658566789,0.004256539849304894,0.004567041184895761
resolution_s0_test_centre_frozen_ord,resolution_max_b1,0,test_probe,centre_frozen,ordinary,top2,0.0061808994626822164,0.0061364217074764095,0.006059224000952543,0.0015648232838233473,0.004256539849304894,0.004567041184895761
resolution_s0_test_centre_frozen_ord,resolution_max_b1,0,test_probe,centre_frozen,ordinary,min,0.0064459793247924,0.006537321364118503,0.006500466903330292,0.0005873366345090338,0.004256539849304894,0.004567041184895761
resolution_s0_test_centre_frozen_rel,resolution_max_b1,0,test_probe,centre_frozen,relative,top1,0.007299717020664996,0.007205474326203099,0.0070768216394023215,0.002943245075020166,0.004256539849304894,0.004567041184895761
resolution_s0_test_centre_frozen_rel,resolution_max_b1,0,test_probe,centre_frozen,relative,top2,0.006480123509433616,0.006311730929257409,0.0060675285761807255,0.005042934782468736,0.004256539849304894,0.004567041184895761
resolution_s0_test_centre_frozen_rel,resolution_max_b1,0,test_probe,centre_frozen,relative,min,0.006364939404272381,0.006343730817084514,0.006226330668681553,0.0019502642972491393,0.004256539849304894,0.004567041184895761
resolution_s1_train_saved_ord,resolution_max_b1,1,train_probe,saved,ordinary,top1,0.007653816354944918,0.007592704885831606,0.0075396164182932645,0.0010709151935947465,0.004256539849304894,0.004514150103926055
resolution_s1_train_saved_ord,resolution_max_b1,1,train_probe,saved,ordinary,top2,0.008118793107496408,0.008109607970199778,0.008064469741386129,0.0009354326996251161,0.004256539849304894,0.004514150103926055
resolution_s1_train_saved_ord,resolution_max_b1,1,train_probe,saved,ordinary,min,0.004288894368745835,0.004270912844544525,0.004233491746942723,0.001330659590431264,0.004256539849304894,0.004514150103926055
resolution_s1_train_saved_rel,resolution_max_b1,1,train_probe,saved,relative,top1,0.007937198886202727,0.007779262989814161,0.007614372189961555,0.00337498595156624,0.004256539849304894,0.004514150103926055
resolution_s1_train_saved_rel,resolution_max_b1,1,train_probe,saved,relative,top2,0.008282174704462814,0.008196992835092691,0.008049721612569194,0.0030551130607527903,0.004256539849304894,0.004514150103926055
resolution_s1_train_saved_rel,resolution_max_b1,1,train_probe,saved,relative,min,0.004696080104278306,0.004537463843879164,0.004405019379178955,0.004284579865853943,0.004256539849304894,0.004514150103926055
resolution_s1_train_centre_frozen_ord,resolution_max_b1,1,train_probe,centre_frozen,ordinary,top1,0.007241965941692124,0.0071721507924711195,0.007112728374929666,0.0011766264437407935,0.004256539849304894,0.004514150103926055
resolution_s1_train_centre_frozen_ord,resolution_max_b1,1,train_probe,centre_frozen,ordinary,top2,0.00864697297389551,0.008635428131443863,0.008598571642616114,0.0008284663480536309,0.004256539849304894,0.004514150103926055
resolution_s1_train_centre_frozen_ord,resolution_max_b1,1,train_probe,centre_frozen,ordinary,min,0.004211321078957348,0.004195720262279006,0.004154663268364603,0.001488417569961611,0.004256539849304894,0.004514150103926055
resolution_s1_train_centre_frozen_rel,resolution_max_b1,1,train_probe,centre_frozen,relative,top1,0.007532122202174124,0.0073607005504491355,0.007190429009183843,0.0034452148594811124,0.004256539849304894,0.004514150103926055
resolution_s1_train_centre_frozen_rel,resolution_max_b1,1,train_probe,centre_frozen,relative,top2,0.008825882851731215,0.008750094424198227,0.008616907970802017,0.0030060861849826185,0.004256539849304894,0.004514150103926055
resolution_s1_train_centre_frozen_rel,resolution_max_b1,1,train_probe,centre_frozen,relative,min,0.004415528452624135,0.004344233411978126,0.004232543180642048,0.004480909235486648,0.004256539849304894,0.004514150103926055
resolution_s1_test_saved_ord,resolution_max_b1,1,test_probe,saved,ordinary,top1,0.00827542019647586,0.008284295330235102,0.008243397412421642,0.0008749523083475038,0.004256539849304894,0.004514150103926055
resolution_s1_test_saved_ord,resolution_max_b1,1,test_probe,saved,ordinary,top2,0.007410837976241645,0.007340384205700484,0.007288194243791925,0.0010939497060738384,0.004256539849304894,0.004514150103926055
resolution_s1_test_saved_ord,resolution_max_b1,1,test_probe,saved,ordinary,min,0.004725710948301423,0.004614798360627216,0.004493182367583977,0.0016134314079927618,0.004256539849304894,0.004514150103926055
resolution_s1_test_saved_rel,resolution_max_b1,1,test_probe,saved,relative,top1,0.008424594021784837,0.008365926939173426,0.008230872496431105,0.002899754272571072,0.004256539849304894,0.004514150103926055
resolution_s1_test_saved_rel,resolution_max_b1,1,test_probe,saved,relative,top2,0.007683795561414337,0.007506819742785223,0.007351083154306954,0.003340557241676152,0.004256539849304894,0.004514150103926055
resolution_s1_test_saved_rel,resolution_max_b1,1,test_probe,saved,relative,min,0.005492989025558534,0.005138314252315053,0.004707442246299409,0.005801242260189886,0.004256539849304894,0.004514150103926055
resolution_s1_test_centre_frozen_ord,resolution_max_b1,1,test_probe,centre_frozen,ordinary,top1,0.007272113150834076,0.007212803348407558,0.007156503189969477,0.0011475607818134306,0.004256539849304894,0.004514150103926055
resolution_s1_test_centre_frozen_ord,resolution_max_b1,1,test_probe,centre_frozen,ordinary,top2,0.008602383457244652,0.008594758124554498,0.008558774669138833,0.0008139506588945728,0.004256539849304894,0.004514150103926055
resolution_s1_test_centre_frozen_ord,resolution_max_b1,1,test_probe,centre_frozen,ordinary,min,0.0047449950060727145,0.004617013566189652,0.004561663635016656,0.001144945056177258,0.004256539849304894,0.004514150103926055
resolution_s1_test_centre_frozen_rel,resolution_max_b1,1,test_probe,centre_frozen,relative,top1,0.007538386779596116,0.007366748895062908,0.007207941931626506,0.003289402181373963,0.004256539849304894,0.004514150103926055
resolution_s1_test_centre_frozen_rel,resolution_max_b1,1,test_probe,centre_frozen,relative,top2,0.008772012902838487,0.008710003241621675,0.008584820851873568,0.002914973504880868,0.004256539849304894,0.004514150103926055
resolution_s1_test_centre_frozen_rel,resolution_max_b1,1,test_probe,centre_frozen,relative,min,0.005256683674018467,0.004975992153337555,0.0047904225912940995,0.0034895146821172047,0.004256539849304894,0.004514150103926055
resolution_s2_train_saved_ord,resolution_max_b1,2,train_probe,saved,ordinary,top1,0.00784487447607638,0.007723261606037543,0.007679499306090659,0.0009600238393320792,0.004256539849304894,0.004641726961994496
resolution_s2_train_saved_ord,resolution_max_b1,2,train_probe,saved,ordinary,top2,0.006822234073580079,0.00657346002616514,0.006476158633506454,0.0016207103443651547,0.004256539849304894,0.004641726961994496
resolution_s2_train_saved_ord,resolution_max_b1,2,train_probe,saved,ordinary,min,0.004109071278884219,0.004034166763963296,0.003983895156875468,0.000982166407527903,0.004256539849304894,0.004641726961994496
resolution_s2_train_saved_rel,resolution_max_b1,2,train_probe,saved,relative,top1,0.008387830405211615,0.008160864782082089,0.00802668938858594,0.003088261818760044,0.004256539849304894,0.004641726961994496
resolution_s2_train_saved_rel,resolution_max_b1,2,train_probe,saved,relative,top2,0.007364879676790882,0.007012455506729584,0.0067809264372774925,0.004294638368160931,0.004256539849304894,0.004641726961994496
resolution_s2_train_saved_rel,resolution_max_b1,2,train_probe,saved,relative,min,0.004422251463465349,0.004204950038186893,0.004024313222240106,0.00303291527041578,0.004256539849304894,0.004641726961994496
resolution_s2_train_centre_frozen_ord,resolution_max_b1,2,train_probe,centre_frozen,ordinary,top1,0.0076633405312210795,0.007554124457257197,0.007505736736458141,0.0010211813628368573,0.004256539849304894,0.004641726961994496
resolution_s2_train_centre_frozen_ord,resolution_max_b1,2,train_probe,centre_frozen,ordinary,top2,0.007064043949630392,0.006812617428001011,0.006719498748627223,0.0015715149307910243,0.004256539849304894,0.004641726961994496
resolution_s2_train_centre_frozen_ord,resolution_max_b1,2,train_probe,centre_frozen,ordinary,min,0.0038454548941948153,0.0037469065842522962,0.003671123518855233,0.0015222820711110548,0.004256539849304894,0.004641726961994496
resolution_s2_train_centre_frozen_rel,resolution_max_b1,2,train_probe,centre_frozen,relative,top1,0.008154625411988883,0.00794787011963186,0.0078080001364032574,0.003125905907162206,0.004256539849304894,0.004641726961994496
resolution_s2_train_centre_frozen_rel,resolution_max_b1,2,train_probe,centre_frozen,relative,top2,0.007637582696203478,0.007275144791744203,0.007047485106153704,0.004327523552249,0.004256539849304894,0.004641726961994496
resolution_s2_train_centre_frozen_rel,resolution_max_b1,2,train_probe,centre_frozen,relative,min,0.0042690721709555636,0.00402709580352501,0.003785802497401467,0.004612003979432031,0.004256539849304894,0.004641726961994496
resolution_s2_test_saved_ord,resolution_max_b1,2,test_probe,saved,ordinary,top1,0.006610854424563955,0.006507712545004401,0.00646319787417438,0.0010612867724623025,0.004256539849304894,0.004641726961994496
resolution_s2_test_saved_ord,resolution_max_b1,2,test_probe,saved,ordinary,top2,0.0075139306900811505,0.007239074394209797,0.007188055050035348,0.001049111694842235,0.004256539849304894,0.004641726961994496
resolution_s2_test_saved_ord,resolution_max_b1,2,test_probe,saved,ordinary,min,0.003686264705704295,0.0036648404455322968,0.0036486836953817155,0.000804349517243837,0.004256539849304894,0.004641726961994496
resolution_s2_test_saved_rel,resolution_max_b1,2,test_probe,saved,relative,top1,0.007015715553062002,0.006827945624108395,0.006698636095890297,0.003187353412315085,0.004256539849304894,0.004641726961994496
resolution_s2_test_saved_rel,resolution_max_b1,2,test_probe,saved,relative,top2,0.00822012948100159,0.007820167055973134,0.0076398353883448695,0.0037366844400335917,0.004256539849304894,0.004641726961994496
