policy,split,method,amplitude,mean_delta,sd_delta,n_seeds,n_seeds_below_plain
recalibrated,test_probe,resolution_max_b1_gaussian_conv,0.5,-0.26400154296875017,0.12329304332589756,5,5
saved,train_probe,resolution_max_b1,0.005,-0.00058071712493896,0.0002623702871585831,5,5
saved,train_probe,resolution_max_b1,0.01,-0.00223558528900148,0.0008071188277132638,5,5
saved,train_probe,resolution_max_b1,0.02,-0.00892502986907958,0.0024647932733125083,5,5
saved,train_probe,resolution_max_b1,0.025,-0.014055639495849597,0.0035416029442743744,5,5
saved,train_probe,resolution_max_b1,0.05,-0.05997340679168704,0.011375132605113147,5,5
saved,train_probe,resolution_max_b1,0.1,-0.268175668258667,0.040460208446997596,5,5
saved,train_probe,resolution_max_b1,0.2,-1.0575729684448247,0.15357442326720713,5,5
saved,train_probe,resolution_max_b1,0.25,-1.470098885803223,0.24699844428790055,5,5
saved,train_probe,resolution_max_b1,0.35,-2.106277615356446,0.7155323085170106,5,5
saved,train_probe,resolution_max_b1,0.5,-3.185454579467774,1.990376290562182,5,5
saved,train_probe,gaussian_postrelu,0.005,-0.00022985507965085994,0.00024712083243894046,5,4
saved,train_probe,gaussian_postrelu,0.01,-0.0006659327316284401,0.0008660312364043527,5,4
saved,train_probe,gaussian_postrelu,0.02,-0.0020181475448608197,0.0034047586912508954,5,3
saved,train_probe,gaussian_postrelu,0.025,-0.0027002224349975804,0.005432774823741938,5,3
saved,train_probe,gaussian_postrelu,0.05,-0.004304347496032729,0.024982331481077116,5,3
saved,train_probe,gaussian_postrelu,0.1,-0.024414371643066368,0.10774593705655422,5,2
saved,train_probe,gaussian_postrelu,0.2,-0.4623636242675784,0.3481945248256402,5,5
saved,train_probe,gaussian_postrelu,0.25,-0.8969434378051764,0.40591716910731446,5,5
saved,train_probe,gaussian_postrelu,0.35,-1.9323958584594727,0.4461973560680746,5,5
saved,train_probe,gaussian_postrelu,0.5,-4.298778645935059,1.352748573173929,5,5
saved,train_probe,resolution_max_b1_gaussian_conv,0.005,-0.00065492679595946,0.0002591518224509968,5,5
saved,train_probe,resolution_max_b1_gaussian_conv,0.01,-0.0025856811904907398,0.0007939824338769746,5,5
saved,train_probe,resolution_max_b1_gaussian_conv,0.02,-0.010425568275451661,0.0022809453106514333,5,5
saved,train_probe,resolution_max_b1_gaussian_conv,0.025,-0.01642867767333986,0.0031556384415924055,5,5
saved,train_probe,resolution_max_b1_gaussian_conv,0.05,-0.0699087376022339,0.009204550208649683,5,5
saved,train_probe,resolution_max_b1_gaussian_conv,0.1,-0.31227576095581056,0.03444568100648402,5,5
saved,train_probe,resolution_max_b1_gaussian_conv,0.2,-1.240911994171143,0.2145070943154246,5,5
saved,train_probe,resolution_max_b1_gaussian_conv,0.25,-1.7633243170166015,0.3789647261679517,5,5
saved,train_probe,resolution_max_b1_gaussian_conv,0.35,-2.7117334545898446,0.9568126436927494,5,5
saved,train_probe,resolution_max_b1_gaussian_conv,0.5,-4.6299905352783215,2.4540453719954876,5,5
saved,test_probe,resolution_max_b1,0.005,-0.00037385665893554,0.00019566130738213862,5,5
saved,test_probe,resolution_max_b1,0.01,-0.00163719390869142,0.0006793981448660539,5,5
saved,test_probe,resolution_max_b1,0.02,-0.00714035720825196,0.0019115278184146487,5,5
saved,test_probe,resolution_max_b1,0.025,-0.01145770019531248,0.002637079111216075,5,5
saved,test_probe,resolution_max_b1,0.05,-0.048263944549560525,0.008700085805336592,5,5
saved,test_probe,resolution_max_b1,0.1,-0.21224170700073253,0.04101722558632044,5,5
saved,test_probe,resolution_max_b1,0.2,-0.8749253079223631,0.15103088037131446,5,5
saved,test_probe,resolution_max_b1,0.25,-1.2429372933959961,0.21364734127360477,5,5
saved,test_probe,resolution_max_b1,0.35,-1.8525768054199214,0.6551984624294177,5,5
saved,test_probe,resolution_max_b1,0.5,-2.9371307629394523,1.9424334120445654,5,5
saved,test_probe,gaussian_postrelu,0.005,-0.00011205192565916002,0.0001993626327972607,5,4
saved,test_probe,gaussian_postrelu,0.01,-0.0006205134582519401,0.0008206406919531693,5,4
saved,test_probe,gaussian_postrelu,0.02,-0.00236122306823732,0.003128445054117166,5,4
saved,test_probe,gaussian_postrelu,0.025,-0.0032865566253661785,0.005100957057133116,5,4
saved,test_probe,gaussian_postrelu,0.05,-0.002573032531738259,0.024717629254024442,5,3
saved,test_probe,gaussian_postrelu,0.1,0.009706398010253903,0.10905420053546898,5,2
saved,test_probe,gaussian_postrelu,0.2,-0.3098649154663084,0.365335467176987,5,4
saved,test_probe,gaussian_postrelu,0.25,-0.6979126647949215,0.4140446044850843,5,5
saved,test_probe,gaussian_postrelu,0.35,-1.6948784857177734,0.4016617440500239,5,5
saved,test_probe,gaussian_postrelu,0.5,-4.014744534301758,1.3013165881002797,5,5
saved,test_probe,resolution_max_b1_gaussian_conv,0.005,-0.0004615402984619,0.00018060419593613608,5,5
saved,test_probe,resolution_max_b1_gaussian_conv,0.01,-0.00202331283569336,0.0006984785946615438,5,5
saved,test_probe,resolution_max_b1_gaussian_conv,0.02,-0.008601452178955079,0.002242385018814683,5,5
saved,test_probe,resolution_max_b1_gaussian_conv,0.025,-0.01368207443237306,0.003150544283381803,5,5
saved,test_probe,resolution_max_b1_gaussian_conv,0.05,-0.05659840209960938,0.00968783775843629,5,5
saved,test_probe,resolution_max_b1_gaussian_conv,0.1,-0.2445999482727051,0.045932545971881907,5,5
saved,test_probe,resolution_max_b1_gaussian_conv,0.2,-1.035916214904785,0.20808844982752844,5,5
saved,test_probe,resolution_max_b1_gaussian_conv,0.25,-1.509822388000488,0.3362579689411408,5,5
saved,test_probe,resolution_max_b1_gaussian_conv,0.35,-2.427013253784179,0.8934775793536432,5,5
saved,test_probe,resolution_max_b1_gaussian_conv,0.5,-4.320460350341797,2.4213696371526785,5,5
