campaign,policy,split,contrast,arm_a,arm_b,n_pairs,seeds,acc_diff_seed0_pp,acc_diff_seed1_pp,acc_diff_seed2_pp,acc_diff_mean_pp,acc_diff_sd_pp,acc_n_positive,acc_n_negative,acc_n_zero,ce_diff_seed0,ce_diff_seed1,ce_diff_seed2,ce_diff_mean,ce_diff_sd,ce_n_lower,ce_n_higher
historical_sgd_30,P2,test,CBS-bm - CBS-pub,cbs_budget_matched,cbs_published_schedule,3,"0,1,2",0.7199999999999984,0.34999999999999476,1.089999999999991,0.7199999999999948,0.36999999999999805,3,0,0,0.01166966552734372,0.024518017578124995,0.0094403503417968,0.015209344482421838,0.008138243523705123,0,3
historical_sgd_30,P2,train,R - Plain,resolution_max_b1,plain,3,"0,1,2",-3.4320000000000017,-3.9139999999999953,-4.310000000000002,-3.885333333333333,0.4397014138404986,0,3,0,0.08584437667846681,0.09499666061401368,0.10694724243164064,0.09592942657470704,0.01058230953063604,0,3
historical_sgd_30,P2,train,G - Plain,gaussian_postrelu,plain,3,"0,1,2",-2.1299999999999986,-2.956000000000003,-3.4599999999999964,-2.8486666666666665,0.6714650648643848,0,3,0,0.05209142868041991,0.07368871612548827,0.08569412139892577,0.07049142206827798,0.017027984509324225,0,3
historical_sgd_30,P2,train,RG - Plain,resolution_max_b1_gaussian_conv,plain,3,"0,1,2",-3.735999999999995,-4.613999999999995,-5.110000000000003,-4.486666666666665,0.6957940308261766,0,3,0,0.0927782908630371,0.11078738540649413,0.1267556329345703,0.11010710306803384,0.016998883245863846,0,3
historical_sgd_30,P2,train,CBS-pub - Plain,cbs_published_schedule,plain,3,"0,1,2",-6.089999999999995,-6.537999999999999,-7.050000000000001,-6.559333333333332,0.48035542396577124,0,3,0,0.15541180770874027,0.1640665251159668,0.1776169152832031,0.16569841603597005,0.011192140169755659,0,3
historical_sgd_30,P2,train,CBS-bm - Plain,cbs_budget_matched,plain,3,"0,1,2",0.9619999999999962,0.34600000000000186,0.06800000000000139,0.4586666666666665,0.4575252269911798,3,0,0,-0.022487345733642555,-0.009321192321777333,-0.005369763183593751,-0.012392767079671213,0.008962635589458715,3,0
historical_sgd_30,P2,train,SDPoint - Plain,sdpoint,plain,3,"0,1,2",-9.475999999999996,-10.624,-10.646,-10.248666666666665,0.6692393692344596,0,3,0,0.25585463211059567,0.28097888229370116,0.282691335144043,0.2731749498494466,0.015024253013784971,0,3
historical_sgd_30,P2,train,R - SDPoint,resolution_max_b1,sdpoint,3,"0,1,2",6.043999999999993,6.710000000000004,6.335999999999997,6.363333333333332,0.3338402811725048,3,0,0,-0.1700102554321289,-0.18598222167968748,-0.17574409271240232,-0.17724552327473955,0.008091146195282096,3,0
historical_sgd_30,P2,train,RG - SDPoint,resolution_max_b1_gaussian_conv,sdpoint,3,"0,1,2",5.74,6.010000000000004,5.535999999999996,5.7620000000000005,0.237764589457728,3,0,0,-0.1630763412475586,-0.17019149688720703,-0.15593570220947267,-0.16306784678141276,0.007127901135004337,3,0
historical_sgd_30,P2,train,G - CBS-pub,gaussian_postrelu,cbs_published_schedule,3,"0,1,2",3.959999999999997,3.5819999999999963,3.5900000000000043,3.710666666666666,0.21596604671413633,3,0,0,-0.10332037902832036,-0.09037780899047854,-0.09192279388427732,-0.09520699396769207,0.007068734500392298,3,0
historical_sgd_30,P2,train,G - CBS-bm,gaussian_postrelu,cbs_budget_matched,3,"0,1,2",-3.0919999999999948,-3.302000000000005,-3.527999999999998,-3.3073333333333323,0.21804892417375957,0,3,0,0.07457877441406247,0.0830099084472656,0.09106388458251952,0.08288418914794919,0.008243274126414029,0,3
historical_sgd_30,P2,train,RG - R,resolution_max_b1_gaussian_conv,resolution_max_b1,3,"0,1,2",-0.30399999999999316,-0.7000000000000006,-0.8000000000000007,-0.6013333333333315,0.2623077073464209,0,3,0,0.006933914184570289,0.01579072479248045,0.01980839050292965,0.014177676493326796,0.0065870690545606755,0,3
historical_sgd_30,P2,train,CBS-bm - CBS-pub,cbs_budget_matched,cbs_published_schedule,3,"0,1,2",7.051999999999992,6.884000000000001,7.118000000000002,7.017999999999998,0.12064824905484439,3,0,0,-0.17789915344238283,-0.17338771743774414,-0.18298667846679684,-0.1780911831156413,0.004802360852318045,3,0
historical_sgd_30,P3,test,R - Plain,resolution_max_b1,plain,3,"0,1,2",5.809999999999993,4.169999999999996,4.570000000000007,4.849999999999999,0.8551023330572745,3,0,0,-0.19057055053710936,-0.16817965240478516,-0.1832920684814453,-0.18068075714111329,0.01142157125706178,3,0
historical_sgd_30,P3,test,G - Plain,gaussian_postrelu,plain,3,"0,1,2",5.469999999999997,4.430000000000001,3.83,4.576666666666666,0.8297790870667509,3,0,0,-0.18630195312499997,-0.15670098266601562,-0.1558469680786133,-0.1662833012898763,0.017341918901920838,3,0
historical_sgd_30,P3,test,RG - Plain,resolution_max_b1_gaussian_conv,plain,3,"0,1,2",6.950000000000001,5.689999999999995,5.6499999999999995,6.096666666666665,0.7392789279651737,3,0,0,-0.23185892181396484,-0.19954522705078126,-0.2099518096923828,-0.21378531951904298,0.016494410129052037,3,0
historical_sgd_30,P3,test,CBS-pub - Plain,cbs_published_schedule,plain,3,"0,1,2",2.9799999999999938,1.8799999999999928,2.410000000000001,2.4233333333333293,0.5501211987674477,3,0,0,-0.11724014282226558,-0.09982378540039061,-0.11760840148925777,-0.11155744323730465,0.010163313843761027,3,0
historical_sgd_30,P3,test,CBS-bm - Plain,cbs_budget_matched,plain,3,"0,1,2",3.739999999999999,2.4699999999999944,3.2600000000000073,3.1566666666666667,0.6412747721011153,3,0,0,-0.10587907104492189,-0.07481365356445313,-0.10908260498046873,-0.09659177652994792,0.018928302547883386,3,0
historical_sgd_30,P3,test,SDPoint - Plain,sdpoint,plain,3,"0,1,2",5.509999999999993,3.749999999999998,3.949999999999998,4.40333333333333,0.9636043448082453,3,0,0,-0.18871962890624994,-0.15155627746582023,-0.1722013244628906,-0.1708257436116536,0.018619823833214418,3,0
historical_sgd_30,P3,test,R - SDPoint,resolution_max_b1,sdpoint,3,"0,1,2",0.30000000000000027,0.41999999999999815,0.6200000000000094,0.44666666666666927,0.1616580753731003,3,0,0,-0.0018509216308594256,-0.01662337493896493,-0.011090744018554699,-0.009855013529459685,0.00746335156389531,3,0
historical_sgd_30,P3,test,RG - SDPoint,resolution_max_b1_gaussian_conv,sdpoint,3,"0,1,2",1.440000000000008,1.9399999999999973,1.7000000000000015,1.6933333333333358,0.250066657780142,3,0,0,-0.0431392929077149,-0.04798894958496103,-0.0377504852294922,-0.04295957590738938,0.005121597576899801,3,0
historical_sgd_30,P3,test,G - CBS-pub,gaussian_postrelu,cbs_published_schedule,3,"0,1,2",2.4900000000000033,2.550000000000008,1.419999999999999,2.153333333333337,0.6357934675138919,3,0,0,-0.0690618103027344,-0.05687719726562501,-0.03823856658935554,-0.05472585805257165,0.01552382953915699,3,0
historical_sgd_30,P3,test,G - CBS-bm,gaussian_postrelu,cbs_budget_matched,3,"0,1,2",1.7299999999999982,1.9600000000000062,0.5699999999999927,1.419999999999999,0.7450503338701412,3,0,0,-0.08042288208007808,-0.08188732910156249,-0.04676436309814458,-0.06969152475992839,0.01986900117441389,3,0
historical_sgd_30,P3,test,RG - R,resolution_max_b1_gaussian_conv,resolution_max_b1,3,"0,1,2",1.1400000000000077,1.5199999999999991,1.079999999999992,1.2466666666666664,0.23860706890897762,3,0,0,-0.04128837127685547,-0.0313655746459961,-0.026659741210937504,-0.03310456237792969,0.00746774819810038,3,0
historical_sgd_30,P3,test,CBS-bm - CBS-pub,cbs_budget_matched,cbs_published_schedule,3,"0,1,2",0.7600000000000051,0.5900000000000016,0.8500000000000063,0.7333333333333377,0.13203534880225815,3,0,0,0.01136107177734369,0.025010131835937477,0.00852579650878904,0.014965666707356736,0.00881352121751433,0,3
historical_sgd_30,P3,train,R - Plain,resolution_max_b1,plain,3,"0,1,2",-3.4719999999999973,-3.8739999999999997,-4.132000000000002,-3.825999999999999,0.33260787723684726,0,3,0,0.08452129135131836,0.09472868988037109,0.10394394821166991,0.09439797648111979,0.009715550853815421,0,3
historical_sgd_30,P3,train,G - Plain,gaussian_postrelu,plain,3,"0,1,2",-2.1239999999999926,-2.9899999999999927,-3.4640000000000004,-2.8593333333333284,0.6794890237033547,0,3,0,0.052371829681396476,0.07341328292846677,0.08492045730590819,0.07023518997192381,0.01650540808917195,0,3
