campaign,arm,seed,policy,split,acc,ce,n,source,state,buffers_sha256,checkpoint_sha256,account,tag,campaign_label,arm_short
adamw_long_aug_160,cbs_published_schedule,1,P1,test,0.8575,0.6824745697021485,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",f194382abff45b0022e66c372757f3a817b4aed98792b82b4bf743104ecb8368,714fd9288824b10398cff1b1abf43d27367a71b05758ecd202f24f0e9dc9be35,maxnicaise,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,1,P2,train,0.93862,0.19021135307312012,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",23509376aba6e20f98a74825d5bc9fb794fec22a7a24ceb7a8e3961b4551c8a9,714fd9288824b10398cff1b1abf43d27367a71b05758ecd202f24f0e9dc9be35,maxnicaise,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,1,P2,test,0.8569,0.6896842864990235,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",23509376aba6e20f98a74825d5bc9fb794fec22a7a24ceb7a8e3961b4551c8a9,714fd9288824b10398cff1b1abf43d27367a71b05758ecd202f24f0e9dc9be35,maxnicaise,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,1,P3,train,0.9958,0.013366315596103668,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",06efa71bb329817af2396ca9788044df4f7c5f43a8bc6522f9bf4a3785a213be,714fd9288824b10398cff1b1abf43d27367a71b05758ecd202f24f0e9dc9be35,maxnicaise,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,1,P3,test,0.8935,0.5602694274902343,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",06efa71bb329817af2396ca9788044df4f7c5f43a8bc6522f9bf4a3785a213be,714fd9288824b10398cff1b1abf43d27367a71b05758ecd202f24f0e9dc9be35,maxnicaise,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,2,P0,train,0.99504,0.015770451374053956,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",821bdedad77370fc0043310a0e84136bf9206f094c7dfed0eeea136e7f816801,5fbb4f8e913f802871508884d7793ed46d202430c3606d2aa5ab32de8eb185fd,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,2,P0,test,0.8959,0.5514914672851563,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",821bdedad77370fc0043310a0e84136bf9206f094c7dfed0eeea136e7f816801,5fbb4f8e913f802871508884d7793ed46d202430c3606d2aa5ab32de8eb185fd,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,2,P1,train,0.96442,0.10319304588317871,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",461bf175b25629877fe701fabd2b0405a9c5dd01165c2582f81808d7888ce869,5fbb4f8e913f802871508884d7793ed46d202430c3606d2aa5ab32de8eb185fd,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,2,P1,test,0.8706,0.6001864212036133,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",461bf175b25629877fe701fabd2b0405a9c5dd01165c2582f81808d7888ce869,5fbb4f8e913f802871508884d7793ed46d202430c3606d2aa5ab32de8eb185fd,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,2,P2,train,0.96362,0.10504641822814942,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",726e0444f43b4e86cbafb5b5f0926a40b2a2d7bfad014918e920d2f3233378c4,5fbb4f8e913f802871508884d7793ed46d202430c3606d2aa5ab32de8eb185fd,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
