campaign,arm,seed,epoch,update,evaluated_state,state_note,per_site_sigma_max,train_acc,train_ce,test_acc,test_ce,bn
adamw_long_aug_160,resolution_max_b1,0,40,15640,"{""label"": ""epoch 39"", ""resolution"": 24, ""sigma"": null}",scheduled state of the last update of epoch 39,0.0,0.88756,0.3203726927185059,0.8467,0.45853565368652344,P1
adamw_long_aug_160,resolution_max_b1,0,80,31280,"{""label"": ""epoch 79"", ""resolution"": 32, ""sigma"": null}",scheduled state of the last update of epoch 79,0.0,0.94484,0.155077466506958,0.8781,0.42186575317382813,P1
adamw_long_aug_160,resolution_max_b1,0,120,46920,"{""label"": ""epoch 119"", ""resolution"": 32, ""sigma"": null}",scheduled state of the last update of epoch 119,0.0,0.96612,0.09397906406402588,0.8806,0.5345300933837891,P1
adamw_long_aug_160,resolution_max_b1,0,160,62560,"{""label"": ""native"", ""resolution"": 32, ""sigma"": null}",native inference state (endpoint P1 reused),0.0,0.97762,0.06290163698196412,0.8877,0.557043521118164,P1
adamw_long_aug_160,resolution_max_b1,1,40,15640,"{""label"": ""epoch 39"", ""resolution"": 24, ""sigma"": null}",scheduled state of the last update of epoch 39,0.0,0.87838,0.34383508575439453,0.8446,0.46364433898925783,P1
adamw_long_aug_160,resolution_max_b1,1,80,31280,"{""label"": ""epoch 79"", ""resolution"": 32, ""sigma"": null}",scheduled state of the last update of epoch 79,0.0,0.92274,0.22103727447509766,0.8642,0.48292462615966797,P1
adamw_long_aug_160,resolution_max_b1,1,120,46920,"{""label"": ""epoch 119"", ""resolution"": 32, ""sigma"": null}",scheduled state of the last update of epoch 119,0.0,0.95752,0.12272286045074463,0.8794,0.5241687545776367,P1
adamw_long_aug_160,resolution_max_b1,1,160,62560,"{""label"": ""native"", ""resolution"": 32, ""sigma"": null}",native inference state (endpoint P1 reused),0.0,0.96256,0.11067355503082275,0.8796,0.5743165771484375,P1
adamw_long_aug_160,resolution_max_b1,2,40,15640,"{""label"": ""epoch 39"", ""resolution"": 24, ""sigma"": null}",scheduled state of the last update of epoch 39,0.0,0.8881,0.31822058029174805,0.8504,0.4419727783203125,P1
adamw_long_aug_160,resolution_max_b1,2,80,31280,"{""label"": ""epoch 79"", ""resolution"": 32, ""sigma"": null}",scheduled state of the last update of epoch 79,0.0,0.9342,0.18466603195190429,0.8751,0.4324839294433594,P1
